Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Nom_words_Verbs.txt
Log File Name:                   features_Nom_words_Verbs.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4279651152
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Nom_words_Verbs.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      0.000055
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       15
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-36.007730	701	5.969308271424	6.646737079142	5.358222125728	3.829168663096	-0.566329067943	
3000	-38.325650	249	6.137523544711	6.347886124321	6.235154672066	5.026521433123	-0.596801952863	
4000	-38.522654	196	5.207073289925	7.361878045914	5.534423450341	4.112945279303	-0.568524393528	
5000	-36.612317	599	5.272576382084	7.112273912888	5.932349394522	4.596116261802	-0.601462499172	
6000	-36.788470	513	6.254729284241	6.555937138744	5.477821322865	4.197637164434	-0.592331779961	
7000	-37.621144	513	6.304977231288	7.225328547823	5.553588232287	3.992096592233	-0.497687417766	
8000	-38.058919	110	5.093687140479	7.226397514193	5.732386532805	4.407667822325	-0.603841831873	
9000	-38.085683	605	5.968656319940	7.394338089221	5.652506963811	4.318657155100	-0.487803333202	
10000	-38.316202	530	6.125609170220	6.735962705979	5.758666805639	4.637558685577	-0.610498209063	
11000	-37.090070	905	5.777550473922	6.759600181425	5.614191152092	4.314326330474	-0.575917053003	
12000	-37.123556	182	5.973316694623	7.337735830871	6.149719286808	4.728863577519	-0.554945909993	
13000	-38.551341	1	5.553097700047	7.067723226677	6.300563873248	5.746150631636	-0.656586466405	
14000	-37.880766	981	5.346775882633	7.264033997666	5.569836978868	4.772779607617	-0.616498325692	
15000	-37.618243	984	5.485919118330	6.813936319070	5.718308481822	4.509829419102	-0.572981200527	
16000	-37.943076	421	6.098740158551	6.423282703293	6.446660944580	5.568454795604	-0.644793415555	
17000	-38.990613	681	5.372692179107	7.202671539744	5.218021859572	4.291933700343	-0.587757895741	
18000	-36.955188	244	5.466071327265	7.472398023706	5.020522042269	4.244898698873	-0.566132389692	
19000	-36.172515	898	5.587854362387	6.723559173438	5.862939151352	4.533467789521	-0.578559363660	
20000	-36.603253	843	5.377819240845	6.926189207654	5.271550925825	3.956137938883	-0.554166826939	
21000	-37.597806	661	5.605205271108	6.869495562587	5.055909375359	4.017798430973	-0.566902597598	
22000	-37.566059	927	5.454558855283	6.823060499751	5.759740236237	4.267435336450	-0.543891817213	
23000	-36.684612	599	5.570755645038	6.726441707900	5.758857008913	4.676404512758	-0.589540826524	
24000	-36.801099	420	5.448537571167	6.634957407656	5.435064451693	4.280837222433	-0.528466746073	
25000	-40.091117	771	5.162159910103	8.390132319762	5.240489905610	5.698133285944	-0.566673490343	
26000	-39.636348	3	4.513755943104	7.585115388508	6.128486719724	4.483650690412	-0.634708520977	
27000	-39.021722	691	4.490627239513	7.738349800581	6.587426574118	4.429962412849	-0.637204175824	
28000	-36.459775	533	5.617601130619	6.906894324070	5.692290666173	4.502404061058	-0.587973094999	
29000	-36.852942	82	5.575533439328	6.878739277658	5.380800569160	4.148244953820	-0.565245432057	
30000	-38.051816	137	5.311062015825	7.326890610403	6.057872230334	5.008259527733	-0.605753382013	
31000	-38.109161	733	5.470032729361	6.878241356560	5.263547693973	4.278911929312	-0.606639243726	
32000	-38.037560	702	5.969533171358	6.567580858503	5.740196312434	4.963684669555	-0.616881417346	
33000	-37.723045	918	6.070930163135	7.072478499590	5.480293601976	3.629878733285	-0.503965518681	
34000	-38.055339	789	4.940847777191	7.505666153833	5.758537315471	4.222874251202	-0.596444466829	
35000	-38.635036	677	5.498129524888	7.463605440462	6.717458749861	5.883194563710	-0.594249176377	
36000	-37.230702	381	5.256654961302	7.268788382661	5.406593778378	4.106344951711	-0.573888998430	
37000	-40.439656	505	6.726810223616	6.900242165322	7.805240038462	4.615312944387	-0.544984626132	
38000	-37.238232	731	5.843965459210	7.158969095532	5.522404713200	4.237271604317	-0.552423953085	
39000	-38.761249	453	5.049194566482	8.163660777926	5.773268244451	5.786019140836	-0.626064642960	
40000	-36.782434	644	5.266780865035	6.816212466713	5.915962896148	3.993453475363	-0.507152014459	
41000	-37.392335	294	5.378846842148	6.976730237093	5.039628432622	3.802840323473	-0.562627030008	
42000	-38.084464	541	5.933812760407	6.536126153495	5.822372246799	4.945518258413	-0.593200826988	
43000	-38.087511	389	5.639327093782	6.967689154737	5.657632585806	4.921509500499	-0.629342057483	
44000	-37.957987	603	5.561953295605	6.562758881106	6.047708961147	5.271186338657	-0.584438689918	
45000	-37.384590	582	5.208144867614	7.212687821970	5.555647265075	3.960447134807	-0.556723169880	
46000	-37.708202	708	6.304857661931	6.824236420167	6.189864019549	4.081023613829	-0.568644795665	
47000	-39.389475	910	6.460270662234	7.156685832900	6.844386599134	4.731969260438	-0.503219764223	
48000	-37.949832	617	5.054005262976	7.460118539716	6.453534504434	4.841303089729	-0.608681329591	
49000	-39.549260	823	6.725779126521	6.358897265022	7.252728934843	5.446650265049	-0.657809240024	
50000	-38.664528	196	6.058775590931	7.032081540202	5.570109951507	3.958116302230	-0.536570929696	
51000	-40.440247	960	4.019160294442	7.999219026672	9.339497515240	5.586120133908	-0.715927546332	
52000	-37.415752	586	5.877903933075	6.544891656432	4.984729926212	4.381443027869	-0.604657100766	
53000	-39.031486	612	6.475162726616	6.344470593450	6.715618224666	4.898366109241	-0.623709590467	
54000	-37.991777	180	5.948843907289	6.780848637712	5.810938975679	4.795478073278	-0.618782278403	
55000	-37.720083	827	5.334504945675	6.861122975806	4.964587788363	3.397538912754	-0.507026404739	
56000	-36.300651	966	5.501141998421	7.235749646279	4.763032367333	3.552503778430	-0.540670373161	
57000	-37.784801	718	6.411072327922	6.303735111570	6.599898009482	5.010289483044	-0.628350987651	
58000	-38.514403	224	5.258912965782	6.718734789809	6.097806840828	4.706225472357	-0.537770104471	
59000	-41.904935	831	4.692153702526	6.704255219582	7.850879197089	5.512446493235	-0.488881558610	
60000	-38.822822	454	6.364446307778	6.613270498580	5.836730076156	4.179732797793	-0.604558776230	
61000	-35.828482	578	5.675847185242	7.021500276994	5.296579780113	3.851148992089	-0.553776875956	
62000	-38.622599	213	6.259541106279	7.081053200551	5.877627719858	4.170544396230	-0.547444561019	
63000	-38.988028	187	7.106749585304	6.022548173777	8.563528992110	5.223852855816	-0.711171350069	
64000	-39.455301	411	4.818103356321	7.187857970510	7.267871267175	5.018172882511	-0.595035131223	
65000	-37.820762	612	5.846463624418	7.155825184829	5.645913318565	4.265261048205	-0.538330478609	
66000	-36.372283	444	5.852550384413	7.203190098507	6.063465397589	4.194346901778	-0.533113294235	
67000	-35.208045	290	5.605145129803	7.009988358925	5.140592871162	3.606613073645	-0.532347934250	
