Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
832	0.134615	168	0.630952	7.903902	413	0.147700	12.383908	419	0.121718	0.218000	0.420290	
845	0.196450	155	0.503226	6.464931	427	0.231850	7.071503	418	0.160287	0.244000	0.361546	
851	0.245593	149	0.644295	6.464931	423	0.229314	6.125856	428	0.261682	0.305000	0.347413	
817	0.248470	183	0.562842	6.464931	392	0.239796	6.125856	425	0.256471	0.306000	0.339132	
854	0.251756	146	0.554795	6.464931	436	0.252294	6.125856	418	0.251196	0.296000	0.331945	
843	0.233689	157	0.630573	6.464931	408	0.257353	6.125856	435	0.211494	0.296000	0.326810	
806	0.217122	194	0.577320	6.464931	397	0.211587	6.125856	409	0.222494	0.287000	0.321835	
815	0.211043	185	0.470270	6.464931	408	0.237745	6.125856	407	0.184275	0.259000	0.314854	
839	0.252682	161	0.614907	6.464931	436	0.227064	5.004692	403	0.280397	0.311000	0.314469	
843	0.238434	157	0.535032	6.464931	406	0.233990	5.004692	437	0.242563	0.285000	0.311790	
837	0.266428	163	0.607362	6.464931	417	0.251799	5.004692	420	0.280952	0.322000	0.312641	
829	0.252111	171	0.497076	6.464931	385	0.251948	5.004692	444	0.252252	0.294000	0.311207	
826	0.236077	174	0.568966	6.464931	389	0.223650	5.004692	437	0.247140	0.294000	0.309978	
812	0.233990	188	0.494681	6.464931	408	0.227941	5.004692	404	0.240099	0.283000	0.308179	
815	0.228221	185	0.497297	6.464931	392	0.198980	5.004692	423	0.255319	0.278000	0.306293	
857	0.316219	143	0.636364	4.085630	471	0.343949	5.004692	386	0.282383	0.362000	0.309570	
857	0.278880	143	0.482517	4.085630	423	0.326241	5.004692	434	0.232719	0.308000	0.309483	
819	0.333333	181	0.558011	4.085630	442	0.384615	5.004692	377	0.273210	0.374000	0.312878	
863	0.319815	137	0.598540	4.085630	451	0.381375	5.004692	412	0.252427	0.358000	0.315134	
846	0.301418	154	0.454545	4.085630	426	0.335681	5.004692	420	0.266667	0.325000	0.315604	
826	0.320823	174	0.534483	4.085630	429	0.363636	5.004692	397	0.274559	0.358000	0.317531	
817	0.326805	183	0.612022	4.085630	412	0.361650	5.004692	405	0.291358	0.379000	0.320203	
863	0.312862	137	0.562044	4.085630	463	0.352052	5.004692	400	0.267500	0.347000	0.321320	
837	0.265233	163	0.521472	4.085630	425	0.305882	5.004692	412	0.223301	0.307000	0.320747	
815	0.328834	185	0.594595	4.085630	400	0.382500	5.004692	415	0.277108	0.378000	0.322949	
843	0.320285	157	0.643312	4.085630	439	0.364465	5.004692	404	0.272277	0.371000	0.324729	
866	0.290993	134	0.470149	4.085630	424	0.341981	5.004692	442	0.242081	0.315000	0.324381	
830	0.285542	170	0.535294	4.085630	400	0.337500	5.004692	430	0.237209	0.328000	0.324506	
853	0.310668	147	0.598639	4.085630	411	0.355231	5.004692	442	0.269231	0.353000	0.325456	
829	0.308806	171	0.543860	4.085630	430	0.327907	5.004692	399	0.288221	0.349000	0.326215	
