Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.094964	-0.094964
1	0.995007	75000	-0.094835	-0.189800
2	0.992517	75000	-0.094777	-0.284577
3	0.990030	75000	-0.094678	-0.379255
4	0.987547	75000	-0.094453	-0.473708
5	0.985067	75000	-0.094387	-0.568095
6	0.982592	75000	-0.094419	-0.662514
7	0.980120	75000	-0.094199	-0.756713
8	0.977652	75000	-0.093950	-0.850663
9	0.975187	75000	-0.093923	-0.944586
10	0.972726	75000	-0.093749	-1.038335
11	0.970269	75000	-0.093525	-1.131860
12	0.967816	75000	-0.093631	-1.225492
13	0.965367	75000	-0.093286	-1.318778
14	0.962921	75000	-0.093282	-1.412060
15	0.960479	75000	-0.093145	-1.505205
16	0.958040	75000	-0.092911	-1.598115
17	0.955606	75000	-0.092830	-1.690945
18	0.953175	75000	-0.092648	-1.783593
19	0.950747	75000	-0.092647	-1.876239
20	0.948324	75000	-0.092503	-1.968742
21	0.945904	75000	-0.092408	-2.061150
22	0.943488	75000	-0.092203	-2.153353
23	0.941076	75000	-0.092091	-2.245444
24	0.938667	75000	-0.091982	-2.337426
25	0.936262	75000	-0.091837	-2.429263
26	0.933861	75000	-0.091784	-2.521048
27	0.931463	75000	-0.091599	-2.612647
28	0.929069	75000	-0.091631	-2.704278
29	0.926679	75000	-0.091300	-2.795578
30	0.924293	75000	-0.091103	-2.886681
31	0.921910	75000	-0.090991	-2.977672
32	0.919531	75000	-0.090848	-3.068519
33	0.917155	75000	-0.090736	-3.159255
34	0.914783	75000	-0.090721	-3.249976
35	0.912415	75000	-0.090488	-3.340464
36	0.910051	75000	-0.090473	-3.430937
37	0.907690	75000	-0.090366	-3.521303
38	0.905333	75000	-0.090090	-3.611393
39	0.902980	75000	-0.089981	-3.701375
40	0.900630	75000	-0.089988	-3.791362
41	0.898284	75000	-0.089713	-3.881075
42	0.895942	75000	-0.089613	-3.970689
43	0.893603	75000	-0.089555	-4.060244
44	0.891268	75000	-0.089513	-4.149756
45	0.888937	75000	-0.089271	-4.239027
46	0.886609	75000	-0.089218	-4.328245
47	0.884285	75000	-0.088877	-4.417122
48	0.881965	75000	-0.088999	-4.506121
49	0.879648	75000	-0.088793	-4.594915
50	0.877335	75000	-0.088740	-4.683654
51	0.875026	75000	-0.088542	-4.772196
52	0.872720	75000	-0.088502	-4.860698
53	0.870418	75000	-0.088202	-4.948900
54	0.868120	75000	-0.087889	-5.036790
55	0.865825	75000	-0.087920	-5.124710
56	0.863534	75000	-0.087775	-5.212485
57	0.861246	75000	-0.087776	-5.300261
58	0.858962	75000	-0.087560	-5.387821
59	0.856682	75000	-0.087335	-5.475156
60	0.854405	75000	-0.087405	-5.562562
61	0.852132	75000	-0.087337	-5.649898
62	0.849863	75000	-0.087236	-5.737135
63	0.847597	75000	-0.087075	-5.824209
64	0.845335	75000	-0.086936	-5.911145
65	0.843077	75000	-0.086656	-5.997801
66	0.840822	75000	-0.086701	-6.084502
67	0.838571	75000	-0.086522	-6.171024
68	0.836323	75000	-0.086370	-6.257395
69	0.834079	75000	-0.086350	-6.343744
70	0.831839	75000	-0.086188	-6.429932
71	0.829602	75000	-0.086035	-6.515967
72	0.827369	75000	-0.085865	-6.601832
73	0.825140	75000	-0.085727	-6.687559
74	0.822914	75000	-0.085632	-6.773192
75	0.820691	75000	-0.085543	-6.858735
76	0.818473	75000	-0.085403	-6.944138
77	0.816258	75000	-0.085161	-7.029299
78	0.814046	75000	-0.085050	-7.114349
79	0.811838	75000	-0.085077	-7.199426
80	0.809634	75000	-0.084860	-7.284286
81	0.807433	75000	-0.084919	-7.369205
82	0.805236	75000	-0.084648	-7.453853
83	0.803043	75000	-0.084510	-7.538363
84	0.800853	75000	-0.084506	-7.622869
85	0.798667	75000	-0.084354	-7.707224
86	0.796484	75000	-0.084137	-7.791361
87	0.794305	75000	-0.084129	-7.875490
88	0.792129	75000	-0.083837	-7.959327
89	0.789957	75000	-0.083873	-8.043200
90	0.787789	75000	-0.083592	-8.126791
91	0.785624	75000	-0.083666	-8.210457
92	0.783463	75000	-0.083348	-8.293805
93	0.781305	75000	-0.083242	-8.377046
94	0.779151	75000	-0.083141	-8.460188
95	0.777000	75000	-0.083114	-8.543302
96	0.774853	75000	-0.082930	-8.626232
97	0.772710	75000	-0.082884	-8.709116
98	0.770570	75000	-0.082678	-8.791794
99	0.768433	75000	-0.082626	-8.874420
100	0.766301	75000	-0.082471	-8.956891
101	0.764172	75000	-0.082344	-9.039235
102	0.762046	75000	-0.082363	-9.121598
103	0.759924	75000	-0.081954	-9.203552
104	0.757805	75000	-0.081943	-9.285495
105	0.755690	75000	-0.081931	-9.367426
106	0.753579	75000	-0.081515	-9.448941
107	0.751471	75000	-0.081595	-9.530536
108	0.749366	75000	-0.081412	-9.611948
109	0.747266	75000	-0.081314	-9.693262
110	0.745168	75000	-0.081225	-9.774486
111	0.743075	75000	-0.081099	-9.855585
112	0.740984	75000	-0.081111	-9.936697
113	0.738898	75000	-0.080929	-10.017625
114	0.736815	75000	-0.080889	-10.098515
115	0.734735	75000	-0.080677	-10.179192
116	0.732659	75000	-0.080573	-10.259765
117	0.730586	75000	-0.080411	-10.340176
118	0.728517	75000	-0.080251	-10.420427
119	0.726452	75000	-0.080097	-10.500524
120	0.724390	75000	-0.079954	-10.580479
121	0.722331	75000	-0.079823	-10.660301
122	0.720276	75000	-0.079857	-10.740158
123	0.718225	75000	-0.079593	-10.819751
124	0.716177	75000	-0.079579	-10.899330
125	0.714132	75000	-0.079345	-10.978675
126	0.712091	75000	-0.079245	-11.057920
127	0.710054	75000	-0.079148	-11.137069
128	0.708020	75000	-0.079047	-11.216116
129	0.705989	75000	-0.078893	-11.295008
130	0.703962	75000	-0.078697	-11.373705
131	0.701939	75000	-0.078597	-11.452302
132	0.699919	75000	-0.078600	-11.530902
133	0.697902	75000	-0.078469	-11.609371
134	0.695889	75000	-0.078267	-11.687638
135	0.693880	75000	-0.078086	-11.765724
136	0.691874	75000	-0.077891	-11.843616
137	0.689871	75000	-0.077903	-11.921518
138	0.687872	75000	-0.077798	-11.999316
139	0.685877	75000	-0.077706	-12.077022
140	0.683885	75000	-0.077628	-12.154650
141	0.681896	75000	-0.077376	-12.232025
142	0.679911	75000	-0.077299	-12.309325
143	0.677929	75000	-0.077479	-12.386804
144	0.675951	75000	-0.077137	-12.463941
145	0.673976	75000	-0.077076	-12.541016
146	0.672005	75000	-0.076854	-12.617870
147	0.670037	75000	-0.076638	-12.694508
148	0.668073	75000	-0.076709	-12.771217
149	0.666112	75000	-0.076546	-12.847763
150	0.664155	75000	-0.076476	-12.924239
151	0.662201	75000	-0.076195	-13.000434
152	0.660250	75000	-0.076215	-13.076649
153	0.658303	75000	-0.076137	-13.152786
154	0.656359	75000	-0.075926	-13.228712
155	0.654419	75000	-0.075951	-13.304663
156	0.652483	75000	-0.075658	-13.380320
157	0.650549	75000	-0.075615	-13.455935
