Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Nom_words_Verbs.txt
Log File Name:                   features_Nom_words_Verbs.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            890653516
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Nom_words_Verbs.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      0.000055
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       15
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-40.205762	445	5.682665632342	7.055866779083	5.730179459394	4.356128064890	0.000000000000	
3000	-39.697220	168	5.356898883457	6.810387754337	5.589980498951	4.327699948164	0.000000000000	
4000	-42.951160	716	5.228620860175	8.030494220409	5.441522886953	5.551547810463	0.000000000000	
5000	-42.957901	315	6.193133405726	7.565939758567	6.899507572536	5.774796772210	0.000000000000	
6000	-39.270300	200	5.956743801929	7.169627188643	5.997604394369	4.142147945463	0.000000000000	
7000	-42.537666	244	4.250197287558	6.973679492885	7.825670619487	3.895282031065	0.000000000000	
8000	-40.837511	578	5.990418743650	7.980255241507	5.429628255978	5.079360105014	0.000000000000	
9000	-39.249238	943	5.652006141284	6.863783315321	5.605177109226	4.084693277461	0.000000000000	
10000	-40.133945	212	5.529239052044	6.303985258928	5.031163526002	4.603505830222	0.000000000000	
11000	-40.999883	213	5.683683675258	6.622359500231	5.383655866859	4.377874111234	0.000000000000	
12000	-42.832119	740	6.006167622076	7.838031892818	5.858099849286	5.526611808140	0.000000000000	
13000	-40.500034	107	6.044221304203	6.903925715291	5.601481078539	4.335463470667	0.000000000000	
14000	-41.731280	79	6.287187106288	7.358555671708	5.953418848159	4.602628102087	0.000000000000	
15000	-40.612576	5	6.013189551448	6.906115904355	5.689861433817	4.315633916678	0.000000000000	
16000	-38.277501	963	5.203748516525	7.222559178794	5.411156974058	3.642939786956	0.000000000000	
17000	-39.928614	637	5.805659955501	7.573710438902	5.314743585537	4.308363123750	0.000000000000	
18000	-41.611540	818	5.733342656217	7.483579919975	5.396661334131	4.756993755128	0.000000000000	
19000	-41.712882	582	6.673766132965	7.071187279158	6.878359837967	3.931100882461	0.000000000000	
20000	-39.836468	694	4.855449256444	7.111581494367	6.252765314736	3.890161613767	0.000000000000	
21000	-41.161890	692	6.879739876175	6.628531302343	6.298070067772	3.529071740093	0.000000000000	
22000	-41.134044	440	5.863628524351	5.957126277589	4.890029971587	5.094415627742	0.000000000000	
