Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
830	0.159036	170	0.841176	7.684127	416	0.235577	9.034843	414	0.082126	0.275000	0.408796	
837	0.182796	163	0.797546	7.684127	434	0.248848	6.231570	403	0.111663	0.283000	0.366878	
827	0.181378	173	0.843931	7.684127	409	0.222494	5.597968	418	0.141148	0.296000	0.349163	
829	0.252111	171	0.871345	7.684127	441	0.256236	3.463117	388	0.247423	0.358000	0.350930	
836	0.242823	164	0.847561	7.684127	437	0.254005	3.463117	399	0.230576	0.342000	0.349442	
827	0.241838	173	0.861272	7.684127	401	0.236908	3.463117	426	0.246479	0.349000	0.349379	
844	0.240521	156	0.903846	7.684127	415	0.238554	3.463117	429	0.242424	0.344000	0.348706	
826	0.254237	174	0.844828	7.684127	414	0.263285	3.463117	412	0.245146	0.357000	0.349628	
854	0.218970	146	0.849315	7.684127	458	0.220524	3.463117	396	0.217172	0.311000	0.345765	
842	0.216152	158	0.803797	7.684127	390	0.233333	3.463117	452	0.201327	0.309000	0.342423	
841	0.210464	159	0.842767	7.684127	425	0.192941	3.463117	416	0.228365	0.311000	0.339805	
834	0.282974	166	0.783133	4.878859	442	0.361991	3.463117	392	0.193878	0.366000	0.341820	
836	0.350478	164	0.829268	4.878859	422	0.369668	2.183814	414	0.330918	0.429000	0.348047	
806	0.347395	194	0.752577	4.878859	382	0.342932	2.183814	424	0.351415	0.426000	0.353243	
844	0.368483	156	0.794872	4.878859	420	0.378571	2.183814	424	0.358491	0.435000	0.358353	
839	0.369487	161	0.888199	4.878859	416	0.399038	2.183814	423	0.340426	0.453000	0.363920	
812	0.374384	188	0.803191	4.878859	388	0.391753	2.183814	424	0.358491	0.455000	0.368980	
821	0.354446	179	0.798883	4.878859	415	0.378313	2.183814	406	0.330049	0.434000	0.372401	
839	0.363528	161	0.875776	4.878859	422	0.327014	2.183814	417	0.400480	0.446000	0.376081	
824	0.366505	176	0.829545	4.878859	419	0.381862	2.195472	405	0.350617	0.448000	0.379506	
835	0.354491	165	0.824242	4.878859	415	0.349398	2.195472	420	0.359524	0.432000	0.381892	
839	0.384982	161	0.819876	4.878859	404	0.430693	2.195472	435	0.342529	0.455000	0.385070	
829	0.325694	171	0.807018	5.236478	425	0.338824	2.195472	404	0.311881	0.408000	0.386026	
848	0.344340	152	0.868421	5.236478	402	0.315920	2.195472	446	0.369955	0.424000	0.387544	
846	0.348700	154	0.811688	5.236478	426	0.314554	2.195472	420	0.383333	0.420000	0.388793	
818	0.339853	182	0.846154	5.236478	436	0.323394	2.195472	382	0.358639	0.432000	0.390393	
856	0.345794	144	0.881944	5.236478	441	0.335601	2.195472	415	0.356627	0.423000	0.391557	
832	0.372596	168	0.845238	5.236478	445	0.337079	2.195472	387	0.413437	0.452000	0.393642	
833	0.259304	167	0.880240	5.236478	445	0.298876	3.250676	388	0.213918	0.363000	0.392620	
824	0.280340	176	0.818182	5.236478	414	0.314010	3.250676	410	0.246341	0.375000	0.392052	
839	0.317044	161	0.838509	5.236478	433	0.376443	3.250676	406	0.253695	0.401000	0.392331	
825	0.329697	175	0.868571	5.236478	419	0.336516	3.250676	406	0.322660	0.424000	0.393291	
850	0.295294	150	0.773333	5.236478	442	0.339367	3.250676	408	0.247549	0.367000	0.392518	
816	0.303922	184	0.842391	5.236478	420	0.361905	3.250676	396	0.242424	0.403000	0.392817	
824	0.270631	176	0.784091	5.236478	385	0.327273	3.250676	439	0.220957	0.361000	0.391934	
826	0.272397	174	0.821839	5.236478	423	0.297872	3.250676	403	0.245658	0.368000	0.391287	
837	0.268817	163	0.865031	5.236478	421	0.311164	3.250676	416	0.225962	0.366000	0.390621	
835	0.306587	165	0.830303	5.236478	442	0.375566	3.250676	393	0.229008	0.393000	0.390682	
839	0.287247	161	0.795031	5.236478	422	0.331754	3.250676	417	0.242206	0.369000	0.390140	
835	0.302994	165	0.842424	5.236478	425	0.362353	3.250676	410	0.241463	0.392000	0.390186	
832	0.305288	168	0.833333	5.236478	407	0.348894	3.250676	425	0.263529	0.394000	0.390276	
833	0.272509	167	0.832335	5.236478	409	0.361858	3.250676	424	0.186321	0.366000	0.389712	
849	0.394582	151	0.887417	5.236478	450	0.373333	2.093787	399	0.418546	0.469000	0.391514	
839	0.299166	161	0.813665	5.236478	422	0.350711	3.472783	417	0.247002	0.382000	0.391302	
836	0.279904	164	0.810976	5.236478	415	0.342169	3.472783	421	0.218527	0.367000	0.390774	
818	0.317848	182	0.818681	5.236478	423	0.375887	3.472783	395	0.255696	0.409000	0.391162	
854	0.284543	146	0.842466	5.236478	423	0.338061	3.472783	431	0.232019	0.366000	0.390638	
836	0.276316	164	0.792683	5.236478	397	0.342569	3.472783	439	0.216401	0.361000	0.390033	
851	0.296122	149	0.845638	5.236478	431	0.352668	3.472783	420	0.238095	0.378000	0.389792	
818	0.286064	182	0.818681	5.236478	403	0.342432	3.472783	415	0.231325	0.383000	0.389659	
835	0.244311	165	0.866667	5.236478	393	0.297710	3.472783	442	0.196833	0.347000	0.388839	
812	0.333744	188	0.813830	5.236478	399	0.393484	3.042240	413	0.276029	0.424000	0.389502	
846	0.317967	154	0.824675	5.236478	401	0.346633	3.042240	445	0.292135	0.396000	0.389622	
814	0.313268	186	0.854839	5.236478	412	0.349515	3.042240	402	0.276119	0.414000	0.390066	
848	0.293632	152	0.842105	5.236478	441	0.328798	3.042240	407	0.255528	0.377000	0.389832	
839	0.301549	161	0.881988	5.236478	447	0.313199	3.042240	392	0.288265	0.395000	0.389923	
863	0.307068	137	0.817518	5.236478	441	0.344671	3.042240	422	0.267773	0.377000	0.389700	
846	0.287234	154	0.844156	5.236478	423	0.328605	3.042240	423	0.245863	0.373000	0.389417	
832	0.311298	168	0.803571	5.236478	387	0.310078	3.042240	445	0.312360	0.394000	0.389494	
825	0.324848	175	0.805714	5.236478	407	0.380835	3.042240	418	0.270335	0.409000	0.389813	
808	0.285891	192	0.781250	5.236478	407	0.326781	3.042240	401	0.244389	0.381000	0.389671	
828	0.300725	172	0.796512	5.236478	421	0.353919	3.042240	407	0.245700	0.386000	0.389613	
847	0.279811	153	0.888889	5.236478	459	0.313725	3.042240	388	0.239691	0.373000	0.389353	
852	0.296948	148	0.824324	5.236478	418	0.337321	3.042240	434	0.258065	0.375000	0.389132	
840	0.351190	160	0.818750	5.236478	413	0.377724	3.042240	427	0.325527	0.426000	0.389691	
818	0.299511	182	0.813187	5.236478	399	0.353383	3.042240	419	0.248210	0.393000	0.389740	
823	0.334143	177	0.807910	5.236478	400	0.380000	3.042240	423	0.290780	0.418000	0.390156	
827	0.296252	173	0.809249	5.236478	412	0.342233	3.042240	415	0.250602	0.385000	0.390081	
833	0.308523	167	0.778443	5.236478	405	0.343210	3.042240	428	0.275701	0.387000	0.390037	
832	0.289663	168	0.869048	5.236478	403	0.300248	3.042240	429	0.279720	0.387000	0.389995	
836	0.289474	164	0.853659	5.236478	402	0.330846	3.042240	434	0.251152	0.382000	0.389883	
833	0.302521	167	0.850299	5.236478	394	0.302030	3.042240	439	0.302961	0.394000	0.389940	
833	0.276110	167	0.862275	5.236478	413	0.309927	3.042240	420	0.242857	0.374000	0.389724	
831	0.335740	169	0.810651	5.236478	398	0.364322	3.042240	433	0.309469	0.416000	0.390075	
822	0.321168	178	0.865169	5.236478	434	0.354839	3.042240	388	0.283505	0.418000	0.390442	
