Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Nom_words_Verbs.txt
Log File Name:                   features_Nom_words_Verbs.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3226880909
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Nom_words_Verbs.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      0.000079
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       12
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-19.667641	462	5.746856070397	6.675873938414	3.621387523640	0.770376681646	0.000000000000	
3000	-20.795211	900	5.072363406818	7.094524948576	4.396638491686	0.767499736129	0.000000000000	
4000	-20.104442	484	5.735039133772	7.271094116489	3.736590680572	0.900311817066	0.000000000000	
5000	-20.964998	58	5.268837668286	7.315678701572	3.871078601954	0.933403363777	0.000000000000	
6000	-19.987780	302	5.183131565597	6.889306684866	3.726369283308	0.633749431848	0.000000000000	
7000	-19.036598	451	6.140619760261	6.875238172686	3.634897756582	0.708700469944	0.000000000000	
8000	-22.342200	56	4.498229524641	7.015033605883	7.231025281715	0.831110136107	0.000000000000	
9000	-19.817685	399	5.465326537172	6.669005314287	4.072240047519	0.765580634685	0.000000000000	
10000	-21.578194	599	6.589792209229	6.530871585643	4.616652662763	1.003657875482	0.000000000000	
11000	-20.450405	281	5.695472502797	6.522242967703	3.677262684776	0.847266861228	0.000000000000	
12000	-19.265764	452	5.990064673902	6.928782101125	4.069926334577	0.811365081853	0.000000000000	
13000	-20.895126	504	5.233166108355	7.214523060276	4.222023796531	0.931692604979	0.000000000000	
14000	-19.033702	481	6.300029096114	6.838389690490	3.617757406791	0.700984914769	0.000000000000	
15000	-22.734405	813	7.622268470247	6.734930242587	6.656373156046	0.723412073071	0.000000000000	
16000	-20.034531	142	6.155136101807	6.562021737177	3.934614241258	0.960625598563	0.000000000000	
17000	-19.054295	308	5.699845913098	6.945829160132	3.799619324094	0.732279745102	0.000000000000	
18000	-21.413465	180	5.931513746503	6.412476209935	4.341163024840	1.210928090583	0.000000000000	
19000	-19.134847	444	5.598095463566	6.842202399579	4.028449781422	0.701382809660	0.000000000000	
20000	-19.538294	663	5.733494905250	7.162219613321	3.587762797511	0.867294750947	0.000000000000	
21000	-22.674066	838	7.594030740514	6.802753278642	6.994124104245	0.746893258387	0.000000000000	
22000	-19.172416	502	5.529200443829	7.060758090758	3.899302314397	0.822700501456	0.000000000000	
23000	-19.001662	518	5.754831049446	7.032434225008	4.018083731660	0.799090876280	0.000000000000	
24000	-19.093553	583	5.623646843854	6.691035484404	3.702904310831	0.799417123511	0.000000000000	
25000	-19.091637	540	5.629845827453	7.017721313851	3.539300856990	0.736680266515	0.000000000000	
26000	-20.706200	560	5.044052777951	6.948024094847	5.302101326269	0.807127725866	0.000000000000	
27000	-19.481352	322	6.141214764701	7.113560376109	3.296276316209	0.750826667683	0.000000000000	
28000	-19.245761	532	5.935453660375	6.876890209461	3.723446990005	0.697927568842	0.000000000000	
29000	-21.440951	298	4.860340427550	6.678391001788	5.612905013359	0.803505083558	0.000000000000	
30000	-19.734151	287	5.641203244836	6.637267877550	3.876651997729	0.867953870925	0.000000000000	
31000	-21.178436	264	6.264034927625	7.492634259227	3.796001037914	1.128558402509	0.000000000000	
32000	-20.416574	408	5.686289184067	7.233627768093	4.148571109179	0.964855939480	0.000000000000	
33000	-23.357185	254	6.899143478857	7.475232767329	4.782829326651	1.292629386119	0.000000000000	
34000	-20.074900	896	6.653332505782	6.605160663665	4.132900846807	0.867731485756	0.000000000000	
35000	-20.508044	200	5.632724249869	7.185780396595	4.209220858454	0.930004116701	0.000000000000	
36000	-20.723234	991	6.169323731765	6.450607209910	4.034293315863	1.052054106433	0.000000000000	
37000	-19.979468	864	5.537898762085	6.670612341128	3.919750524197	0.765782300255	0.000000000000	
38000	-21.912761	406	5.424765325804	6.264449830779	3.472332191679	1.051420775374	0.000000000000	
39000	-21.128060	260	6.247369913733	6.435736376756	3.489365198269	0.874660904649	0.000000000000	
40000	-19.751357	414	5.388045564918	7.160931941693	3.824879958735	0.915466097184	0.000000000000	
