Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
807	0.228005	193	0.823834	5.486042	442	0.330317	6.983929	365	0.104110	0.343000	0.336332	
829	0.249698	171	0.783626	5.486042	408	0.313725	3.527589	421	0.187648	0.341000	0.337887	
834	0.318945	166	0.807229	5.486042	388	0.288660	2.469390	446	0.345291	0.400000	0.353412	
833	0.324130	167	0.862275	5.486042	406	0.310345	2.469390	427	0.337237	0.414000	0.365527	
825	0.296970	175	0.828571	5.486042	395	0.288608	2.469390	430	0.304651	0.390000	0.369605	
831	0.294826	169	0.810651	5.486042	406	0.300493	2.469390	425	0.289412	0.382000	0.371376	
825	0.361212	175	0.840000	5.486042	395	0.349367	2.469390	430	0.372093	0.445000	0.380577	
835	0.314970	165	0.848485	5.486042	439	0.316629	2.469390	396	0.313131	0.403000	0.383069	
848	0.291274	152	0.861842	5.486042	445	0.312360	2.469390	403	0.267990	0.378000	0.382562	
850	0.301176	150	0.833333	5.486042	450	0.317778	2.469390	400	0.282500	0.381000	0.382420	
825	0.324848	175	0.868571	5.486042	440	0.320455	2.469390	385	0.329870	0.420000	0.385551	
821	0.306943	179	0.793296	5.486042	405	0.308642	2.469390	416	0.305288	0.394000	0.386201	
813	0.346863	187	0.887701	5.486042	393	0.333333	2.469390	420	0.359524	0.448000	0.390615	
824	0.328883	176	0.823864	5.486042	446	0.318386	2.469390	378	0.341270	0.416000	0.392307	
820	0.302439	180	0.900000	5.486042	417	0.328537	2.469390	403	0.275434	0.410000	0.393413	
843	0.317912	157	0.847134	5.486042	401	0.301746	2.469390	442	0.332579	0.401000	0.393859	
822	0.329684	178	0.837079	5.486042	401	0.324190	2.469390	421	0.334917	0.420000	0.395311	
826	0.345036	174	0.821839	5.486042	435	0.358621	2.469390	391	0.329923	0.428000	0.397032	
835	0.320958	165	0.909091	5.486042	428	0.322430	2.469390	407	0.319410	0.418000	0.398080	
851	0.346651	149	0.825503	5.486042	424	0.363208	2.469390	427	0.330211	0.418000	0.399029	
846	0.330969	154	0.850649	5.486042	439	0.298405	2.469390	407	0.366093	0.411000	0.399573	
848	0.304245	152	0.815789	5.486042	428	0.278037	2.469390	420	0.330952	0.382000	0.398809	
845	0.310059	155	0.864516	5.486042	424	0.318396	2.469390	421	0.301663	0.396000	0.398692	
819	0.308913	181	0.850829	5.486042	401	0.319202	2.469390	418	0.299043	0.407000	0.399024	
829	0.322075	171	0.818713	5.486042	391	0.358056	2.469390	438	0.289954	0.407000	0.399331	
835	0.341317	165	0.866667	5.486042	414	0.345411	2.469390	421	0.337292	0.428000	0.400393	
835	0.320958	165	0.866667	5.486042	435	0.319540	2.469390	400	0.322500	0.411000	0.400771	
845	0.313609	155	0.883871	5.486042	414	0.316425	2.469390	431	0.310905	0.402000	0.400814	
832	0.326923	168	0.779762	5.486042	425	0.303529	2.469390	407	0.351351	0.403000	0.400887	
839	0.323004	161	0.813665	5.486042	431	0.327146	2.469390	408	0.318627	0.402000	0.400923	
845	0.333728	155	0.793548	5.486042	420	0.335714	2.469390	425	0.331765	0.405000	0.401050	
814	0.305897	186	0.822581	5.486042	403	0.280397	2.469390	411	0.330900	0.402000	0.401079	
820	0.334146	180	0.883333	5.486042	388	0.332474	2.469390	432	0.335648	0.433000	0.402018	
834	0.330935	166	0.855422	5.486042	417	0.318945	2.469390	417	0.342926	0.418000	0.402474	
820	0.343902	180	0.866667	5.486042	421	0.372922	2.469390	399	0.313283	0.438000	0.403461	
827	0.315599	173	0.832370	5.486042	400	0.335000	2.469390	427	0.297424	0.405000	0.403503	
864	0.312500	136	0.867647	5.486042	422	0.319905	2.469390	442	0.305430	0.388000	0.403095	
816	0.329657	184	0.793478	5.486042	398	0.339196	2.469390	418	0.320574	0.415000	0.403400	
850	0.338824	150	0.860000	5.486042	380	0.350000	2.469390	470	0.329787	0.417000	0.403740	
830	0.307229	170	0.782353	5.486042	414	0.301932	2.469390	416	0.312500	0.388000	0.403356	
850	0.342353	150	0.833333	5.486042	434	0.341014	2.469390	416	0.343750	0.416000	0.403657	
858	0.350816	142	0.866197	5.486042	417	0.383693	2.469390	441	0.319728	0.424000	0.404130	
837	0.338112	163	0.858896	5.486042	417	0.326139	2.469390	420	0.350000	0.423000	0.404559	
851	0.289072	149	0.879195	5.486042	419	0.303103	2.469390	432	0.275463	0.377000	0.403947	
852	0.327465	148	0.790541	5.486042	426	0.335681	2.469390	426	0.319249	0.396000	0.403774	
833	0.321729	167	0.874251	5.486042	387	0.333333	2.469390	446	0.311659	0.414000	0.403991	
842	0.351544	158	0.791139	5.486042	415	0.344578	2.469390	427	0.358314	0.421000	0.404346	
838	0.328162	162	0.870370	5.486042	441	0.328798	2.469390	397	0.327456	0.416000	0.404584	
827	0.304716	173	0.867052	5.486042	422	0.303318	2.469390	405	0.306173	0.402000	0.404532	
855	0.381287	145	0.841379	5.486042	442	0.373303	2.469390	413	0.389831	0.448000	0.405384	
831	0.334537	169	0.840237	5.486042	416	0.341346	2.469390	415	0.327711	0.420000	0.405665	
854	0.306792	146	0.828767	5.486042	428	0.299065	2.469390	426	0.314554	0.383000	0.405238	
843	0.332147	157	0.840764	5.486042	414	0.314010	2.469390	429	0.349650	0.412000	0.405363	
825	0.315152	175	0.822857	5.486042	402	0.320896	2.469390	423	0.309693	0.404000	0.405338	
821	0.295981	179	0.815642	5.486042	394	0.286802	2.469390	427	0.304450	0.389000	0.405046	
820	0.321951	180	0.922222	5.486042	412	0.327670	2.469390	408	0.316176	0.430000	0.405484	
849	0.318021	151	0.821192	5.486042	429	0.293706	2.469390	420	0.342857	0.394000	0.405286	
809	0.317676	191	0.821990	5.486042	393	0.292621	2.469390	416	0.341346	0.414000	0.405434	
851	0.332550	149	0.859060	5.486042	437	0.320366	2.469390	414	0.345411	0.411000	0.405527	
831	0.281588	169	0.863905	5.486042	444	0.283784	2.469390	387	0.279070	0.380000	0.405108	
837	0.301075	163	0.852761	5.486042	438	0.328767	2.469390	399	0.270677	0.391000	0.404881	
835	0.304192	165	0.836364	5.486042	421	0.311164	2.469390	414	0.297101	0.392000	0.404676	
828	0.351449	172	0.854651	5.486042	426	0.354460	2.469390	402	0.348259	0.438000	0.405197	
812	0.312808	188	0.824468	5.486042	413	0.314770	2.469390	399	0.310777	0.409000	0.405255	
851	0.321974	149	0.865772	5.486042	454	0.330396	2.469390	397	0.312343	0.403000	0.405221	
829	0.320869	171	0.847953	5.486042	408	0.313725	2.469390	421	0.327791	0.411000	0.405307	
832	0.338942	168	0.857143	5.486042	414	0.330918	2.469390	418	0.346890	0.426000	0.405612	
862	0.327146	138	0.782609	5.486042	428	0.320093	2.469390	434	0.334101	0.390000	0.405385	
847	0.342385	153	0.764706	5.486042	459	0.318083	2.469390	388	0.371134	0.407000	0.405408	
821	0.341048	179	0.837989	5.486042	412	0.344660	2.469390	409	0.337408	0.430000	0.405755	
796	0.335427	204	0.789216	5.486042	396	0.315657	2.469390	400	0.355000	0.428000	0.406064	
821	0.334957	179	0.843575	5.486042	406	0.337438	2.469390	415	0.332530	0.426000	0.406337	
835	0.319760	165	0.866667	5.486042	403	0.320099	2.469390	432	0.319444	0.410000	0.406386	
832	0.296875	168	0.886905	5.486042	381	0.304462	2.469390	451	0.290466	0.396000	0.406248	
846	0.338061	154	0.818182	5.486042	443	0.356659	2.469390	403	0.317618	0.412000	0.406324	
860	0.316279	140	0.864286	5.486042	431	0.301624	2.469390	429	0.331002	0.393000	0.406151	
829	0.355850	171	0.847953	5.486042	412	0.356796	2.469390	417	0.354916	0.440000	0.406585	
847	0.325856	153	0.882353	5.486042	410	0.300000	2.469390	437	0.350114	0.411000	0.406640	
857	0.311552	143	0.825175	5.486042	408	0.303922	2.469390	449	0.318486	0.385000	0.406370	
832	0.346154	168	0.839286	5.486042	420	0.366667	2.469390	412	0.325243	0.429000	0.406649	
824	0.334951	176	0.823864	5.486042	407	0.319410	2.469390	417	0.350120	0.421000	0.406824	
856	0.334112	144	0.770833	5.486042	450	0.342222	2.469390	406	0.325123	0.397000	0.406706	
836	0.302632	164	0.908537	5.486042	389	0.254499	2.469390	447	0.344519	0.402000	0.406650	
819	0.300366	181	0.845304	5.486042	412	0.293689	2.469390	407	0.307125	0.399000	0.406560	
866	0.312933	134	0.768657	5.486042	445	0.292135	2.469390	421	0.334917	0.374000	0.406181	
