Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.036000	5.900123	511	0.025440	6.137555	489	0.047035	0.036000	0.075962	
1000	0.050000	4.843911	475	0.050526	5.570092	525	0.049524	0.050000	0.067311	
1000	0.052000	4.310830	471	0.042463	4.438135	529	0.060491	0.052000	0.063484	
1000	0.072000	2.337526	525	0.070476	3.755477	475	0.073684	0.072000	0.065187	
1000	0.102000	1.889749	478	0.119247	3.212572	522	0.086207	0.102000	0.071321	
1000	0.086000	1.765862	517	0.071567	2.315492	483	0.101449	0.086000	0.073418	
1000	0.122000	1.566170	513	0.101365	2.279646	487	0.143737	0.122000	0.079490	
1000	0.160000	1.240710	514	0.122568	1.341837	486	0.199588	0.160000	0.088435	
1000	0.280000	0.660198	486	0.255144	0.865109	514	0.303502	0.280000	0.107589	
1000	0.293000	0.660198	508	0.305118	0.865109	492	0.280488	0.293000	0.124443	
1000	0.318000	0.660198	498	0.317269	0.865109	502	0.318725	0.318000	0.140572	
1000	0.314000	0.660198	491	0.350305	0.865109	509	0.278978	0.314000	0.153911	
1000	0.311000	0.660198	492	0.300813	0.865109	508	0.320866	0.311000	0.165131	
1000	0.283000	0.660198	514	0.276265	0.865109	486	0.290123	0.283000	0.172988	
1000	0.286000	0.660198	505	0.255446	0.865109	495	0.317172	0.286000	0.180051	
1000	0.278000	0.660198	517	0.235977	0.865109	483	0.322981	0.278000	0.185813	
1000	0.303000	0.660198	493	0.308316	0.865109	507	0.297830	0.303000	0.192323	
1000	0.279000	0.660198	477	0.264151	0.865109	523	0.292543	0.279000	0.196884	
1000	0.286000	0.660198	499	0.276553	0.865109	501	0.295409	0.286000	0.201340	
1000	0.298000	0.660198	497	0.291751	0.865109	503	0.304175	0.298000	0.205943	
1000	0.301000	0.660198	520	0.296154	0.865109	480	0.306250	0.301000	0.210263	
1000	0.281000	0.660198	507	0.295858	0.865109	493	0.265720	0.281000	0.213339	
1000	0.270000	0.660198	483	0.256729	0.865109	517	0.282398	0.270000	0.215699	
1000	0.308000	0.660198	510	0.284314	0.865109	490	0.332653	0.308000	0.219391	
1000	0.287000	0.660198	507	0.287968	0.865109	493	0.286004	0.287000	0.221991	
1000	0.294000	0.660198	493	0.296146	0.865109	507	0.291913	0.294000	0.224658	
