Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_gender_arguments.txt
Log File Name:                   features_gender_arguments.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            182274056
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_gender_arguments.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-83.484628	1	0.239256649627	0.721877445981	0.261782871201	0.553835817843	0.000000000000	
3000	-84.101556	1	0.287826520135	0.737700576056	0.262959235471	0.554153358862	0.000000000000	
4000	-85.164570	1	0.194563450804	0.848412329307	0.262055728620	0.560930234418	0.000000000000	
5000	-84.084252	1	0.179824417250	0.767445559256	0.262430541402	0.555191011318	0.000000000000	
6000	-85.152862	1	0.301765971932	0.809397427156	0.263580173935	0.557632513864	0.000000000000	
7000	-83.743294	1	0.180224275764	0.696237304418	0.262418508687	0.553666950046	0.000000000000	
8000	-83.779542	1	0.190247785595	0.746388269222	0.262150848942	0.554396944632	0.000000000000	
9000	-83.543124	1	0.254618455873	0.697409236649	0.261989060414	0.553665344563	0.000000000000	
10000	-83.512404	1	0.211646127158	0.727486945332	0.261798072607	0.553929760793	0.000000000000	
11000	-83.748179	1	0.215397589591	0.764612612906	0.261766903536	0.555067394002	0.000000000000	
12000	-84.639469	1	0.167923243385	0.798100708265	0.262836278595	0.556862467919	0.000000000000	
13000	-83.497196	1	0.204694313356	0.707302739202	0.261880025871	0.553687387899	0.000000000000	
14000	-84.502633	1	0.151950846782	0.757585739915	0.263525575243	0.554783300275	0.000000000000	
15000	-83.992893	1	0.277553260417	0.649645480485	0.262582489745	0.554454383365	0.000000000000	
16000	-83.790214	1	0.275569992540	0.703271557151	0.262517662345	0.553670722034	0.000000000000	
17000	-83.534797	1	0.251021505278	0.681918805572	0.261927021553	0.553758685380	0.000000000000	
18000	-83.721249	1	0.234577549195	0.762522481603	0.261750558492	0.554979535696	0.000000000000	
19000	-84.200066	1	0.164314607540	0.646381114609	0.262977503737	0.554562472322	0.000000000000	
20000	-83.913585	1	0.210478928220	0.619235357646	0.261809637040	0.555729735783	0.000000000000	
21000	-83.779337	1	0.250730151567	0.760059080043	0.261922364755	0.554879634386	0.000000000000	
22000	-84.276926	1	0.177448365478	0.782076207433	0.262504187214	0.555912507323	0.000000000000	
23000	-83.837818	1	0.179255953216	0.665215304244	0.262447826850	0.554034189567	0.000000000000	
24000	-83.884381	1	0.251990195927	0.770153610782	0.261942901327	0.555314057858	0.000000000000	
25000	-84.281603	1	0.291051644457	0.755153111819	0.263091664105	0.554692432411	0.000000000000	
26000	-83.435677	1	0.232149176219	0.710158142295	0.261739400832	0.553705586700	0.000000000000	
27000	-84.243701	1	0.226358778153	0.806237223150	0.261728269875	0.557408736347	0.000000000000	
28000	-83.982779	1	0.202194391403	0.780285046057	0.261917179861	0.555816700129	0.000000000000	
29000	-84.818793	1	0.144354849853	0.772180825888	0.263911595656	0.555409290347	0.000000000000	
30000	-84.334711	1	0.183826762821	0.604281547979	0.262314789346	0.556577449736	0.000000000000	
31000	-86.218098	1	0.092309132093	0.660553917248	0.267565822450	0.554143455960	0.000000000000	
32000	-84.098577	1	0.224350763482	0.796237761486	0.261729501586	0.556743450786	0.000000000000	
33000	-84.562225	1	0.149984441560	0.638511740827	0.263621906337	0.554851530110	0.000000000000	
34000	-83.979464	1	0.249317413888	0.617194648903	0.261900567316	0.555836852667	0.000000000000	
35000	-89.383769	1	0.129938933749	0.444189004836	0.264747376556	0.574764990289	0.000000000000	
36000	-83.647322	1	0.259429365376	0.727776905026	0.262085189618	0.553935172998	0.000000000000	
