Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.050000	3.664811	530	0.043396	4.776927	470	0.057447	0.050000	0.057971	
1000	0.076000	2.150208	484	0.068182	4.421535	516	0.083333	0.076000	0.063979	
1000	0.093000	1.980881	500	0.116000	3.502868	500	0.070000	0.093000	0.071232	
1000	0.080000	1.886730	485	0.082474	3.095458	515	0.077670	0.080000	0.072985	
1000	0.110000	1.791713	516	0.073643	1.990979	484	0.148760	0.110000	0.079153	
1000	0.158000	0.973663	483	0.180124	1.962414	517	0.137331	0.158000	0.090416	
1000	0.253000	0.539584	503	0.320080	1.442538	497	0.185111	0.253000	0.110736	
1000	0.255000	0.539584	481	0.328482	1.316568	519	0.186898	0.255000	0.126764	
1000	0.341000	0.539584	494	0.342105	0.871513	506	0.339921	0.341000	0.148185	
1000	0.305000	0.539584	506	0.296443	0.871513	494	0.313765	0.305000	0.162440	
1000	0.331000	0.539584	518	0.341699	0.871513	482	0.319502	0.331000	0.176485	
1000	0.319000	0.539584	505	0.362376	0.871513	495	0.274747	0.319000	0.187447	
1000	0.342000	0.539584	510	0.354902	0.871513	490	0.328571	0.342000	0.198486	
1000	0.346000	0.539584	489	0.359918	0.871513	511	0.332681	0.346000	0.208319	
1000	0.322000	0.539584	488	0.344262	0.871513	512	0.300781	0.322000	0.215424	
1000	0.329000	0.539584	514	0.361868	0.871513	486	0.294239	0.329000	0.222105	
1000	0.350000	0.539584	528	0.363636	0.871513	472	0.334746	0.350000	0.229209	
1000	0.309000	0.539584	501	0.319361	0.871513	499	0.298597	0.309000	0.233409	
1000	0.305000	0.539584	538	0.308550	0.871513	462	0.300866	0.305000	0.236988	
1000	0.338000	0.539584	482	0.363071	0.871513	518	0.314672	0.338000	0.241798	
1000	0.325000	0.539584	475	0.332632	0.871513	525	0.318095	0.325000	0.245580	
1000	0.321000	0.539584	521	0.333973	0.871513	479	0.306889	0.321000	0.248859	
1000	0.322000	0.539584	501	0.345309	0.871513	499	0.298597	0.322000	0.251906	
1000	0.334000	0.539584	466	0.369099	0.871513	534	0.303371	0.334000	0.255190	
1000	0.335000	0.539584	489	0.366053	0.871513	511	0.305284	0.335000	0.258259	
1000	0.331000	0.539584	500	0.336000	0.871513	500	0.326000	0.331000	0.260953	
1000	0.329000	0.539584	521	0.341651	0.871513	479	0.315240	0.329000	0.263383	
1000	0.312000	0.539584	497	0.323944	0.871513	503	0.300199	0.312000	0.265060	
1000	0.320000	0.539584	479	0.327766	0.871513	521	0.312860	0.320000	0.266891	
1000	0.317000	0.539584	488	0.319672	0.871513	512	0.314453	0.317000	0.268507	
1000	0.320000	0.539584	497	0.323944	0.871513	503	0.316103	0.320000	0.270117	
1000	0.355000	0.539584	489	0.388548	0.871513	511	0.322896	0.355000	0.272689	
1000	0.335000	0.539584	494	0.366397	0.871513	506	0.304348	0.335000	0.274521	
1000	0.315000	0.539584	512	0.332031	0.871513	488	0.297131	0.315000	0.275678	
1000	0.313000	0.539584	469	0.319829	0.871513	531	0.306968	0.313000	0.276715	
1000	0.328000	0.539584	510	0.347059	0.871513	490	0.308163	0.328000	0.278101	
1000	0.328000	0.539584	480	0.297917	0.871513	520	0.355769	0.328000	0.279414	
1000	0.325000	0.539584	495	0.325253	0.871513	505	0.324752	0.325000	0.280583	
1000	0.333000	0.539584	494	0.352227	0.871513	506	0.314229	0.333000	0.281893	
1000	0.323000	0.539584	454	0.330396	0.871513	546	0.316850	0.323000	0.282896	
1000	0.328000	0.539584	473	0.357294	0.871513	527	0.301708	0.328000	0.283969	
1000	0.308000	0.539584	531	0.337100	0.871513	469	0.275053	0.308000	0.284528	
1000	0.335000	0.539584	509	0.396857	0.871513	491	0.270876	0.335000	0.285675	
1000	0.328000	0.539584	505	0.356436	0.871513	495	0.298990	0.328000	0.286616	
1000	0.308000	0.539584	501	0.319361	0.871513	499	0.296593	0.308000	0.287081	
1000	0.318000	0.539584	489	0.382413	0.871513	511	0.256360	0.318000	0.287739	
1000	0.333000	0.539584	528	0.327652	0.871513	472	0.338983	0.333000	0.288681	
1000	0.316000	0.539584	498	0.337349	0.871513	502	0.294821	0.316000	0.289239	
1000	0.325000	0.539584	526	0.326996	0.871513	474	0.322785	0.325000	0.289954	
1000	0.312000	0.539584	489	0.327198	0.871513	511	0.297456	0.312000	0.290386	
1000	0.315000	0.539584	501	0.325349	0.871513	499	0.304609	0.315000	0.290860	
1000	0.303000	0.539584	530	0.300000	0.871513	470	0.306383	0.303000	0.291089	
1000	0.331000	0.539584	498	0.337349	0.871513	502	0.324701	0.331000	0.291828	
1000	0.304000	0.539584	511	0.340509	0.871513	489	0.265849	0.304000	0.292049	
1000	0.327000	0.539584	503	0.365805	0.871513	497	0.287726	0.327000	0.292673	
1000	0.341000	0.539584	478	0.357741	0.871513	522	0.325670	0.341000	0.293521	
1000	0.354000	0.539584	505	0.374257	0.871513	495	0.333333	0.354000	0.294564	
1000	0.301000	0.539584	498	0.283133	0.871513	502	0.318725	0.301000	0.294673	
1000	0.298000	0.539584	492	0.315041	0.871513	508	0.281496	0.298000	0.294728	
1000	0.325000	0.539584	500	0.330000	0.871513	500	0.320000	0.325000	0.295225	
1000	0.310000	0.539584	498	0.343373	0.871513	502	0.276892	0.310000	0.295463	
1000	0.337000	0.539584	498	0.335341	0.871513	502	0.338645	0.337000	0.296122	
1000	0.312000	0.539584	488	0.340164	0.871513	512	0.285156	0.312000	0.296370	
1000	0.350000	0.539584	475	0.385263	0.871513	525	0.318095	0.350000	0.297195	
1000	0.294000	0.539584	519	0.285164	0.871513	481	0.303534	0.294000	0.297147	
1000	0.338000	0.539584	510	0.368627	0.871513	490	0.306122	0.338000	0.297757	
1000	0.340000	0.539584	510	0.378431	0.871513	490	0.300000	0.340000	0.298378	
1000	0.311000	0.539584	484	0.316116	0.871513	516	0.306202	0.311000	0.298561	
1000	0.321000	0.539584	481	0.349272	0.871513	519	0.294798	0.321000	0.298881	
1000	0.329000	0.539584	517	0.373308	0.871513	483	0.281573	0.329000	0.299306	
1000	0.365000	0.539584	477	0.394130	0.871513	523	0.338432	0.365000	0.300218	
1000	0.350000	0.539584	499	0.354709	0.871513	501	0.345309	0.350000	0.300900	
1000	0.290000	0.539584	484	0.305785	0.871513	516	0.275194	0.290000	0.300753	
1000	0.316000	0.539584	481	0.330561	0.871513	519	0.302505	0.316000	0.300956	
1000	0.327000	0.539584	511	0.367906	0.871513	489	0.284254	0.327000	0.301299	
1000	0.329000	0.539584	528	0.350379	0.871513	472	0.305085	0.329000	0.301658	
1000	0.369000	0.539584	517	0.411992	0.871513	483	0.322981	0.369000	0.302522	
1000	0.336000	0.570532	502	0.308765	0.871513	498	0.363454	0.336000	0.302946	
1000	0.334000	0.570532	499	0.350701	0.871513	501	0.317365	0.334000	0.303334	
1000	0.328000	0.570532	485	0.364948	0.871513	515	0.293204	0.328000	0.303638	
1000	0.281000	0.570532	508	0.318898	0.871513	492	0.241870	0.281000	0.303362	
1000	0.300000	0.570532	509	0.298625	0.871513	491	0.301426	0.300000	0.303322	
1000	0.312000	0.570532	506	0.330040	0.871513	494	0.293522	0.312000	0.303425	
1000	0.303000	0.570532	484	0.334711	0.871513	516	0.273256	0.303000	0.303420	
1000	0.319000	0.570532	492	0.310976	0.871513	508	0.326772	0.319000	0.303601	
1000	0.315000	0.570532	497	0.287726	0.871513	503	0.341948	0.315000	0.303732	
1000	0.347000	0.570532	494	0.356275	0.871513	506	0.337945	0.347000	0.304224	
1000	0.315000	0.570532	499	0.314629	0.871513	501	0.315369	0.315000	0.304345	
1000	0.309000	0.570532	500	0.328000	0.871513	500	0.290000	0.309000	0.304397	
