Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.040000	4.550083	512	0.035156	4.603415	488	0.045082	0.040000	0.295352	
1000	0.067000	2.863151	523	0.063098	3.109826	477	0.071279	0.067000	0.219260	
1000	0.088000	2.255590	519	0.096339	2.656027	481	0.079002	0.088000	0.186453	
1000	0.094000	1.864423	534	0.084270	1.886519	466	0.105150	0.094000	0.167966	
1000	0.119000	1.185279	502	0.151394	1.748955	498	0.086345	0.119000	0.159807	
1000	0.236000	0.703750	483	0.296066	1.336196	517	0.179884	0.236000	0.170690	
1000	0.229000	0.703750	472	0.260593	0.812319	528	0.200758	0.229000	0.177978	
1000	0.218000	0.703750	507	0.226824	0.812319	493	0.208925	0.218000	0.182424	
1000	0.259000	0.703750	515	0.289320	0.812319	485	0.226804	0.259000	0.190081	
1000	0.226000	0.703750	494	0.248988	0.812319	506	0.203557	0.226000	0.193346	
1000	0.239000	0.703750	519	0.246628	0.812319	481	0.230769	0.239000	0.197150	
1000	0.224000	0.703750	511	0.238748	0.812319	489	0.208589	0.224000	0.199215	
1000	0.229000	0.703750	483	0.273292	0.812319	517	0.187621	0.229000	0.201343	
1000	0.270000	0.703750	505	0.251485	0.556435	495	0.288889	0.270000	0.205920	
1000	0.282000	0.703750	503	0.268390	0.556435	497	0.295775	0.282000	0.210674	
1000	0.275000	0.703750	489	0.239264	0.556435	511	0.309198	0.275000	0.214458	
1000	0.308000	0.703750	490	0.261224	0.556435	510	0.352941	0.308000	0.219654	
1000	0.310000	0.703750	493	0.312373	0.556435	507	0.307692	0.310000	0.224409	
1000	0.292000	0.703750	483	0.273292	0.556435	517	0.309478	0.292000	0.227789	
1000	0.256000	0.703750	505	0.231683	0.556435	495	0.280808	0.256000	0.229132	
1000	0.296000	0.703750	494	0.271255	0.556435	506	0.320158	0.296000	0.232171	
