Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.469000	1.965196	503	0.061630	0.149869	497	0.881288	0.469000	0.505247	
1000	0.512000	1.467265	506	0.138340	0.167136	494	0.894737	0.512000	0.507498	
1000	0.474000	1.375835	510	0.115686	0.311660	490	0.846939	0.474000	0.499125	
1000	0.507000	0.734505	503	0.238569	0.412921	497	0.778672	0.507000	0.500700	
1000	0.370000	0.734505	502	0.264940	0.559448	498	0.475904	0.370000	0.478920	
1000	0.196000	0.734505	490	0.232653	0.991075	510	0.160784	0.196000	0.438509	
1000	0.269000	0.734505	519	0.269750	0.685466	481	0.268191	0.269000	0.417323	
1000	0.293000	0.734505	502	0.268924	0.685466	498	0.317269	0.293000	0.403511	
1000	0.266000	0.734505	492	0.250000	0.685466	508	0.281496	0.266000	0.389761	
1000	0.257000	0.734505	485	0.235052	0.685466	515	0.277670	0.257000	0.377693	
1000	0.269000	0.734505	488	0.282787	0.685466	512	0.255859	0.269000	0.368636	
1000	0.264000	0.734505	506	0.250988	0.685466	494	0.277328	0.264000	0.360588	
1000	0.263000	0.734505	501	0.269461	0.685466	499	0.256513	0.263000	0.353618	
1000	0.264000	0.734505	516	0.288760	0.685466	484	0.237603	0.264000	0.347643	
1000	0.266000	0.734505	480	0.285417	0.685466	520	0.248077	0.266000	0.342541	
1000	0.261000	0.734505	476	0.275210	0.685466	524	0.248092	0.261000	0.337745	
1000	0.259000	0.734505	475	0.256842	0.685466	525	0.260952	0.259000	0.333370	
1000	0.263000	0.734505	524	0.291985	0.685466	476	0.231092	0.263000	0.329667	
1000	0.241000	0.734505	522	0.239464	0.685466	478	0.242678	0.241000	0.325234	
1000	0.252000	0.734505	518	0.252896	0.685466	482	0.251037	0.252000	0.321747	
1000	0.267000	0.734505	504	0.251984	0.685466	496	0.282258	0.267000	0.319258	
1000	0.255000	0.734505	501	0.255489	0.685466	499	0.254509	0.255000	0.316465	
1000	0.270000	0.734505	500	0.268000	0.685466	500	0.272000	0.270000	0.314529	
1000	0.266000	0.734505	531	0.241055	0.685466	469	0.294243	0.266000	0.312587	
1000	0.278000	0.734505	532	0.289474	0.685466	468	0.264957	0.278000	0.311257	
1000	0.249000	0.734505	499	0.236473	0.685466	501	0.261477	0.249000	0.308952	
1000	0.232000	0.734505	470	0.265957	0.685466	530	0.201887	0.232000	0.306203	
1000	0.259000	0.734505	540	0.237037	0.685466	460	0.284783	0.259000	0.304576	
1000	0.248000	0.734505	503	0.244533	0.685466	497	0.251509	0.248000	0.302690	
1000	0.240000	0.734505	487	0.244353	0.685466	513	0.235867	0.240000	0.300668	
1000	0.246000	0.734505	499	0.236473	0.685466	501	0.255489	0.246000	0.298959	
1000	0.256000	0.734505	490	0.259184	0.685466	510	0.252941	0.256000	0.297658	
1000	0.271000	0.734505	517	0.261122	0.685466	483	0.281573	0.271000	0.296874	
1000	0.269000	0.734505	524	0.257634	0.685466	476	0.281513	0.269000	0.296077	
1000	0.255000	0.734505	481	0.251559	0.685466	519	0.258189	0.255000	0.294936	
1000	0.264000	0.734505	486	0.277778	0.685466	514	0.250973	0.264000	0.294100	
1000	0.242000	0.734505	530	0.239623	0.685466	470	0.244681	0.242000	0.292729	
1000	0.273000	0.734505	499	0.260521	0.685466	501	0.285429	0.273000	0.292223	
1000	0.248000	0.734505	501	0.247505	0.685466	499	0.248497	0.248000	0.291118	
1000	0.294000	0.734505	486	0.302469	0.685466	514	0.285992	0.294000	0.291188	
1000	0.311000	0.734505	485	0.317526	0.685466	515	0.304854	0.311000	0.291660	
1000	0.244000	0.734505	505	0.231683	0.685466	495	0.256566	0.244000	0.290551	
1000	0.247000	0.734505	488	0.237705	0.685466	512	0.255859	0.247000	0.289562	
1000	0.232000	0.734505	537	0.243948	0.685466	463	0.218143	0.232000	0.288282	
1000	0.254000	0.734505	496	0.278226	0.685466	504	0.230159	0.254000	0.287537	
1000	0.251000	0.734505	492	0.237805	0.685466	508	0.263780	0.251000	0.286760	
1000	0.276000	0.734505	498	0.287149	0.685466	502	0.264940	0.276000	0.286536	
1000	0.248000	0.734505	528	0.246212	0.685466	472	0.250000	0.248000	0.285749	
1000	0.235000	0.734505	505	0.241584	0.685466	495	0.228283	0.235000	0.284734	
1000	0.260000	0.734505	493	0.265720	0.685466	507	0.254438	0.260000	0.284249	
1000	0.265000	0.734505	498	0.273092	0.685466	502	0.256972	0.265000	0.283879	
1000	0.251000	0.734505	516	0.248062	0.685466	484	0.254132	0.251000	0.283259	
1000	0.247000	0.734505	507	0.246548	0.685466	493	0.247465	0.247000	0.282587	
1000	0.241000	0.734505	501	0.215569	0.685466	499	0.266533	0.241000	0.281831	
1000	0.221000	0.734505	527	0.231499	0.685466	473	0.209302	0.221000	0.280745	
1000	0.273000	0.734505	495	0.286869	0.685466	505	0.259406	0.273000	0.280609	
1000	0.229000	0.734505	532	0.218045	0.685466	468	0.241453	0.229000	0.279719	
1000	0.237000	0.734505	477	0.241090	0.685466	523	0.233270	0.237000	0.278995	
1000	0.246000	0.734505	478	0.234310	0.685466	522	0.256705	0.246000	0.278445	
1000	0.257000	0.734505	500	0.206000	0.685466	500	0.308000	0.257000	0.278094	
1000	0.269000	0.734505	510	0.250980	0.685466	490	0.287755	0.269000	0.277947	
1000	0.272000	0.734505	506	0.292490	0.685466	494	0.251012	0.272000	0.277853	
1000	0.257000	0.734505	503	0.250497	0.685466	497	0.263581	0.257000	0.277527	
1000	0.247000	0.734505	492	0.252033	0.685466	508	0.242126	0.247000	0.277057	
1000	0.249000	0.734505	504	0.275794	0.685466	496	0.221774	0.249000	0.276632	
1000	0.253000	0.734505	482	0.257261	0.685466	518	0.249035	0.253000	0.276279	
1000	0.266000	0.734505	510	0.256863	0.685466	490	0.275510	0.266000	0.276128	
1000	0.239000	0.734505	471	0.256900	0.685466	529	0.223062	0.239000	0.275590	
1000	0.255000	0.734505	523	0.263862	0.685466	477	0.245283	0.255000	0.275296	
1000	0.237000	0.734505	493	0.231237	0.685466	507	0.242604	0.237000	0.274757	
1000	0.256000	0.734505	475	0.256842	0.685466	525	0.255238	0.256000	0.274496	
1000	0.254000	0.734505	516	0.236434	0.685466	484	0.272727	0.254000	0.274215	
1000	0.253000	0.734505	490	0.238776	0.685466	510	0.266667	0.253000	0.273929	
1000	0.270000	0.734505	532	0.259398	0.685466	468	0.282051	0.270000	0.273876	
1000	0.259000	0.734505	488	0.239754	0.685466	512	0.277344	0.259000	0.273681	
1000	0.230000	0.734505	504	0.236111	0.685466	496	0.223790	0.230000	0.273113	
1000	0.250000	0.734505	467	0.256959	0.685466	533	0.243902	0.250000	0.272817	
1000	0.258000	0.734505	496	0.241935	0.685466	504	0.273810	0.258000	0.272629	
1000	0.258000	0.734505	514	0.254864	0.685466	486	0.261317	0.258000	0.272447	
1000	0.274000	0.734505	524	0.286260	0.685466	476	0.260504	0.274000	0.272466	
1000	0.289000	0.734505	507	0.307692	0.685466	493	0.269777	0.289000	0.272667	
1000	0.270000	0.734505	498	0.269076	0.685466	502	0.270916	0.270000	0.272635	
1000	0.253000	0.734505	522	0.235632	0.685466	478	0.271967	0.253000	0.272402	
1000	0.250000	0.734505	481	0.253638	0.685466	519	0.246628	0.250000	0.272138	
1000	0.253000	0.734505	503	0.244533	0.685466	497	0.261569	0.253000	0.271915	
1000	0.265000	0.734505	460	0.282609	0.685466	540	0.250000	0.265000	0.271836	
1000	0.262000	0.734505	462	0.235931	0.685466	538	0.284387	0.262000	0.271724	
1000	0.261000	0.734505	496	0.260081	0.685466	504	0.261905	0.261000	0.271604	
1000	0.266000	0.734505	484	0.239669	0.685466	516	0.290698	0.266000	0.271541	
1000	0.267000	0.734505	485	0.263918	0.685466	515	0.269903	0.267000	0.271492	
1000	0.247000	0.734505	524	0.240458	0.685466	476	0.254202	0.247000	0.271225	
1000	0.242000	0.734505	529	0.243856	0.685466	471	0.239915	0.242000	0.270911	
1000	0.240000	0.734505	519	0.250482	0.685466	481	0.228690	0.240000	0.270582	
1000	0.269000	0.734505	488	0.262295	0.685466	512	0.275391	0.269000	0.270566	
1000	0.268000	0.734505	489	0.267894	0.685466	511	0.268102	0.268000	0.270539	
1000	0.246000	0.734505	499	0.268537	0.685466	501	0.223553	0.246000	0.270286	
1000	0.238000	0.734505	498	0.244980	0.685466	502	0.231076	0.238000	0.269956	
