Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.049398	0.049398
1	0.995007	75000	0.049377	0.098775
2	0.992517	75000	0.049230	0.148005
3	0.990030	75000	0.049207	0.197212
4	0.987547	75000	0.049117	0.246329
5	0.985067	75000	0.049027	0.295357
6	0.982592	75000	0.048969	0.344326
7	0.980120	75000	0.048921	0.393247
8	0.977652	75000	0.048843	0.442090
9	0.975187	75000	0.048747	0.490837
10	0.972726	75000	0.048638	0.539475
11	0.970269	75000	0.048592	0.588067
12	0.967816	75000	0.048525	0.636592
13	0.965367	75000	0.048347	0.684939
14	0.962921	75000	0.048345	0.733283
15	0.960479	75000	0.048218	0.781502
16	0.958040	75000	0.048150	0.829652
17	0.955606	75000	0.048041	0.877693
18	0.953175	75000	0.048008	0.925701
19	0.950747	75000	0.047969	0.973670
20	0.948324	75000	0.047833	1.021502
21	0.945904	75000	0.047806	1.069308
22	0.943488	75000	0.047665	1.116973
23	0.941076	75000	0.047590	1.164563
24	0.938667	75000	0.047534	1.212097
25	0.936262	75000	0.047456	1.259553
26	0.933861	75000	0.047351	1.306904
27	0.931463	75000	0.047276	1.354180
28	0.929069	75000	0.047223	1.401404
29	0.926679	75000	0.047127	1.448531
30	0.924293	75000	0.047018	1.495549
31	0.921910	75000	0.046982	1.542531
32	0.919531	75000	0.046841	1.589372
33	0.917155	75000	0.046754	1.636126
34	0.914783	75000	0.046743	1.682869
35	0.912415	75000	0.046620	1.729489
36	0.910051	75000	0.046553	1.776042
37	0.907690	75000	0.046448	1.822490
38	0.905333	75000	0.046436	1.868926
39	0.902980	75000	0.046256	1.915182
40	0.900630	75000	0.046258	1.961440
41	0.898284	75000	0.046127	2.007567
42	0.895942	75000	0.046054	2.053620
43	0.893603	75000	0.045991	2.099612
44	0.891268	75000	0.045958	2.145569
45	0.888937	75000	0.045764	2.191333
46	0.886609	75000	0.045737	2.237070
47	0.884285	75000	0.045744	2.282815
48	0.881965	75000	0.045646	2.328461
49	0.879648	75000	0.045498	2.373959
50	0.877335	75000	0.045480	2.419439
51	0.875026	75000	0.045296	2.464735
52	0.872720	75000	0.045281	2.510016
53	0.870418	75000	0.045191	2.555207
54	0.868120	75000	0.045120	2.600327
55	0.865825	75000	0.045096	2.645423
56	0.863534	75000	0.044973	2.690395
57	0.861246	75000	0.044906	2.735301
58	0.858962	75000	0.044867	2.780168
59	0.856682	75000	0.044692	2.824860
60	0.854405	75000	0.044592	2.869452
61	0.852132	75000	0.044602	2.914054
62	0.849863	75000	0.044539	2.958592
63	0.847597	75000	0.044453	3.003046
64	0.845335	75000	0.044335	3.047381
65	0.843077	75000	0.044276	3.091657
66	0.840822	75000	0.044204	3.135861
67	0.838571	75000	0.044154	3.180015
68	0.836323	75000	0.044050	3.224065
69	0.834079	75000	0.043937	3.268002
70	0.831839	75000	0.043882	3.311884
71	0.829602	75000	0.043760	3.355644
72	0.827369	75000	0.043697	3.399341
73	0.825140	75000	0.043624	3.442966
74	0.822914	75000	0.043544	3.486510
75	0.820691	75000	0.043509	3.530018
76	0.818473	75000	0.043412	3.573431
77	0.816258	75000	0.043332	3.616762
78	0.814046	75000	0.043287	3.660049
79	0.811838	75000	0.043227	3.703276
80	0.809634	75000	0.043141	3.746417
81	0.807433	75000	0.043066	3.789483
82	0.805236	75000	0.042961	3.832444
83	0.803043	75000	0.042914	3.875358
84	0.800853	75000	0.042821	3.918178
85	0.798667	75000	0.042697	3.960875
86	0.796484	75000	0.042604	4.003479
87	0.794305	75000	0.042536	4.046016
88	0.792129	75000	0.042454	4.088470
89	0.789957	75000	0.042383	4.130853
90	0.787789	75000	0.042318	4.173170
91	0.785624	75000	0.042270	4.215440
92	0.783463	75000	0.042224	4.257664
93	0.781305	75000	0.042038	4.299702
94	0.779151	75000	0.042010	4.341712
95	0.777000	75000	0.041881	4.383593
96	0.774853	75000	0.041917	4.425510
97	0.772710	75000	0.041714	4.467223
98	0.770570	75000	0.041669	4.508893
99	0.768433	75000	0.041622	4.550515
100	0.766301	75000	0.041536	4.592051
101	0.764172	75000	0.041456	4.633507
102	0.762046	75000	0.041411	4.674918
103	0.759924	75000	0.041297	4.716215
104	0.757805	75000	0.041226	4.757441
105	0.755690	75000	0.041148	4.798589
106	0.753579	75000	0.041060	4.839649
107	0.751471	75000	0.041000	4.880649
108	0.749366	75000	0.040956	4.921604
109	0.747266	75000	0.040889	4.962493
110	0.745168	75000	0.040734	5.003228
111	0.743075	75000	0.040665	5.043892
112	0.740984	75000	0.040628	5.084520
113	0.738898	75000	0.040585	5.125105
114	0.736815	75000	0.040469	5.165574
115	0.734735	75000	0.040383	5.205957
116	0.732659	75000	0.040392	5.246349
117	0.730586	75000	0.040184	5.286532
118	0.728517	75000	0.040198	5.326730
119	0.726452	75000	0.040077	5.366807
120	0.724390	75000	0.039973	5.406780
121	0.722331	75000	0.039965	5.446745
122	0.720276	75000	0.039848	5.486593
123	0.718225	75000	0.039776	5.526370
124	0.716177	75000	0.039672	5.566041
125	0.714132	75000	0.039617	5.605659
126	0.712091	75000	0.039563	5.645221
127	0.710054	75000	0.039510	5.684731
128	0.708020	75000	0.039342	5.724074
129	0.705989	75000	0.039308	5.763381
130	0.703962	75000	0.039237	5.802619
131	0.701939	75000	0.039234	5.841852
132	0.699919	75000	0.039076	5.880928
133	0.697902	75000	0.039028	5.919956
134	0.695889	75000	0.038908	5.958865
135	0.693880	75000	0.038867	5.997732
136	0.691874	75000	0.038755	6.036486
137	0.689871	75000	0.038807	6.075293
138	0.687872	75000	0.038613	6.113906
139	0.685877	75000	0.038596	6.152502
140	0.683885	75000	0.038480	6.190982
141	0.681896	75000	0.038371	6.229353
142	0.679911	75000	0.038269	6.267622
143	0.677929	75000	0.038260	6.305882
144	0.675951	75000	0.038244	6.344126
145	0.673976	75000	0.038120	6.382246
146	0.672005	75000	0.038051	6.420297
147	0.670037	75000	0.037997	6.458293
148	0.668073	75000	0.037859	6.496153
149	0.666112	75000	0.037773	6.533926
150	0.664155	75000	0.037735	6.571661
151	0.662201	75000	0.037718	6.609379
152	0.660250	75000	0.037538	6.646917
153	0.658303	75000	0.037527	6.684444
154	0.656359	75000	0.037413	6.721858
155	0.654419	75000	0.037384	6.759242
156	0.652483	75000	0.037220	6.796462
157	0.650549	75000	0.037196	6.833658
158	0.648619	75000	0.037134	6.870792
159	0.646693	75000	0.037011	6.907803
160	0.644770	75000	0.036975	6.944778
161	0.642851	75000	0.036901	6.981679
162	0.640934	75000	0.036858	7.018537
163	0.639022	75000	0.036699	7.055236
164	0.637113	75000	0.036662	7.091898
165	0.635207	75000	0.036613	7.128511
166	0.633304	75000	0.036533	7.165044
167	0.631405	75000	0.036394	7.201437
168	0.629510	75000	0.036382	7.237819
169	0.627618	75000	0.036254	7.274073
170	0.625729	75000	0.036202	7.310275
171	0.623844	75000	0.036166	7.346441
172	0.621962	75000	0.036107	7.382548
173	0.620083	75000	0.035961	7.418509
174	0.618208	75000	0.035934	7.454443
175	0.616337	75000	0.035908	7.490350
176	0.614468	75000	0.035722	7.526072
177	0.612604	75000	0.035739	7.561812
178	0.610742	75000	0.035576	7.597388
179	0.608884	75000	0.035587	7.632974
180	0.607029	75000	0.035479	7.668453
181	0.605178	75000	0.035412	7.703865
182	0.603330	75000	0.035472	7.739337
183	0.601486	75000	0.035221	7.774557
184	0.599645	75000	0.035200	7.809757
185	0.597807	75000	0.035009	7.844766
186	0.595973	75000	0.035067	7.879834
187	0.594142	75000	0.034949	7.914782
188	0.592314	75000	0.034963	7.949745
189	0.590490	75000	0.034795	7.984540
190	0.588669	75000	0.034735	8.019275
191	0.586852	75000	0.034657	8.053933
192	0.585038	75000	0.034590	8.088522
193	0.583227	75000	0.034498	8.123020
194	0.581420	75000	0.034457	8.157477
195	0.579616	75000	0.034332	8.191809
196	0.577815	75000	0.034332	8.226141
197	0.576018	75000	0.034120	8.260261
198	0.574224	75000	0.034177	8.294438
199	0.572433	75000	0.034045	8.328483
