Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.032000	7.026284	515	0.019417	4.208505	485	0.045361	0.032000	0.060970	
1000	0.069000	6.838167	524	0.036260	2.382737	476	0.105042	0.069000	0.063645	
1000	0.079000	5.608920	496	0.034274	1.495998	504	0.123016	0.079000	0.067483	
1000	0.099000	4.312786	520	0.042308	1.309268	480	0.160417	0.099000	0.073785	
1000	0.155000	2.265107	459	0.100218	0.832671	541	0.201479	0.155000	0.087319	
1000	0.153000	1.819053	529	0.085066	0.832671	471	0.229299	0.153000	0.096700	
1000	0.170000	1.528166	523	0.110899	0.832671	477	0.234801	0.170000	0.105862	
1000	0.213000	1.283446	491	0.173116	0.832671	509	0.251473	0.213000	0.117765	
1000	0.186000	1.256179	496	0.143145	0.832671	504	0.228175	0.186000	0.124588	
1000	0.234000	0.654782	508	0.248031	0.832671	492	0.219512	0.234000	0.134533	
1000	0.252000	0.654782	498	0.279116	0.832671	502	0.225100	0.252000	0.144321	
1000	0.234000	0.654782	471	0.267516	0.832671	529	0.204159	0.234000	0.151219	
1000	0.268000	0.654782	516	0.292636	0.832671	484	0.241736	0.268000	0.159560	
1000	0.247000	0.654782	507	0.264300	0.832671	493	0.229209	0.247000	0.165389	
1000	0.247000	0.654782	499	0.266533	0.832671	501	0.227545	0.247000	0.170489	
1000	0.254000	0.654782	509	0.282908	0.832671	491	0.224033	0.254000	0.175401	
1000	0.258000	0.654782	498	0.285141	0.832671	502	0.231076	0.258000	0.179990	
1000	0.260000	0.654782	501	0.285429	0.832671	499	0.234469	0.260000	0.184201	
1000	0.275000	0.654782	529	0.281664	0.832671	471	0.267516	0.275000	0.188741	
1000	0.277000	0.654782	508	0.295276	0.832671	492	0.258130	0.277000	0.192943	
1000	0.253000	0.654782	514	0.299611	0.832671	486	0.203704	0.253000	0.195673	
1000	0.243000	0.654782	482	0.278008	0.832671	518	0.210425	0.243000	0.197731	
1000	0.279000	0.654782	502	0.314741	0.832671	498	0.242972	0.279000	0.201117	
1000	0.275000	0.654782	460	0.306522	0.832671	540	0.248148	0.275000	0.204072	
1000	0.269000	0.654782	499	0.292585	0.832671	501	0.245509	0.269000	0.206569	
1000	0.241000	0.654782	481	0.261954	0.832671	519	0.221580	0.241000	0.207844	
1000	0.276000	0.654782	513	0.296296	0.832671	487	0.254620	0.276000	0.210278	
1000	0.265000	0.654782	495	0.276768	0.832671	505	0.253465	0.265000	0.212165	
