Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.030000	3.898908	482	0.035270	8.001749	518	0.025097	0.030000	0.050975	
1000	0.041000	3.888381	484	0.057851	7.238214	516	0.025194	0.041000	0.047651	
1000	0.039000	3.063272	498	0.054217	5.322604	502	0.023904	0.039000	0.045489	
1000	0.090000	1.638497	535	0.119626	3.472623	465	0.055914	0.090000	0.054389	
1000	0.112000	1.071783	525	0.156190	3.044642	475	0.063158	0.112000	0.063989	
1000	0.138000	1.008115	472	0.173729	1.723696	528	0.106061	0.138000	0.074561	
1000	0.208000	1.004905	519	0.186898	0.900253	481	0.230769	0.208000	0.091239	
1000	0.237000	0.803892	522	0.226054	0.900253	478	0.248954	0.237000	0.107433	
1000	0.214000	0.803892	477	0.257862	0.900253	523	0.173996	0.214000	0.118088	
1000	0.233000	0.803892	481	0.237006	0.855491	519	0.229287	0.233000	0.128534	
1000	0.231000	0.803892	511	0.225049	0.855491	489	0.237219	0.231000	0.137072	
1000	0.241000	0.803892	511	0.256360	0.855491	489	0.224949	0.241000	0.145066	
1000	0.243000	0.803892	479	0.231733	0.855491	521	0.253359	0.243000	0.152061	
1000	0.225000	0.803892	469	0.217484	0.855491	531	0.231638	0.225000	0.156923	
1000	0.244000	0.803892	494	0.226721	0.855491	506	0.260870	0.244000	0.162365	
1000	0.237000	0.803892	511	0.232877	0.855491	489	0.241309	0.237000	0.166755	
1000	0.231000	0.803892	503	0.226640	0.855491	497	0.235412	0.231000	0.170324	
1000	0.225000	0.803892	478	0.244770	0.855491	522	0.206897	0.225000	0.173201	
1000	0.232000	0.803892	490	0.206122	0.855491	510	0.256863	0.232000	0.176141	
1000	0.216000	0.803892	525	0.205714	0.855491	475	0.227368	0.216000	0.178039	
1000	0.209000	0.803892	489	0.218814	0.855491	511	0.199609	0.209000	0.179446	
1000	0.247000	0.803892	496	0.254032	0.746769	504	0.240079	0.247000	0.182383	
1000	0.260000	0.803892	493	0.245436	0.746769	507	0.274162	0.260000	0.185617	
1000	0.275000	0.803892	523	0.240918	0.746769	477	0.312369	0.275000	0.189192	
1000	0.276000	0.803892	505	0.231683	0.746769	495	0.321212	0.276000	0.192531	
1000	0.252000	0.803892	511	0.238748	0.746769	489	0.265849	0.252000	0.194734	
1000	0.211000	0.803892	531	0.186441	0.746769	469	0.238806	0.211000	0.195314	
1000	0.276000	0.655356	498	0.273092	0.746769	502	0.278884	0.276000	0.198097	
1000	0.275000	0.655356	536	0.294776	0.746769	464	0.252155	0.275000	0.200660	
1000	0.254000	0.655356	507	0.258383	0.746769	493	0.249493	0.254000	0.202381	
1000	0.265000	0.655356	476	0.256303	0.746769	524	0.272901	0.265000	0.204337	
1000	0.268000	0.655356	505	0.283168	0.746769	495	0.252525	0.268000	0.206266	
1000	0.268000	0.655356	488	0.278689	0.746769	512	0.257812	0.268000	0.208082	
1000	0.254000	0.655356	510	0.276471	0.746769	490	0.230612	0.254000	0.209394	
1000	0.270000	0.655356	503	0.280318	0.746769	497	0.259557	0.270000	0.211077	
