Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_gender_clause_v.txt
Log File Name:                   features_gender_clause_v.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3567077455
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_gender_clause_v.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-51.988887	1	0.290432884817	0.398085994341	0.263065732484	0.425735373367	0.000000000000	
3000	-52.116560	1	0.359237257951	0.276471813531	0.267474722506	0.419156068196	0.000000000000	
4000	-49.677386	1	0.199633100999	0.214251780649	0.261959461003	0.419509179832	0.000000000000	
5000	-51.655383	1	0.186453668816	0.399862558982	0.262244478879	0.425902763445	0.000000000000	
6000	-49.966976	1	0.171313201768	0.223235710845	0.262711325804	0.419302681387	0.000000000000	
7000	-50.498933	1	0.141720285986	0.254126724504	0.264054245349	0.418993163136	0.000000000000	
8000	-49.983029	1	0.266196149506	0.312489453535	0.262245874176	0.420102160953	0.000000000000	
9000	-53.719569	1	0.316225064001	0.435612262010	0.264357775129	0.429707359534	0.000000000000	
10000	-49.674016	1	0.262283594305	0.229251422124	0.262149335212	0.419193748462	0.000000000000	
11000	-49.974120	1	0.213438185130	0.179219876936	0.261782041526	0.420815778067	0.000000000000	
12000	-50.933658	1	0.285378493478	0.151818615131	0.262863231471	0.422394035303	0.000000000000	
13000	-52.369438	1	0.286412771360	0.414204661945	0.262903317189	0.427329262221	0.000000000000	
14000	-50.359745	1	0.150537890520	0.226242169962	0.263594539472	0.419245298452	0.000000000000	
15000	-49.975291	1	0.241165623404	0.179736306726	0.261800143429	0.420790720719	0.000000000000	
16000	-49.748443	1	0.268514544808	0.279077286368	0.262307775762	0.419196201010	0.000000000000	
17000	-50.189891	1	0.182048751186	0.324912096440	0.262364925356	0.420624137953	0.000000000000	
18000	-49.707433	1	0.195407492185	0.215161663807	0.262038541411	0.419485877135	0.000000000000	
19000	-50.119777	1	0.196910099634	0.176444810982	0.262009090360	0.420953395226	0.000000000000	
20000	-49.501287	1	0.220005804430	0.225793463540	0.261741142222	0.419253489533	0.000000000000	
21000	-50.675169	1	0.173022410671	0.347664224004	0.262651158827	0.421840364855	0.000000000000	
22000	-50.489346	1	0.250471109154	0.356100887251	0.261918270757	0.422376909517	0.000000000000	
23000	-50.367810	1	0.232130250713	0.154087296647	0.261739328935	0.422244824081	0.000000000000	
24000	-50.475941	1	0.169981468938	0.175951781519	0.262759521795	0.420978368764	0.000000000000	
25000	-52.676476	1	0.102474009958	0.354716360074	0.266713703570	0.422285683245	0.000000000000	
26000	-49.460045	1	0.232019609055	0.273474090020	0.261738913274	0.419115355048	0.000000000000	
27000	-49.573890	1	0.195760548161	0.265861305195	0.262031489560	0.419038227860	0.000000000000	
28000	-50.080655	1	0.161796552045	0.272528201096	0.263081064975	0.419103721503	0.000000000000	
