Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.125922	-0.125922
1	0.995007	75000	-0.125847	-0.251769
2	0.992517	75000	-0.125598	-0.377367
3	0.990030	75000	-0.125466	-0.502833
4	0.987547	75000	-0.125221	-0.628055
5	0.985067	75000	-0.124995	-0.753050
6	0.982592	75000	-0.124869	-0.877919
7	0.980120	75000	-0.124672	-1.002591
8	0.977652	75000	-0.124523	-1.127114
9	0.975187	75000	-0.124326	-1.251440
10	0.972726	75000	-0.124206	-1.375647
11	0.970269	75000	-0.123992	-1.499639
12	0.967816	75000	-0.123760	-1.623398
13	0.965367	75000	-0.123621	-1.747019
14	0.962921	75000	-0.123388	-1.870408
15	0.960479	75000	-0.123232	-1.993640
16	0.958040	75000	-0.123027	-2.116667
17	0.955606	75000	-0.122873	-2.239540
18	0.953175	75000	-0.122655	-2.362196
19	0.950747	75000	-0.122581	-2.484776
20	0.948324	75000	-0.122320	-2.607097
21	0.945904	75000	-0.122058	-2.729155
22	0.943488	75000	-0.121968	-2.851123
23	0.941076	75000	-0.121780	-2.972903
24	0.938667	75000	-0.121616	-3.094519
25	0.936262	75000	-0.121486	-3.216005
26	0.933861	75000	-0.121226	-3.337231
27	0.931463	75000	-0.120975	-3.458206
28	0.929069	75000	-0.120878	-3.579084
29	0.926679	75000	-0.120782	-3.699866
30	0.924293	75000	-0.120577	-3.820443
31	0.921910	75000	-0.120311	-3.940755
32	0.919531	75000	-0.120199	-4.060953
33	0.917155	75000	-0.119966	-4.180920
34	0.914783	75000	-0.119828	-4.300748
35	0.912415	75000	-0.119608	-4.420356
36	0.910051	75000	-0.119464	-4.539820
37	0.907690	75000	-0.119278	-4.659098
38	0.905333	75000	-0.119124	-4.778222
39	0.902980	75000	-0.118945	-4.897166
40	0.900630	75000	-0.118723	-5.015889
41	0.898284	75000	-0.118555	-5.134444
42	0.895942	75000	-0.118386	-5.252830
43	0.893603	75000	-0.118203	-5.371034
44	0.891268	75000	-0.117973	-5.489007
45	0.888937	75000	-0.117785	-5.606792
46	0.886609	75000	-0.117619	-5.724411
47	0.884285	75000	-0.117528	-5.841939
48	0.881965	75000	-0.117278	-5.959217
49	0.879648	75000	-0.117097	-6.076314
50	0.877335	75000	-0.116918	-6.193232
51	0.875026	75000	-0.116827	-6.310059
52	0.872720	75000	-0.116593	-6.426652
53	0.870418	75000	-0.116431	-6.543083
54	0.868120	75000	-0.116240	-6.659323
55	0.865825	75000	-0.116125	-6.775447
56	0.863534	75000	-0.115929	-6.891376
57	0.861246	75000	-0.115650	-7.007026
58	0.858962	75000	-0.115554	-7.122580
59	0.856682	75000	-0.115344	-7.237924
60	0.854405	75000	-0.115138	-7.353062
61	0.852132	75000	-0.114952	-7.468014
62	0.849863	75000	-0.114835	-7.582850
63	0.847597	75000	-0.114623	-7.697472
64	0.845335	75000	-0.114518	-7.811990
65	0.843077	75000	-0.114309	-7.926299
66	0.840822	75000	-0.114146	-8.040445
67	0.838571	75000	-0.113956	-8.154401
68	0.836323	75000	-0.113772	-8.268173
69	0.834079	75000	-0.113569	-8.381741
70	0.831839	75000	-0.113449	-8.495191
71	0.829602	75000	-0.113220	-8.608411
72	0.827369	75000	-0.113032	-8.721443
73	0.825140	75000	-0.112929	-8.834372
74	0.822914	75000	-0.112722	-8.947094
75	0.820691	75000	-0.112526	-9.059619
76	0.818473	75000	-0.112439	-9.172058
77	0.816258	75000	-0.112161	-9.284219
78	0.814046	75000	-0.112006	-9.396225
79	0.811838	75000	-0.111828	-9.508053
80	0.809634	75000	-0.111694	-9.619747
81	0.807433	75000	-0.111509	-9.731256
82	0.805236	75000	-0.111405	-9.842661
83	0.803043	75000	-0.111142	-9.953803
84	0.800853	75000	-0.110939	-10.064741
85	0.798667	75000	-0.110852	-10.175594
86	0.796484	75000	-0.110635	-10.286228
87	0.794305	75000	-0.110471	-10.396700
88	0.792129	75000	-0.110334	-10.507034
89	0.789957	75000	-0.110113	-10.617147
90	0.787789	75000	-0.109917	-10.727064
91	0.785624	75000	-0.109770	-10.836834
92	0.783463	75000	-0.109502	-10.946336
93	0.781305	75000	-0.109435	-11.055770
94	0.779151	75000	-0.109216	-11.164987
95	0.777000	75000	-0.109043	-11.274030
96	0.774853	75000	-0.108898	-11.382928
97	0.772710	75000	-0.108671	-11.491599
98	0.770570	75000	-0.108492	-11.600091
99	0.768433	75000	-0.108345	-11.708436
100	0.766301	75000	-0.108229	-11.816666
101	0.764172	75000	-0.108022	-11.924688
102	0.762046	75000	-0.107870	-12.032558
103	0.759924	75000	-0.107712	-12.140271
104	0.757805	75000	-0.107501	-12.247771
105	0.755690	75000	-0.107390	-12.355161
106	0.753579	75000	-0.107159	-12.462320
107	0.751471	75000	-0.107045	-12.569365
108	0.749366	75000	-0.106829	-12.676194
109	0.747266	75000	-0.106636	-12.782830
110	0.745168	75000	-0.106471	-12.889302
111	0.743075	75000	-0.106317	-12.995619
112	0.740984	75000	-0.106106	-13.101726
113	0.738898	75000	-0.105955	-13.207681
114	0.736815	75000	-0.105819	-13.313500
115	0.734735	75000	-0.105640	-13.419140
116	0.732659	75000	-0.105456	-13.524595
117	0.730586	75000	-0.105306	-13.629901
118	0.728517	75000	-0.105124	-13.735025
119	0.726452	75000	-0.105001	-13.840026
120	0.724390	75000	-0.104823	-13.944850
121	0.722331	75000	-0.104576	-14.049426
122	0.720276	75000	-0.104418	-14.153844
123	0.718225	75000	-0.104209	-14.258053
124	0.716177	75000	-0.104109	-14.362162
125	0.714132	75000	-0.103877	-14.466039
126	0.712091	75000	-0.103801	-14.569840
127	0.710054	75000	-0.103577	-14.673417
128	0.708020	75000	-0.103336	-14.776753
129	0.705989	75000	-0.103201	-14.879953
130	0.703962	75000	-0.102994	-14.982947
