Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.588000	4.634855	482	0.543568	0.519668	518	0.629344	0.588000	0.678161	
1000	0.180000	4.779019	486	0.047325	0.646893	514	0.305447	0.180000	0.512163	
1000	0.182000	4.321897	482	0.045643	0.646893	518	0.308880	0.182000	0.429643	
1000	0.155000	4.111055	499	0.046092	0.646893	501	0.263473	0.155000	0.374725	
1000	0.132000	4.085055	526	0.024715	0.646893	474	0.251055	0.132000	0.334278	
1000	0.166000	2.531043	487	0.055441	0.646893	513	0.270955	0.166000	0.310241	
1000	0.175000	2.163253	503	0.069583	0.646893	497	0.281690	0.175000	0.293338	
1000	0.194000	2.036958	465	0.090323	0.646893	535	0.284112	0.194000	0.282302	
1000	0.198000	2.013913	525	0.100952	0.646893	475	0.305263	0.198000	0.273873	
1000	0.211000	1.363362	503	0.133201	0.646893	497	0.289738	0.211000	0.268157	
1000	0.191000	1.293322	502	0.119522	0.646893	498	0.263052	0.191000	0.261728	
1000	0.241000	0.718200	518	0.237452	0.646893	482	0.244813	0.241000	0.260134	
1000	0.260000	0.718200	515	0.246602	0.646893	485	0.274227	0.260000	0.260124	
1000	0.294000	0.718200	509	0.292731	0.646893	491	0.295316	0.294000	0.262383	
1000	0.278000	0.718200	468	0.286325	0.646893	532	0.270677	0.278000	0.263359	
1000	0.304000	0.718200	511	0.301370	0.646893	489	0.306748	0.304000	0.265749	
1000	0.284000	0.718200	487	0.273101	0.646893	513	0.294347	0.284000	0.266763	
1000	0.282000	0.718200	504	0.267857	0.646893	496	0.296371	0.282000	0.267565	
1000	0.271000	0.718200	485	0.249485	0.646893	515	0.291262	0.271000	0.267737	
1000	0.295000	0.718200	515	0.267961	0.646893	485	0.323711	0.295000	0.269035	
1000	0.254000	0.718200	502	0.213147	0.646893	498	0.295181	0.254000	0.268351	
1000	0.283000	0.718200	526	0.262357	0.646893	474	0.305907	0.283000	0.268988	
1000	0.283000	0.718200	492	0.274390	0.646893	508	0.291339	0.283000	0.269572	
1000	0.287000	0.718200	480	0.270833	0.646893	520	0.301923	0.287000	0.270269	
