Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_gender_mood.txt
Log File Name:                   features_gender_mood.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3903735977
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_gender_mood.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	2.135738	1	0.142826142139	0.836353762367	0.263993818562	0.272231209580	0.000000000000	
3000	2.815829	1	0.160035307589	0.855714830207	0.263155951169	0.271579818969	0.000000000000	
4000	3.605590	1	0.223149188632	0.867842778481	0.261731492618	0.271295958619	0.000000000000	
5000	3.076321	1	0.178482782996	0.944245559723	0.262471674148	0.271707077153	0.000000000000	
6000	2.857560	1	0.188804025974	0.830139822635	0.262185374183	0.272491948061	0.000000000000	
7000	3.736055	1	0.222742825759	0.896751317423	0.261732378429	0.271005076263	0.000000000000	
8000	3.508775	1	0.223232169454	0.858291481882	0.261731324936	0.271511508983	0.000000000000	
9000	2.885798	1	0.175540064277	0.841508526792	0.262565993513	0.272033969550	0.000000000000	
10000	3.427847	1	0.185501456775	0.917725082207	0.262269446799	0.271134220798	0.000000000000	
11000	2.801029	1	0.159941316812	0.940863674884	0.263160004254	0.271608582427	0.000000000000	
12000	3.338398	1	0.239795811917	0.847311699525	0.261787509349	0.271832596071	0.000000000000	
13000	3.281856	1	0.192342507176	0.853880444688	0.262103167077	0.271631081653	0.000000000000	
14000	3.455658	1	0.207028592741	0.858441160830	0.261849002867	0.271507673511	0.000000000000	
15000	1.476998	1	0.120819159906	0.961138177292	0.265345898743	0.272310424219	0.000000000000	
16000	3.551828	1	0.209811711452	0.929264205241	0.261816645701	0.271327261481	0.000000000000	
17000	3.459843	1	0.251878834399	0.862774039249	0.261941044730	0.271402960306	0.000000000000	
18000	3.318786	1	0.196117941330	0.853902025213	0.262024433639	0.271630465855	0.000000000000	
19000	3.482379	1	0.193823676541	0.923385360367	0.262071173614	0.271218093014	0.000000000000	
20000	-0.209830	1	0.077988146778	0.830588730051	0.268880366849	0.272472270296	0.000000000000	
21000	2.926106	1	0.277957528017	0.844917821258	0.262596017949	0.271913011293	0.000000000000	
22000	3.254716	1	0.278994099138	0.876980160169	0.262631190867	0.271145275012	0.000000000000	
23000	2.505331	1	0.258763160212	0.811957978236	0.262070980005	0.273399089708	0.000000000000	
24000	1.838941	1	0.237402288747	1.011551782908	0.261768362242	0.275214334529	0.000000000000	
25000	1.011493	1	0.216445976375	1.034642910894	0.261759829226	0.277096314921	0.000000000000	
26000	3.712705	1	0.213448333333	0.899411250571	0.261781956691	0.271005615051	0.000000000000	
27000	3.719906	1	0.236507373545	0.893704214955	0.261762160220	0.271010113510	0.000000000000	
28000	2.315981	1	0.221145899407	0.996484397628	0.261736899703	0.274173256585	0.000000000000	
29000	1.324877	1	0.150958220536	1.001200033932	0.263573888142	0.274483209945	0.000000000000	
30000	2.741233	1	0.249492965383	0.818542282587	0.261903205318	0.273045751293	0.000000000000	
31000	3.360801	1	0.176768902674	0.904211737226	0.262525922251	0.271018232491	0.000000000000	
32000	2.627522	1	0.288073741802	0.958210021831	0.262969147397	0.272192544709	0.000000000000	
33000	-0.556967	1	0.059380483538	0.929108088284	0.270787623790	0.271324071933	0.000000000000	
34000	2.614824	1	0.140156689792	0.902851027466	0.264141041403	0.271013134136	0.000000000000	
35000	3.561798	1	0.215804881144	0.930804536302	0.261764070309	0.271359580881	0.000000000000	
36000	2.356532	1	0.280044326484	0.817284740143	0.262667539786	0.273111057619	0.000000000000	
37000	3.330060	1	0.198262530342	0.942229000852	0.261983838279	0.271647451225	0.000000000000	
38000	3.727278	1	0.226987208305	0.889190830760	0.261728423125	0.271028670171	0.000000000000	
39000	3.644107	1	0.230608948083	0.922735106949	0.261734311477	0.271207398471	0.000000000000	
40000	1.860133	1	0.338034574207	0.896598432807	0.265787876880	0.271005185125	0.000000000000	
41000	3.072922	1	0.203431418201	0.961116382654	0.261898287122	0.272309526230	0.000000000000	
42000	3.480482	1	0.228398814325	0.855848634972	0.261729703726	0.271576165369	0.000000000000	
43000	2.784140	1	0.266974288839	0.967193733647	0.262266260929	0.272571893315	0.000000000000	
44000	3.462923	1	0.265910188013	0.881740585369	0.262238481110	0.271088283569	0.000000000000	
45000	2.103954	1	0.240380224553	0.792740935930	0.261792750272	0.274591569404	0.000000000000	
46000	1.973335	1	0.144311551995	0.826068875275	0.263913903557	0.272676380125	0.000000000000	
47000	2.715955	1	0.151295857845	0.932112898076	0.263557382821	0.271388244975	0.000000000000	
48000	2.915521	1	0.154133887154	0.882121476712	0.263421576942	0.271084360317	0.000000000000	
49000	3.704971	1	0.211640904137	0.895754071801	0.261798122383	0.271006060147	0.000000000000	
50000	3.591361	1	0.229385665688	0.929287096254	0.261731368613	0.271327730488	0.000000000000	
51000	3.692774	1	0.242832737597	0.902942990367	0.261817165837	0.271013440767	0.000000000000	
52000	3.081325	1	0.250961619882	0.835590092200	0.261926059879	0.272261900001	0.000000000000	
53000	3.350037	1	0.272229462406	0.876095679325	0.262414252588	0.271157487397	0.000000000000	
54000	3.609019	1	0.221848318882	0.868411132535	0.261734706686	0.271285002357	0.000000000000	
55000	1.773585	1	0.338655048391	0.919006390562	0.265833088143	0.271151382426	0.000000000000	
56000	3.677273	1	0.233289824389	0.916879050847	0.261744164171	0.271123474414	0.000000000000	
57000	3.525488	1	0.243869257694	0.931441445362	0.261828660648	0.271373395475	0.000000000000	
58000	3.101993	1	0.234809966810	0.963204779712	0.261751827464	0.272396976297	0.000000000000	
59000	3.257449	1	0.177954131535	0.868311882311	0.262488203401	0.271286900482	0.000000000000	
60000	3.325155	1	0.276254979394	0.882241939291	0.262539763458	0.271083139168	0.000000000000	
61000	2.476929	1	0.159183781615	0.834726374619	0.263192880549	0.272297068175	0.000000000000	
62000	2.197812	1	0.200779696980	0.997304930356	0.261940005851	0.274226150037	0.000000000000	
63000	0.441835	1	0.281139483599	0.757632764524	0.262706207716	0.277390304174	0.000000000000	
64000	2.714408	1	0.166426369496	0.840352823133	0.262893831407	0.272076688185	0.000000000000	
65000	3.547335	1	0.258414566468	0.913134451417	0.262063659810	0.271081499575	0.000000000000	
66000	3.517022	1	0.260891203844	0.881267244276	0.262117380957	0.271093290546	0.000000000000	
67000	3.483223	1	0.228719150700	0.856091147247	0.261730174732	0.271569573135	0.000000000000	
68000	2.976126	1	0.232784294099	0.825810606593	0.261741948681	0.272688444407	0.000000000000	
69000	3.486230	1	0.198170185080	0.927811538959	0.261985524679	0.271298195200	0.000000000000	
