Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.091000	4.212742	513	0.076023	2.161058	487	0.106776	0.091000	0.151924	
1000	0.086000	2.640372	502	0.067729	1.959900	498	0.104418	0.086000	0.129957	
1000	0.178000	1.404967	483	0.138716	1.027397	517	0.214700	0.178000	0.141965	
1000	0.210000	0.775649	501	0.243513	1.027397	499	0.176353	0.210000	0.155569	
1000	0.294000	0.775649	519	0.223507	0.527903	481	0.370062	0.294000	0.178637	
1000	0.306000	0.775649	481	0.218295	0.527903	519	0.387283	0.306000	0.196829	
1000	0.275000	0.775649	483	0.219462	0.527903	517	0.326886	0.275000	0.206599	
1000	0.293000	0.775649	511	0.258317	0.527903	489	0.329243	0.293000	0.216198	
1000	0.298000	0.775649	519	0.242775	0.527903	481	0.357588	0.298000	0.224378	
1000	0.286000	0.775649	520	0.217308	0.527903	480	0.360417	0.286000	0.229979	
1000	0.290000	0.775649	488	0.243852	0.527903	512	0.333984	0.290000	0.234980	
1000	0.291000	0.775649	503	0.214712	0.527903	497	0.368209	0.291000	0.239289	
1000	0.289000	0.775649	485	0.239175	0.527903	515	0.335922	0.289000	0.242840	
1000	0.286000	0.775649	482	0.219917	0.527903	518	0.347490	0.286000	0.245717	
1000	0.307000	0.775649	502	0.237052	0.527903	498	0.377510	0.307000	0.249547	
1000	0.291000	0.775649	488	0.231557	0.527903	512	0.347656	0.291000	0.251985	
1000	0.267000	0.775649	512	0.210938	0.527903	488	0.325820	0.267000	0.252819	
1000	0.286000	0.775649	510	0.252941	0.527903	490	0.320408	0.286000	0.254566	
1000	0.328000	0.775649	509	0.269155	0.527903	491	0.389002	0.328000	0.258237	
1000	0.305000	0.775649	506	0.223320	0.527903	494	0.388664	0.305000	0.260464	
1000	0.302000	0.775649	492	0.217480	0.527903	508	0.383858	0.302000	0.262352	
1000	0.300000	0.775649	541	0.266174	0.527903	459	0.339869	0.300000	0.263989	
1000	0.298000	0.775649	499	0.240481	0.527903	501	0.355289	0.298000	0.265406	
1000	0.292000	0.775649	499	0.220441	0.527903	501	0.363273	0.292000	0.266469	
1000	0.283000	0.775649	503	0.244533	0.527903	497	0.321932	0.283000	0.267105	
1000	0.294000	0.775649	502	0.231076	0.527903	498	0.357430	0.294000	0.268101	
1000	0.275000	0.775649	497	0.231388	0.527903	503	0.318091	0.275000	0.268348	
1000	0.303000	0.775649	487	0.215606	0.527903	513	0.385965	0.303000	0.269542	
1000	0.294000	0.775649	506	0.221344	0.527903	494	0.368421	0.294000	0.270358	
1000	0.267000	0.775649	509	0.233792	0.527903	491	0.301426	0.267000	0.270249	
1000	0.299000	0.775649	512	0.230469	0.527903	488	0.370902	0.299000	0.271148	
1000	0.292000	0.775649	478	0.211297	0.527903	522	0.365900	0.292000	0.271780	
1000	0.298000	0.775649	505	0.235644	0.527903	495	0.361616	0.298000	0.272551	
1000	0.279000	0.775649	530	0.205660	0.527903	470	0.361702	0.279000	0.272735	
1000	0.314000	0.775649	496	0.252016	0.527903	504	0.375000	0.314000	0.273881	
1000	0.310000	0.775649	518	0.264479	0.527903	482	0.358921	0.310000	0.274857	
1000	0.317000	0.775649	504	0.265873	0.527903	496	0.368952	0.317000	0.275966	
1000	0.297000	0.775649	489	0.269939	0.527903	511	0.322896	0.297000	0.276506	
1000	0.290000	0.775649	539	0.233766	0.527903	461	0.355748	0.290000	0.276843	
1000	0.299000	0.775649	528	0.225379	0.527903	472	0.381356	0.299000	0.277383	
1000	0.302000	0.775649	504	0.244048	0.527903	496	0.360887	0.302000	0.277970	
1000	0.297000	0.775649	497	0.251509	0.527903	503	0.341948	0.297000	0.278412	
1000	0.278000	0.775649	477	0.215933	0.527903	523	0.334608	0.278000	0.278403	
1000	0.307000	0.775649	490	0.230612	0.527903	510	0.380392	0.307000	0.279038	
1000	0.301000	0.775649	499	0.216433	0.527903	501	0.385230	0.301000	0.279516	
1000	0.286000	0.775649	517	0.208897	0.527903	483	0.368530	0.286000	0.279654	
1000	0.274000	0.775649	530	0.224528	0.527903	470	0.329787	0.274000	0.279536	
1000	0.308000	0.775649	499	0.276553	0.527903	501	0.339321	0.308000	0.280117	
1000	0.267000	0.775649	487	0.203285	0.527903	513	0.327485	0.267000	0.279854	
1000	0.305000	0.775649	500	0.228000	0.527903	500	0.382000	0.305000	0.280347	
1000	0.286000	0.775649	499	0.242485	0.527903	501	0.329341	0.286000	0.280456	
1000	0.312000	0.775649	477	0.207547	0.527903	523	0.407266	0.312000	0.281051	
1000	0.251000	0.775649	513	0.235867	0.661616	487	0.266940	0.251000	0.280495	
1000	0.231000	0.775649	477	0.188679	0.661616	523	0.269598	0.231000	0.279595	
1000	0.342000	0.446953	506	0.405138	0.661616	494	0.277328	0.342000	0.280709	
1000	0.271000	0.787659	502	0.250996	0.661616	498	0.291165	0.271000	0.280539	
1000	0.267000	0.787659	504	0.287698	0.661616	496	0.245968	0.267000	0.280306	
1000	0.246000	0.787659	500	0.228000	0.661616	500	0.264000	0.246000	0.279724	
1000	0.277000	0.787659	497	0.243461	0.661616	503	0.310139	0.277000	0.279679	
