Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.263618	0.263618
1	0.995007	75000	0.263216	0.526834
2	0.992517	75000	0.262850	0.789684
3	0.990030	75000	0.262422	1.052106
4	0.987547	75000	0.261978	1.314084
5	0.985067	75000	0.261616	1.575699
6	0.982592	75000	0.261211	1.836910
7	0.980120	75000	0.260803	2.097713
8	0.977652	75000	0.260453	2.358166
9	0.975187	75000	0.260023	2.618190
10	0.972726	75000	0.259597	2.877787
11	0.970269	75000	0.259245	3.137032
12	0.967816	75000	0.258837	3.395869
13	0.965367	75000	0.258396	3.654265
14	0.962921	75000	0.258017	3.912283
15	0.960479	75000	0.257552	4.169835
16	0.958040	75000	0.257296	4.427130
17	0.955606	75000	0.256837	4.683967
18	0.953175	75000	0.256432	4.940399
19	0.950747	75000	0.256022	5.196421
20	0.948324	75000	0.255593	5.452014
21	0.945904	75000	0.255278	5.707292
22	0.943488	75000	0.254857	5.962150
23	0.941076	75000	0.254436	6.216585
24	0.938667	75000	0.253998	6.470583
25	0.936262	75000	0.253629	6.724212
26	0.933861	75000	0.253224	6.977436
27	0.931463	75000	0.252797	7.230233
28	0.929069	75000	0.252439	7.482672
29	0.926679	75000	0.252037	7.734709
30	0.924293	75000	0.251642	7.986351
31	0.921910	75000	0.251267	8.237618
32	0.919531	75000	0.250909	8.488527
33	0.917155	75000	0.250446	8.738974
34	0.914783	75000	0.250053	8.989026
35	0.912415	75000	0.249624	9.238650
36	0.910051	75000	0.249247	9.487897
37	0.907690	75000	0.248882	9.736779
38	0.905333	75000	0.248491	9.985270
39	0.902980	75000	0.248067	10.233337
40	0.900630	75000	0.247638	10.480975
41	0.898284	75000	0.247259	10.728235
42	0.895942	75000	0.246960	10.975194
43	0.893603	75000	0.246473	11.221667
44	0.891268	75000	0.246098	11.467766
45	0.888937	75000	0.245673	11.713439
46	0.886609	75000	0.245316	11.958755
47	0.884285	75000	0.244979	12.203734
48	0.881965	75000	0.244580	12.448314
49	0.879648	75000	0.244140	12.692455
50	0.877335	75000	0.243764	12.936218
51	0.875026	75000	0.243353	13.179571
52	0.872720	75000	0.243008	13.422579
53	0.870418	75000	0.242651	13.665230
54	0.868120	75000	0.242185	13.907415
55	0.865825	75000	0.241810	14.149225
56	0.863534	75000	0.241438	14.390663
57	0.861246	75000	0.241005	14.631667
58	0.858962	75000	0.240605	14.872272
59	0.856682	75000	0.240303	15.112576
60	0.854405	75000	0.239827	15.352403
