Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.208000	0.484653	504	0.378968	5.628088	496	0.034274	0.208000	0.302849	
1000	0.187000	0.484653	495	0.341414	3.951502	505	0.035644	0.187000	0.264245	
1000	0.219000	0.484653	513	0.397661	3.777001	487	0.030801	0.219000	0.252937	
1000	0.198000	0.484653	509	0.353635	3.556898	491	0.036660	0.198000	0.241952	
1000	0.252000	0.484653	523	0.435946	2.346932	477	0.050314	0.252000	0.243626	
1000	0.213000	0.583464	501	0.341317	1.335342	499	0.084168	0.213000	0.239252	
1000	0.209000	0.583464	498	0.313253	1.109404	502	0.105578	0.209000	0.235471	
1000	0.186000	0.583464	497	0.261569	0.999789	503	0.111332	0.186000	0.229974	
1000	0.211000	0.583464	492	0.302846	0.774926	508	0.122047	0.211000	0.228077	
1000	0.295000	0.583464	479	0.304802	0.467177	521	0.285988	0.295000	0.234161	
1000	0.293000	0.583464	485	0.315464	0.467177	515	0.271845	0.293000	0.239063	
1000	0.295000	0.583464	491	0.311609	0.467177	509	0.278978	0.295000	0.243366	
1000	0.281000	0.583464	471	0.320594	0.467177	529	0.245747	0.281000	0.246054	
1000	0.297000	0.583464	506	0.326087	0.467177	494	0.267206	0.297000	0.249450	
1000	0.295000	0.583464	502	0.286853	0.467177	498	0.303213	0.295000	0.252297	
1000	0.280000	0.583464	482	0.286307	0.467177	518	0.274131	0.280000	0.253926	
1000	0.295000	0.583464	485	0.321649	0.467177	515	0.269903	0.295000	0.256208	
1000	0.285000	0.583464	539	0.300557	0.467177	461	0.266811	0.285000	0.257723	
1000	0.301000	0.583464	523	0.319312	0.467177	477	0.280922	0.301000	0.259887	
1000	0.311000	0.583464	492	0.298780	0.467177	508	0.322835	0.311000	0.262321	
1000	0.342000	0.583464	514	0.396887	0.467177	486	0.283951	0.342000	0.265942	
1000	0.260000	0.583464	505	0.297030	0.467177	495	0.222222	0.260000	0.265684	
1000	0.275000	0.583464	509	0.306483	0.467177	491	0.242363	0.275000	0.266072	
1000	0.294000	0.583464	500	0.302000	0.467177	500	0.286000	0.294000	0.267189	
