Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	0.263576	0.263576
1	0.995007	75000	0.263117	0.526694
2	0.992517	75000	0.262734	0.789428
3	0.990030	75000	0.262371	1.051799
4	0.987547	75000	0.261959	1.313758
5	0.985067	75000	0.261599	1.575357
6	0.982592	75000	0.261135	1.836492
7	0.980120	75000	0.260765	2.097257
8	0.977652	75000	0.260355	2.357612
9	0.975187	75000	0.259935	2.617547
10	0.972726	75000	0.259550	2.877098
11	0.970269	75000	0.259110	3.136208
12	0.967816	75000	0.258733	3.394941
13	0.965367	75000	0.258376	3.653317
14	0.962921	75000	0.257922	3.911240
15	0.960479	75000	0.257558	4.168798
16	0.958040	75000	0.257160	4.425957
17	0.955606	75000	0.256770	4.682728
18	0.953175	75000	0.256340	4.939068
19	0.950747	75000	0.255907	5.194975
20	0.948324	75000	0.255562	5.450537
21	0.945904	75000	0.255143	5.705680
22	0.943488	75000	0.254789	5.960469
23	0.941076	75000	0.254373	6.214842
24	0.938667	75000	0.253990	6.468832
25	0.936262	75000	0.253616	6.722448
26	0.933861	75000	0.253144	6.975592
27	0.931463	75000	0.252709	7.228301
28	0.929069	75000	0.252392	7.480693
29	0.926679	75000	0.252012	7.732706
30	0.924293	75000	0.251618	7.984324
31	0.921910	75000	0.251248	8.235572
32	0.919531	75000	0.250817	8.486389
33	0.917155	75000	0.250387	8.736776
34	0.914783	75000	0.250018	8.986795
35	0.912415	75000	0.249562	9.236356
36	0.910051	75000	0.249213	9.485570
37	0.907690	75000	0.248834	9.734404
38	0.905333	75000	0.248471	9.982875
39	0.902980	75000	0.247987	10.230862
40	0.900630	75000	0.247637	10.478499
41	0.898284	75000	0.247264	10.725764
42	0.895942	75000	0.246807	10.972571
43	0.893603	75000	0.246459	11.219030
44	0.891268	75000	0.246063	11.465093
45	0.888937	75000	0.245643	11.710737
46	0.886609	75000	0.245281	11.956018
47	0.884285	75000	0.244848	12.200866
48	0.881965	75000	0.244502	12.445369
49	0.879648	75000	0.244109	12.689478
50	0.877335	75000	0.243671	12.933148
51	0.875026	75000	0.243275	13.176423
52	0.872720	75000	0.242845	13.419268
53	0.870418	75000	0.242514	13.661783
54	0.868120	75000	0.242155	13.903937
55	0.865825	75000	0.241733	14.145670
56	0.863534	75000	0.241425	14.387095
57	0.861246	75000	0.240921	14.628016
58	0.858962	75000	0.240600	14.868616
59	0.856682	75000	0.240158	15.108774
60	0.854405	75000	0.239739	15.348514
61	0.852132	75000	0.239412	15.587926
62	0.849863	75000	0.239004	15.826929
63	0.847597	75000	0.238704	16.065634
64	0.845335	75000	0.238192	16.303826
65	0.843077	75000	0.237878	16.541704
66	0.840822	75000	0.237446	16.779150
67	0.838571	75000	0.237025	17.016176
68	0.836323	75000	0.236705	17.252880
69	0.834079	75000	0.236230	17.489111
70	0.831839	75000	0.235842	17.724953
71	0.829602	75000	0.235497	17.960449
72	0.827369	75000	0.235122	18.195572
73	0.825140	75000	0.234696	18.430268
74	0.822914	75000	0.234381	18.664649
75	0.820691	75000	0.234018	18.898667
76	0.818473	75000	0.233638	19.132306
77	0.816258	75000	0.233215	19.365521
78	0.814046	75000	0.232788	19.598308
79	0.811838	75000	0.232396	19.830705
80	0.809634	75000	0.231998	20.062702
81	0.807433	75000	0.231653	20.294355
82	0.805236	75000	0.231306	20.525661
83	0.803043	75000	0.230883	20.756544
84	0.800853	75000	0.230467	20.987011
85	0.798667	75000	0.230147	21.217158
86	0.796484	75000	0.229704	21.446862
87	0.794305	75000	0.229335	21.676196
88	0.792129	75000	0.228947	21.905144
89	0.789957	75000	0.228574	22.133717
90	0.787789	75000	0.228170	22.361887
91	0.785624	75000	0.227808	22.589695
92	0.783463	75000	0.227392	22.817088
93	0.781305	75000	0.227049	23.044136
94	0.779151	75000	0.226603	23.270740
95	0.777000	75000	0.226276	23.497015
96	0.774853	75000	0.225864	23.722879
97	0.772710	75000	0.225505	23.948384
98	0.770570	75000	0.225137	24.173522
99	0.768433	75000	0.224778	24.398300
100	0.766301	75000	0.224347	24.622647
101	0.764172	75000	0.223960	24.846607
102	0.762046	75000	0.223586	25.070193
103	0.759924	75000	0.223196	25.293389
104	0.757805	75000	0.222883	25.516272
105	0.755690	75000	0.222500	25.738772
106	0.753579	75000	0.222089	25.960861
107	0.751471	75000	0.221688	26.182548
108	0.749366	75000	0.221341	26.403889
109	0.747266	75000	0.220956	26.624845
110	0.745168	75000	0.220557	26.845403
111	0.743075	75000	0.220148	27.065551
112	0.740984	75000	0.219836	27.285387
113	0.738898	75000	0.219449	27.504835
114	0.736815	75000	0.219005	27.723841
115	0.734735	75000	0.218626	27.942467
116	0.732659	75000	0.218285	28.160752
117	0.730586	75000	0.217925	28.378676
118	0.728517	75000	0.217527	28.596203
119	0.726452	75000	0.217160	28.813364
120	0.724390	75000	0.216750	29.030114
121	0.722331	75000	0.216383	29.246497
122	0.720276	75000	0.215988	29.462484
123	0.718225	75000	0.215625	29.678109
124	0.716177	75000	0.215318	29.893427
125	0.714132	75000	0.214917	30.108344
126	0.712091	75000	0.214460	30.322804
127	0.710054	75000	0.214067	30.536870
128	0.708020	75000	0.213797	30.750668
129	0.705989	75000	0.213338	30.964005
130	0.703962	75000	0.213069	31.177074
131	0.701939	75000	0.212598	31.389672
132	0.699919	75000	0.212157	31.601829
133	0.697902	75000	0.211809	31.813638
134	0.695889	75000	0.211542	32.025180
135	0.693880	75000	0.211079	32.236259
136	0.691874	75000	0.210772	32.447031
137	0.689871	75000	0.210392	32.657423
138	0.687872	75000	0.209944	32.867367
139	0.685877	75000	0.209640	33.077007
140	0.683885	75000	0.209282	33.286290
141	0.681896	75000	0.208878	33.495167
142	0.679911	75000	0.208524	33.703692
143	0.677929	75000	0.208086	33.911777
144	0.675951	75000	0.207757	34.119534
145	0.673976	75000	0.207363	34.326898
146	0.672005	75000	0.206998	34.533895
147	0.670037	75000	0.206637	34.740533
148	0.668073	75000	0.206290	34.946822
149	0.666112	75000	0.205904	35.152727
150	0.664155	75000	0.205485	35.358212
151	0.662201	75000	0.205026	35.563238
152	0.660250	75000	0.204683	35.767921
153	0.658303	75000	0.204393	35.972314
154	0.656359	75000	0.204022	36.176336
155	0.654419	75000	0.203681	36.380018
156	0.652483	75000	0.203279	36.583297
157	0.650549	75000	0.202898	36.786195
158	0.648619	75000	0.202558	36.988753
159	0.646693	75000	0.202214	37.190967
160	0.644770	75000	0.201780	37.392746
161	0.642851	75000	0.201431	37.594178
162	0.640934	75000	0.201067	37.795245
163	0.639022	75000	0.200631	37.995875
164	0.637113	75000	0.200297	38.196172
165	0.635207	75000	0.199988	38.396161
166	0.633304	75000	0.199567	38.595728
167	0.631405	75000	0.199239	38.794967
168	0.629510	75000	0.198849	38.993815
169	0.627618	75000	0.198442	39.192257
170	0.625729	75000	0.198158	39.390415
171	0.623844	75000	0.197742	39.588157
172	0.621962	75000	0.197396	39.785553
173	0.620083	75000	0.196987	39.982540
174	0.618208	75000	0.196676	40.179217
175	0.616337	75000	0.196237	40.375453
176	0.614468	75000	0.195881	40.571334
177	0.612604	75000	0.195556	40.766890
178	0.610742	75000	0.195157	40.962046
179	0.608884	75000	0.194806	41.156852
180	0.607029	75000	0.194494	41.351346
181	0.605178	75000	0.194144	41.545490
182	0.603330	75000	0.193687	41.739176
183	0.601486	75000	0.193359	41.932535
184	0.599645	75000	0.193011	42.125547
185	0.597807	75000	0.192646	42.318193
186	0.595973	75000	0.192239	42.510432
187	0.594142	75000	0.191893	42.702326
188	0.592314	75000	0.191640	42.893966
189	0.590490	75000	0.191202	43.085167
190	0.588669	75000	0.190831	43.275998
191	0.586852	75000	0.190418	43.466416
192	0.585038	75000	0.190107	43.656523
193	0.583227	75000	0.189701	43.846224
194	0.581420	75000	0.189367	44.035591
195	0.579616	75000	0.188996	44.224588
196	0.577815	75000	0.188626	44.413213
197	0.576018	75000	0.188248	44.601461
198	0.574224	75000	0.187925	44.789386
199	0.572433	75000	0.187570	44.976956
200	0.570646	75000	0.187162	45.164117
201	0.568862	75000	0.186820	45.350937
202	0.567082	75000	0.186472	45.537409
203	0.565305	75000	0.186107	45.723516
204	0.563531	75000	0.185746	45.909262
205	0.561761	75000	0.185389	46.094651
206	0.559993	75000	0.185029	46.279679
207	0.558230	75000	0.184607	46.464286
208	0.556469	75000	0.184280	46.648566
209	0.554712	75000	0.183882	46.832448
210	0.552958	75000	0.183619	47.016067
211	0.551208	75000	0.183252	47.199319
212	0.549461	75000	0.182875	47.382194
213	0.547717	75000	0.182485	47.564679
214	0.545977	75000	0.182113	47.746793
215	0.544240	75000	0.181755	47.928548
216	0.542506	75000	0.181418	48.109966
217	0.540775	75000	0.181097	48.291063
218	0.539048	75000	0.180711	48.471773
219	0.537324	75000	0.180285	48.652058
220	0.535604	75000	0.180048	48.832106
221	0.533887	75000	0.179644	49.011750
222	0.532173	75000	0.179360	49.191110
223	0.530462	75000	0.178850	49.369960
224	0.528755	75000	0.178558	49.548518
225	0.527051	75000	0.178224	49.726742
226	0.525350	75000	0.177891	49.904632
227	0.523653	75000	0.177534	50.082167
228	0.521958	75000	0.177173	50.259339
229	0.520268	75000	0.176801	50.436140
230	0.518580	75000	0.176461	50.612601
231	0.516896	75000	0.176154	50.788755
232	0.515215	75000	0.175744	50.964500
233	0.513537	75000	0.175334	51.139833
234	0.511863	75000	0.175050	51.314883
235	0.510192	75000	0.174646	51.489529
236	0.508524	75000	0.174363	51.663892
237	0.506859	75000	0.173975	51.837867
238	0.505198	75000	0.173601	52.011468
239	0.503540	75000	0.173364	52.184833
240	0.501885	75000	0.172843	52.357675
241	0.500234	75000	0.172588	52.530263
242	0.498586	75000	0.172216	52.702479
243	0.496941	75000	0.171918	52.874397
244	0.495299	75000	0.171520	53.045918
245	0.493660	75000	0.171060	53.216978
246	0.492025	75000	0.170852	53.387830
247	0.490393	75000	0.170406	53.558236
248	0.488765	75000	0.170192	53.728428
249	0.487139	75000	0.169780	53.898207
250	0.485517	75000	0.169387	54.067594
251	0.483898	75000	0.168990	54.236584
252	0.482283	75000	0.168679	54.405263
253	0.480670	75000	0.168360	54.573623
254	0.479061	75000	0.167980	54.741603
255	0.477455	75000	0.167686	54.909289
256	0.475852	75000	0.167319	55.076608
257	0.474253	75000	0.166933	55.243542
258	0.472656	75000	0.166590	55.410132
259	0.471063	75000	0.166291	55.576422
260	0.469474	75000	0.165977	55.742399
261	0.467887	75000	0.165582	55.907981
262	0.466304	75000	0.165216	56.073197
263	0.464723	75000	0.164823	56.238021
264	0.463146	75000	0.164436	56.402457
265	0.461573	75000	0.164157	56.566614
266	0.460002	75000	0.163754	56.730368
267	0.458435	75000	0.163465	56.893833
268	0.456871	75000	0.163119	57.056952
269	0.455310	75000	0.162838	57.219791
270	0.453752	75000	0.162422	57.382213
271	0.452198	75000	0.161998	57.544211
272	0.450647	75000	0.161629	57.705840
273	0.449098	75000	0.161370	57.867210
274	0.447554	75000	0.160945	58.028155
275	0.446012	75000	0.160706	58.188860
276	0.444473	75000	0.160370	58.349231
277	0.442938	75000	0.160050	58.509280
278	0.441406	75000	0.159679	58.668960
279	0.439877	75000	0.159326	58.828286
280	0.438351	75000	0.158838	58.987124
281	0.436829	75000	0.158684	59.145808
282	0.435309	75000	0.158339	59.304147
283	0.433793	75000	0.157989	59.462136
284	0.432280	75000	0.157632	59.619768
285	0.430770	75000	0.157322	59.777090
286	0.429263	75000	0.156927	59.934017
287	0.427760	75000	0.156551	60.090568
288	0.426259	75000	0.156201	60.246769
289	0.424762	75000	0.155908	60.402678
290	0.423268	75000	0.155595	60.558273
291	0.421777	75000	0.155239	60.713512
292	0.420289	75000	0.154856	60.868368
293	0.418805	75000	0.154497	61.022864
294	0.417323	75000	0.154215	61.177079
295	0.415845	75000	0.153868	61.330947
296	0.414370	75000	0.153456	61.484403
297	0.412898	75000	0.153219	61.637621
298	0.411429	75000	0.152813	61.790435
299	0.409963	75000	0.152523	61.942957
300	0.408501	75000	0.152197	62.095154
301	0.407041	75000	0.151851	62.247005
302	0.405585	75000	0.151414	62.398419
303	0.404132	75000	0.151145	62.549564
304	0.402682	75000	0.150787	62.700351
305	0.401235	75000	0.150435	62.850786
306	0.399791	75000	0.150107	63.000893
307	0.398350	75000	0.149740	63.150633
308	0.396913	75000	0.149483	63.300116
309	0.395478	75000	0.149065	63.449181
310	0.394047	75000	0.148786	63.597967
311	0.392619	75000	0.148426	63.746393
312	0.391194	75000	0.148107	63.894500
313	0.389772	75000	0.147724	64.042225
314	0.388353	75000	0.147372	64.189597
315	0.386937	75000	0.147043	64.336641
316	0.385524	75000	0.146800	64.483441
317	0.384115	75000	0.146432	64.629873
318	0.382708	75000	0.146077	64.775950
319	0.381305	75000	0.145815	64.921765
320	0.379904	75000	0.145486	65.067251
321	0.378507	75000	0.145078	65.212329
322	0.377113	75000	0.144765	65.357094
323	0.375722	75000	0.144422	65.501516
324	0.374334	75000	0.143994	65.645510
325	0.372949	75000	0.143737	65.789247
326	0.371567	75000	0.143459	65.932706
327	0.370189	75000	0.142988	66.075694
328	0.368813	75000	0.142711	66.218404
329	0.367440	75000	0.142446	66.360850
330	0.366071	75000	0.142079	66.502929
331	0.364705	75000	0.141757	66.644686
332	0.363341	75000	0.141388	66.786074
333	0.361981	75000	0.141022	66.927096
334	0.360624	75000	0.140769	67.067865
335	0.359269	75000	0.140454	67.208320
336	0.357918	75000	0.140064	67.348383
337	0.356570	75000	0.139785	67.488168
