Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.059000	3.362049	505	0.071287	7.041461	495	0.046465	0.059000	0.143928	
1000	0.072000	3.317922	502	0.065737	5.256773	498	0.078313	0.072000	0.119960	
1000	0.096000	2.119087	497	0.066398	2.865856	503	0.125249	0.096000	0.113972	
1000	0.157000	1.584008	477	0.129979	1.627835	523	0.181644	0.157000	0.122575	
1000	0.243000	1.418857	495	0.127273	0.912166	505	0.356436	0.243000	0.142643	
1000	0.306000	0.878699	477	0.213836	0.912166	523	0.390057	0.306000	0.165976	
1000	0.280000	0.878699	449	0.229399	0.912166	551	0.321234	0.280000	0.180227	
1000	0.289000	0.878699	474	0.194093	0.912166	526	0.374525	0.289000	0.192312	
1000	0.299000	0.702289	521	0.261036	0.912166	479	0.340292	0.299000	0.202980	
1000	0.302000	0.702289	483	0.300207	0.912166	517	0.303675	0.302000	0.211981	
1000	0.293000	0.702289	527	0.252372	0.912166	473	0.338266	0.293000	0.218732	
1000	0.328000	0.702289	487	0.268994	0.912166	513	0.384016	0.328000	0.227136	
1000	0.317000	0.702289	505	0.279208	0.912166	495	0.355556	0.317000	0.233555	
1000	0.293000	0.702289	521	0.230326	0.912166	479	0.361169	0.293000	0.237517	
1000	0.312000	0.702289	500	0.290000	0.912166	500	0.334000	0.312000	0.242172	
1000	0.300000	0.702289	502	0.290837	0.912166	498	0.309237	0.300000	0.245574	
1000	0.292000	0.702289	505	0.251485	0.912166	495	0.333333	0.292000	0.248153	
1000	0.304000	0.702289	503	0.280318	0.912166	497	0.327968	0.304000	0.251092	
1000	0.320000	0.702289	498	0.273092	0.912166	502	0.366534	0.320000	0.254537	
1000	0.321000	0.702289	514	0.278210	0.912166	486	0.366255	0.321000	0.257702	
1000	0.305000	0.702289	508	0.261811	0.912166	492	0.349593	0.305000	0.259852	
1000	0.313000	0.702289	517	0.251451	0.912166	483	0.378882	0.313000	0.262163	
1000	0.298000	0.702289	490	0.226531	0.912166	510	0.366667	0.298000	0.263656	
1000	0.291000	0.702289	484	0.241736	0.912166	516	0.337209	0.291000	0.264749	
1000	0.273000	0.702289	505	0.225743	0.912166	495	0.321212	0.273000	0.265067	
1000	0.284000	0.702289	490	0.251020	0.912166	510	0.315686	0.284000	0.265768	
1000	0.313000	0.702289	475	0.252632	0.912166	525	0.367619	0.313000	0.267455	
1000	0.288000	0.702289	511	0.246575	0.912166	489	0.331288	0.288000	0.268163	
1000	0.287000	0.702289	499	0.248497	0.912166	501	0.325349	0.287000	0.268791	
1000	0.318000	0.702289	488	0.266393	0.912166	512	0.367188	0.318000	0.270378	
1000	0.302000	0.702289	517	0.247582	0.912166	483	0.360248	0.302000	0.271367	
1000	0.336000	0.702289	509	0.288802	0.912166	491	0.384929	0.336000	0.273325	
1000	0.317000	0.702289	498	0.281124	0.912166	502	0.352590	0.317000	0.274610	
1000	0.319000	0.702289	490	0.287755	0.912166	510	0.349020	0.319000	0.275878	
1000	0.297000	0.702289	473	0.266385	0.912166	527	0.324478	0.297000	0.276465	
1000	0.311000	0.702289	487	0.281314	0.912166	513	0.339181	0.311000	0.277398	
1000	0.267000	0.702289	490	0.234694	0.912166	510	0.298039	0.267000	0.277124	
1000	0.293000	0.702289	528	0.263258	0.912166	472	0.326271	0.293000	0.277531	
1000	0.287000	0.702289	507	0.252465	0.912166	493	0.322515	0.287000	0.277768	
1000	0.322000	0.702289	495	0.258586	0.912166	505	0.384158	0.322000	0.278847	
1000	0.296000	0.702289	469	0.251599	0.912166	531	0.335217	0.296000	0.279255	
1000	0.312000	0.702289	476	0.268908	0.912166	524	0.351145	0.312000	0.280017	
1000	0.301000	0.702289	506	0.268775	0.912166	494	0.334008	0.301000	0.280494	
1000	0.320000	0.702289	497	0.253521	0.912166	503	0.385686	0.320000	0.281372	
1000	0.282000	0.702289	473	0.221987	0.912166	527	0.335863	0.282000	0.281385	
1000	0.286000	0.702289	507	0.244576	0.912166	493	0.328600	0.286000	0.281483	
1000	0.305000	0.702289	502	0.249004	0.912166	498	0.361446	0.305000	0.281973	
1000	0.323000	0.702289	486	0.281893	0.912166	514	0.361868	0.323000	0.282811	
1000	0.316000	0.702289	492	0.286585	0.912166	508	0.344488	0.316000	0.283474	
1000	0.314000	0.702289	504	0.232143	0.912166	496	0.397177	0.314000	0.284073	
1000	0.330000	0.702289	503	0.272366	0.912166	497	0.388330	0.330000	0.284956	
1000	0.312000	0.702289	507	0.258383	0.912166	493	0.367140	0.312000	0.285466	
1000	0.320000	0.702289	511	0.281800	0.912166	489	0.359918	0.320000	0.286106	
1000	0.320000	0.702289	491	0.258656	0.912166	509	0.379175	0.320000	0.286722	
1000	0.304000	0.702289	515	0.295146	0.912166	485	0.313402	0.304000	0.287031	
1000	0.304000	0.702289	492	0.227642	0.912166	508	0.377953	0.304000	0.287328	
1000	0.288000	0.702289	518	0.239382	0.912166	482	0.340249	0.288000	0.287340	
1000	0.278000	0.702289	528	0.263258	0.912166	472	0.294492	0.278000	0.287182	
1000	0.326000	0.702289	481	0.282744	0.912166	519	0.366089	0.326000	0.287829	
1000	0.319000	0.702289	500	0.260000	0.912166	500	0.378000	0.319000	0.288340	
1000	0.276000	0.702289	526	0.237643	0.912166	474	0.318565	0.276000	0.288141	
1000	0.299000	0.702289	476	0.247899	0.912166	524	0.345420	0.299000	0.288313	
1000	0.298000	0.702289	476	0.256303	0.912166	524	0.335878	0.298000	0.288464	
1000	0.322000	0.702289	520	0.309615	0.912166	480	0.335417	0.322000	0.288980	
1000	0.322000	0.702289	485	0.276289	0.912166	515	0.365049	0.322000	0.289480	
1000	0.297000	0.702289	497	0.281690	0.912166	503	0.312127	0.297000	0.289593	
1000	0.286000	0.702289	487	0.229979	0.912166	513	0.339181	0.286000	0.289540	
1000	0.305000	0.702289	473	0.245243	0.912166	527	0.358634	0.305000	0.289764	
1000	0.307000	0.702289	475	0.240000	0.912166	525	0.367619	0.307000	0.290010	
1000	0.299000	0.702289	520	0.273077	0.912166	480	0.327083	0.299000	0.290137	
1000	0.298000	0.702289	473	0.268499	0.912166	527	0.324478	0.298000	0.290246	
1000	0.291000	0.702289	508	0.250000	0.912166	492	0.333333	0.291000	0.290256	
1000	0.329000	0.702289	510	0.284314	0.912166	490	0.375510	0.329000	0.290780	
1000	0.325000	0.702289	476	0.292017	0.912166	524	0.354962	0.325000	0.291236	
1000	0.323000	0.702289	490	0.267347	0.912166	510	0.376471	0.323000	0.291654	
1000	0.319000	0.702289	494	0.265182	0.912166	506	0.371542	0.319000	0.292009	
1000	0.301000	0.702289	511	0.260274	0.912166	489	0.343558	0.301000	0.292124	
1000	0.326000	0.702289	507	0.287968	0.912166	493	0.365112	0.326000	0.292553	
1000	0.308000	0.702289	518	0.266409	0.912166	482	0.352697	0.308000	0.292746	
1000	0.314000	0.702289	475	0.298947	0.912166	525	0.327619	0.314000	0.293009	
1000	0.281000	0.702289	512	0.236328	0.912166	488	0.327869	0.281000	0.292862	
1000	0.318000	0.702289	494	0.275304	0.912166	506	0.359684	0.318000	0.293165	
1000	0.300000	0.702289	514	0.249027	0.912166	486	0.353909	0.300000	0.293247	
1000	0.298000	0.702289	479	0.271399	0.912166	521	0.322457	0.298000	0.293302	
1000	0.280000	0.702289	504	0.251984	0.912166	496	0.308468	0.280000	0.293148	
1000	0.343000	0.702289	500	0.274000	0.912166	500	0.412000	0.343000	0.293721	
1000	0.239000	0.702289	494	0.263158	1.691109	506	0.215415	0.239000	0.293099	
1000	0.234000	0.702289	499	0.292585	1.691109	501	0.175649	0.234000	0.292435	
1000	0.236000	0.702289	481	0.253638	1.554892	519	0.219653	0.236000	0.291808	
1000	0.249000	0.702289	479	0.298539	1.554892	521	0.203455	0.249000	0.291337	
1000	0.223000	0.702289	499	0.258517	1.554892	501	0.187625	0.223000	0.290595	
1000	0.244000	0.702289	503	0.246521	1.478303	497	0.241449	0.244000	0.290094	
1000	0.214000	0.702289	498	0.240964	1.478303	502	0.187251	0.214000	0.289284	
1000	0.324000	0.702289	503	0.260437	0.840556	497	0.388330	0.324000	0.289650	
1000	0.317000	0.702289	521	0.241843	0.840556	479	0.398747	0.317000	0.289934	
1000	0.308000	0.702289	525	0.264762	0.840556	475	0.355789	0.308000	0.290121	
1000	0.339000	0.702289	518	0.277992	0.840556	482	0.404564	0.339000	0.290619	
1000	0.308000	0.702289	518	0.287645	1.103310	482	0.329876	0.308000	0.290795	
1000	0.287000	0.702289	480	0.287500	1.103310	520	0.286538	0.287000	0.290757	
1000	0.298000	0.702289	508	0.277559	1.103310	492	0.319106	0.298000	0.290829	
1000	0.276000	0.702289	451	0.239468	1.103310	549	0.306011	0.276000	0.290683	
1000	0.294000	0.702289	472	0.269068	1.103310	528	0.316288	0.294000	0.290716	
1000	0.266000	0.702289	508	0.246063	1.103310	492	0.286585	0.266000	0.290478	
1000	0.267000	0.702289	496	0.256048	1.103310	504	0.277778	0.267000	0.290254	
1000	0.288000	0.702289	542	0.276753	1.103310	458	0.301310	0.288000	0.290233	
1000	0.286000	0.702289	497	0.267606	1.103310	503	0.304175	0.286000	0.290194	
1000	0.281000	0.702289	503	0.218688	1.103310	497	0.344064	0.281000	0.290108	
1000	0.291000	0.702289	489	0.296524	1.103310	511	0.285714	0.291000	0.290117	
1000	0.288000	0.702289	493	0.290061	1.103310	507	0.285996	0.288000	0.290097	
1000	0.290000	0.702289	486	0.286008	1.103310	514	0.293774	0.290000	0.290096	
1000	0.267000	0.702289	487	0.225873	1.103310	513	0.306043	0.267000	0.289890	
1000	0.258000	0.702289	485	0.237113	1.103310	515	0.277670	0.258000	0.289608	
1000	0.260000	0.702289	535	0.254206	1.103310	465	0.266667	0.260000	0.289348	
1000	0.263000	0.702289	499	0.246493	1.103310	501	0.279441	0.263000	0.289119	
1000	0.298000	0.702289	506	0.294466	1.103310	494	0.301619	0.298000	0.289196	
1000	0.257000	0.702289	530	0.269811	1.103310	470	0.242553	0.257000	0.288921	
1000	0.286000	0.702289	491	0.270876	1.103310	509	0.300589	0.286000	0.288896	
1000	0.259000	0.702289	507	0.258383	1.103310	493	0.259635	0.259000	0.288645	
1000	0.246000	0.702289	533	0.223265	1.103310	467	0.271949	0.246000	0.288289	
1000	0.278000	0.702289	484	0.241736	1.103310	516	0.312016	0.278000	0.288204	
1000	0.309000	0.702289	520	0.309615	1.103310	480	0.308333	0.309000	0.288375	
1000	0.271000	0.702289	494	0.259109	1.103310	506	0.282609	0.271000	0.288233	
1000	0.258000	0.702289	487	0.244353	1.103310	513	0.270955	0.258000	0.287990	
1000	0.302000	0.702289	503	0.292247	1.103310	497	0.311871	0.302000	0.288102	
