Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.317990	-0.317990
1	0.995007	75000	-0.317448	-0.635438
2	0.992517	75000	-0.317052	-0.952490
3	0.990030	75000	-0.316555	-1.269044
4	0.987547	75000	-0.316077	-1.585122
5	0.985067	75000	-0.315625	-1.900747
6	0.982592	75000	-0.315202	-2.215949
7	0.980120	75000	-0.314699	-2.530648
8	0.977652	75000	-0.314199	-2.844847
9	0.975187	75000	-0.313745	-3.158592
10	0.972726	75000	-0.313273	-3.471865
11	0.970269	75000	-0.312791	-3.784656
12	0.967816	75000	-0.312358	-4.097013
13	0.965367	75000	-0.311881	-4.408894
14	0.962921	75000	-0.311380	-4.720274
15	0.960479	75000	-0.310949	-5.031223
16	0.958040	75000	-0.310400	-5.341623
17	0.955606	75000	-0.310036	-5.651659
18	0.953175	75000	-0.309534	-5.961194
19	0.950747	75000	-0.309090	-6.270283
20	0.948324	75000	-0.308607	-6.578890
21	0.945904	75000	-0.308160	-6.887051
22	0.943488	75000	-0.307645	-7.194695
23	0.941076	75000	-0.307213	-7.501909
24	0.938667	75000	-0.306788	-7.808697
25	0.936262	75000	-0.306288	-8.114985
26	0.933861	75000	-0.305821	-8.420806
27	0.931463	75000	-0.305309	-8.726115
28	0.929069	75000	-0.304911	-9.031026
29	0.926679	75000	-0.304443	-9.335470
30	0.924293	75000	-0.303941	-9.639410
31	0.921910	75000	-0.303493	-9.942903
32	0.919531	75000	-0.303013	-10.245916
33	0.917155	75000	-0.302641	-10.548557
34	0.914783	75000	-0.302045	-10.850602
35	0.912415	75000	-0.301628	-11.152230
36	0.910051	75000	-0.301128	-11.453358
37	0.907690	75000	-0.300777	-11.754135
38	0.905333	75000	-0.300240	-12.054375
39	0.902980	75000	-0.299749	-12.354124
40	0.900630	75000	-0.299411	-12.653534
41	0.898284	75000	-0.298881	-12.952415
42	0.895942	75000	-0.298462	-13.250877
43	0.893603	75000	-0.297963	-13.548840
44	0.891268	75000	-0.297490	-13.846331
45	0.888937	75000	-0.297034	-14.143365
46	0.886609	75000	-0.296609	-14.439973
47	0.884285	75000	-0.296173	-14.736146
48	0.881965	75000	-0.295615	-15.031761
49	0.879648	75000	-0.295260	-15.327021
50	0.877335	75000	-0.294710	-15.621731
51	0.875026	75000	-0.294251	-15.915983
52	0.872720	75000	-0.293778	-16.209761
53	0.870418	75000	-0.293363	-16.503124
54	0.868120	75000	-0.292882	-16.796006
55	0.865825	75000	-0.292456	-17.088462
56	0.863534	75000	-0.291978	-17.380440
57	0.861246	75000	-0.291552	-17.671991
58	0.858962	75000	-0.291069	-17.963060
59	0.856682	75000	-0.290582	-18.253642
