Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.335000	0.691970	486	0.644033	7.610886	514	0.042802	0.335000	0.379310	
1000	0.125000	1.200519	525	0.165714	4.957862	475	0.080000	0.125000	0.294568	
1000	0.185000	0.798065	520	0.248077	2.849536	480	0.116667	0.185000	0.267183	
1000	0.171000	0.798065	509	0.257367	2.653408	491	0.081466	0.171000	0.247950	
1000	0.181000	0.798065	506	0.235178	2.615668	494	0.125506	0.181000	0.236794	
1000	0.222000	0.798065	476	0.262605	1.959672	524	0.185115	0.222000	0.234681	
1000	0.187000	0.798065	513	0.220273	1.948669	487	0.151951	0.187000	0.228721	
1000	0.242000	0.798065	493	0.231237	1.194717	507	0.252465	0.242000	0.230197	
1000	0.258000	0.798065	487	0.221766	1.194717	513	0.292398	0.258000	0.232977	
1000	0.239000	0.798065	499	0.230461	1.194717	501	0.247505	0.239000	0.233524	
1000	0.242000	0.798065	491	0.230143	1.194717	509	0.253438	0.242000	0.234230	
1000	0.261000	0.798065	515	0.227184	1.194717	485	0.296907	0.261000	0.236290	
1000	0.242000	0.798065	519	0.236994	1.194717	481	0.247401	0.242000	0.236697	
1000	0.264000	0.798065	480	0.237500	1.194717	520	0.288462	0.264000	0.238517	
1000	0.225000	0.798065	459	0.222222	1.194717	541	0.227357	0.225000	0.237673	
1000	0.239000	0.798065	499	0.212425	1.194717	501	0.265469	0.239000	0.237751	
1000	0.261000	0.798065	489	0.218814	1.194717	511	0.301370	0.261000	0.239042	
1000	0.231000	0.798065	497	0.195171	1.194717	503	0.266402	0.231000	0.238619	
1000	0.304000	0.464869	487	0.396304	1.194717	513	0.216374	0.304000	0.241888	
1000	0.326000	0.464869	498	0.357430	1.194717	502	0.294821	0.326000	0.245893	
1000	0.322000	0.464869	515	0.413592	1.194717	485	0.224742	0.322000	0.249352	
1000	0.315000	0.475220	504	0.343254	1.194717	496	0.286290	0.315000	0.252206	
1000	0.305000	0.475220	496	0.379032	1.194717	504	0.232143	0.305000	0.254406	
1000	0.320000	0.475220	491	0.370672	1.194717	509	0.271120	0.320000	0.257030	
1000	0.312000	0.475220	494	0.334008	1.194717	506	0.290514	0.312000	0.259144	
1000	0.325000	0.475220	517	0.375242	1.194717	483	0.271222	0.325000	0.261583	
1000	0.343000	0.475220	517	0.402321	1.194717	483	0.279503	0.343000	0.264491	
1000	0.259000	0.631057	537	0.284916	1.194717	463	0.228942	0.259000	0.264301	
1000	0.286000	0.631057	473	0.310782	1.194717	527	0.263757	0.286000	0.265024	
1000	0.272000	0.631057	490	0.267347	1.194717	510	0.276471	0.272000	0.265250	
1000	0.292000	0.631057	539	0.283859	1.194717	461	0.301518	0.292000	0.266085	
1000	0.276000	0.631057	489	0.280164	1.194717	511	0.272016	0.276000	0.266386	
1000	0.260000	0.631057	510	0.266667	1.194717	490	0.253061	0.260000	0.266198	
1000	0.296000	0.631057	503	0.326044	1.194717	497	0.265594	0.296000	0.267050	
1000	0.303000	0.631057	489	0.312883	1.194717	511	0.293542	0.303000	0.268048	
1000	0.272000	0.631057	494	0.301619	1.194717	506	0.243083	0.272000	0.268155	
1000	0.262000	0.631057	520	0.257692	1.194717	480	0.266667	0.262000	0.267993	
1000	0.290000	0.631057	494	0.299595	1.194717	506	0.280632	0.290000	0.268557	
1000	0.277000	0.631057	518	0.277992	1.194717	482	0.275934	0.277000	0.268768	
1000	0.245000	0.631057	492	0.247967	1.194717	508	0.242126	0.245000	0.268189	
1000	0.272000	0.631057	497	0.275654	1.194717	503	0.268390	0.272000	0.268279	
1000	0.300000	0.631057	481	0.305613	1.194717	519	0.294798	0.300000	0.269017	
1000	0.281000	0.631057	480	0.283333	1.194717	520	0.278846	0.281000	0.269289	
1000	0.265000	0.631057	480	0.264583	1.194717	520	0.265385	0.265000	0.269194	
1000	0.262000	0.631057	492	0.268293	1.194717	508	0.255906	0.262000	0.269038	
1000	0.280000	0.631057	508	0.314961	1.194717	492	0.243902	0.280000	0.269271	
1000	0.272000	0.631057	509	0.280943	1.194717	491	0.262729	0.272000	0.269328	
1000	0.284000	0.631057	512	0.308594	1.194717	488	0.258197	0.284000	0.269627	
1000	0.257000	0.631057	493	0.271805	1.194717	507	0.242604	0.257000	0.269375	
1000	0.276000	0.631057	479	0.286013	1.194717	521	0.266795	0.276000	0.269505	
1000	0.255000	0.631057	487	0.256674	1.194717	513	0.253411	0.255000	0.269226	
1000	0.308000	0.631057	507	0.317554	1.194717	493	0.298174	0.308000	0.269957	
1000	0.263000	0.631057	497	0.291751	1.194717	503	0.234592	0.263000	0.269828	
1000	0.269000	0.631057	499	0.288577	1.194717	501	0.249501	0.269000	0.269813	
1000	0.271000	0.631057	536	0.281716	1.194717	464	0.258621	0.271000	0.269834	
1000	0.293000	0.631057	507	0.287968	1.194717	493	0.298174	0.293000	0.270241	
1000	0.275000	0.631057	473	0.302326	1.194717	527	0.250474	0.275000	0.270323	
1000	0.303000	0.631057	501	0.313373	1.194717	499	0.292585	0.303000	0.270877	
1000	0.272000	0.631057	505	0.295050	1.194717	495	0.248485	0.272000	0.270895	
1000	0.296000	0.631057	474	0.327004	1.194717	526	0.268061	0.296000	0.271307	
1000	0.254000	0.631057	494	0.261134	1.194717	506	0.247036	0.254000	0.271028	
1000	0.285000	0.631057	520	0.286538	1.194717	480	0.283333	0.285000	0.271250	
1000	0.268000	0.631057	472	0.298729	1.194717	528	0.240530	0.268000	0.271199	
1000	0.278000	0.631057	482	0.311203	1.194717	518	0.247104	0.278000	0.271304	
1000	0.289000	0.631057	494	0.289474	1.194717	506	0.288538	0.289000	0.271572	
1000	0.248000	0.631057	469	0.255864	1.194717	531	0.241055	0.248000	0.271220	
1000	0.272000	0.631057	498	0.267068	1.194717	502	0.276892	0.272000	0.271231	
1000	0.260000	0.631057	470	0.268085	1.194717	530	0.252830	0.260000	0.271069	
1000	0.268000	0.631057	496	0.270161	1.194717	504	0.265873	0.268000	0.271025	
1000	0.286000	0.631057	524	0.274809	1.194717	476	0.298319	0.286000	0.271236	
1000	0.271000	0.631057	545	0.280734	1.194717	455	0.259341	0.271000	0.271232	
1000	0.294000	0.631057	503	0.314115	1.194717	497	0.273642	0.294000	0.271544	
1000	0.271000	0.631057	510	0.284314	1.194717	490	0.257143	0.271000	0.271537	
