Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Nom_words_Verbs.txt
Log File Name:                   features_Nom_words_Verbs.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1331055550
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Nom_words_Verbs.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      0.066062
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       34
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-97.369216	767	1.156148949561	6.556660208945	7.094085120643	3.392379976813	-0.096092522478	
3000	-94.772637	654	2.941259320989	6.094473403837	6.326958909060	3.374821326854	-0.065683817404	
4000	-95.309980	816	3.143463330250	6.514003449999	6.010798810166	3.479555007552	-0.076910508454	
5000	-96.084811	622	3.561892892870	6.109577541253	6.321230989815	3.515625760893	-0.090680441094	
6000	-97.076465	23	1.883167549005	6.050515359910	6.747441844575	3.629818393103	-0.030571778318	
7000	-94.462201	157	2.763527601756	5.992430192064	6.025755543090	3.412480010614	-0.067117045887	
8000	-94.907714	964	1.941358268049	5.906467719345	6.427088903748	3.214926496796	-0.027001339327	
9000	-94.269603	490	2.854379070602	6.503579259702	6.248579137297	3.333613550956	-0.055247574213	
10000	-96.523432	67	2.082419087210	6.175790816008	6.575137748683	3.500818099910	-0.064931630780	
11000	-95.800793	348	3.420631417938	5.957307676004	6.124111887331	3.557059249919	-0.108568299959	
12000	-96.369793	716	3.297567171592	6.441209730420	6.510329558483	3.506268413202	-0.067086692317	
13000	-95.499263	538	2.156333325806	6.190828222853	6.223781066766	3.462921694241	-0.050662742302	
14000	-96.277052	737	3.604802043715	6.091707649393	6.373506927923	3.588477683133	-0.103402336163	
15000	-97.593641	366	3.473641552253	5.514472021576	6.357993721576	3.736467737913	-0.131915757916	
16000	-94.728374	79	2.571155207996	6.343955870023	6.035011701946	3.330754389807	-0.067843510654	
17000	-95.425553	817	2.673087089770	5.797142046405	6.023423185007	3.588795496352	-0.059215644390	
18000	-94.816400	736	2.951200144319	6.765922212732	6.031445066965	3.448719974246	-0.061514560416	
19000	-95.391694	662	2.907454843782	6.196567471912	6.207629955077	3.471528741184	-0.077040078597	
20000	-96.083570	235	2.211329076860	5.985918258892	6.149124079966	3.534711083617	-0.060422843935	
21000	-96.340088	751	2.873059536134	6.951903192912	6.038905752842	3.735233618171	-0.080040598157	
22000	-95.697693	896	3.331704959306	6.653351101500	6.425078671552	3.398542278590	-0.045851633913	
23000	-97.580036	73	1.980476206361	7.040653723150	6.636432480929	3.860634313438	-0.125395731189	
24000	-95.688555	114	2.536749358905	5.914604653930	5.949656191078	3.659366816878	-0.080631629507	
25000	-94.317398	631	2.311912867248	6.067226173776	6.141646548591	3.278259859975	-0.037605671824	
26000	-96.332082	400	2.129146667635	7.119133157045	6.282467848000	3.667355376557	-0.125210334298	
27000	-96.645204	880	3.371742849478	6.425750857653	6.561259957738	3.645555272351	-0.062636337851	
28000	-95.099533	587	3.054967182895	6.735177083504	6.249353103792	3.459601848775	-0.047109375099	
29000	-96.744791	174	1.705097026106	6.774850355501	6.546124127579	3.590811504959	-0.142836606394	
30000	-98.051950	930	4.132992823098	5.648184041806	7.190169983190	3.591805395766	-0.135401924653	
31000	-95.102011	383	2.909217554666	6.457820262277	6.025979549638	3.437810611675	-0.062042285851	
