Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
873	0.573883	127	0.582677	1.464220	449	0.772829	5.857342	424	0.363208	0.575000	0.657671	
854	0.426230	146	0.595890	2.800044	425	0.592941	5.857342	429	0.261072	0.451000	0.588804	
846	0.351064	154	0.655844	4.737945	418	0.435407	5.857342	428	0.268692	0.398000	0.541115	
825	0.286061	175	0.685714	6.848458	411	0.323601	5.857342	414	0.248792	0.356000	0.504099	
825	0.254545	175	0.685714	6.848458	397	0.292191	5.857342	428	0.219626	0.330000	0.475087	
847	0.251476	153	0.653595	6.848458	429	0.261072	5.857342	418	0.241627	0.313000	0.451935	
848	0.286557	152	0.625000	6.848458	425	0.324706	5.857342	423	0.248227	0.338000	0.437695	
832	0.265625	168	0.607143	6.848458	415	0.277108	5.857342	417	0.254197	0.323000	0.424953	
831	0.273165	169	0.751479	6.848458	414	0.314010	5.857342	417	0.232614	0.354000	0.417858	
836	0.239234	164	0.670732	6.848458	404	0.245050	5.857342	432	0.233796	0.310000	0.408054	
830	0.277108	170	0.723529	6.848458	401	0.296758	5.857342	429	0.258741	0.353000	0.403466	
807	0.276332	193	0.683938	6.848458	406	0.312808	5.857342	401	0.239401	0.355000	0.399738	
823	0.287971	177	0.644068	6.848458	417	0.290168	5.857342	406	0.285714	0.351000	0.396257	
822	0.307786	178	0.707865	6.848458	409	0.361858	5.857342	413	0.254237	0.379000	0.395107	
828	0.286232	172	0.691860	6.848458	437	0.313501	5.857342	391	0.255754	0.356000	0.392663	
814	0.291155	186	0.709677	6.848458	419	0.326969	5.857342	395	0.253165	0.369000	0.391271	
819	0.283272	181	0.679558	6.848458	411	0.306569	5.857342	408	0.259804	0.355000	0.389256	
