Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.239539	-0.239539
1	0.995007	75000	-0.239263	-0.478802
2	0.992517	75000	-0.238872	-0.717674
3	0.990030	75000	-0.238603	-0.956277
4	0.987547	75000	-0.238121	-1.194398
5	0.985067	75000	-0.237800	-1.432198
6	0.982592	75000	-0.237510	-1.669708
7	0.980120	75000	-0.237161	-1.906869
8	0.977652	75000	-0.236734	-2.143603
9	0.975187	75000	-0.236413	-2.380016
10	0.972726	75000	-0.236033	-2.616049
11	0.970269	75000	-0.235647	-2.851696
12	0.967816	75000	-0.235375	-3.087071
13	0.965367	75000	-0.235022	-3.322093
14	0.962921	75000	-0.234626	-3.556719
15	0.960479	75000	-0.234323	-3.791042
16	0.958040	75000	-0.234028	-4.025070
17	0.955606	75000	-0.233595	-4.258665
18	0.953175	75000	-0.233255	-4.491921
19	0.950747	75000	-0.233049	-4.724969
20	0.948324	75000	-0.232651	-4.957620
21	0.945904	75000	-0.232157	-5.189777
22	0.943488	75000	-0.231893	-5.421670
23	0.941076	75000	-0.231519	-5.653189
24	0.938667	75000	-0.231250	-5.884439
25	0.936262	75000	-0.230846	-6.115284
26	0.933861	75000	-0.230511	-6.345796
27	0.931463	75000	-0.230199	-6.575995
28	0.929069	75000	-0.229751	-6.805746
29	0.926679	75000	-0.229432	-7.035178
30	0.924293	75000	-0.229004	-7.264182
31	0.921910	75000	-0.228845	-7.493027
32	0.919531	75000	-0.228534	-7.721561
33	0.917155	75000	-0.228103	-7.949664
34	0.914783	75000	-0.227701	-8.177365
35	0.912415	75000	-0.227477	-8.404842
36	0.910051	75000	-0.227075	-8.631916
37	0.907690	75000	-0.226736	-8.858652
38	0.905333	75000	-0.226296	-9.084948
39	0.902980	75000	-0.226050	-9.310998
40	0.900630	75000	-0.225616	-9.536615
41	0.898284	75000	-0.225265	-9.761880
42	0.895942	75000	-0.224963	-9.986842
43	0.893603	75000	-0.224664	-10.211506
44	0.891268	75000	-0.224279	-10.435785
45	0.888937	75000	-0.223951	-10.659736
46	0.886609	75000	-0.223558	-10.883294
47	0.884285	75000	-0.223269	-11.106562
48	0.881965	75000	-0.222892	-11.329455
49	0.879648	75000	-0.222527	-11.551982
50	0.877335	75000	-0.222246	-11.774228
51	0.875026	75000	-0.221929	-11.996157
52	0.872720	75000	-0.221558	-12.217715
53	0.870418	75000	-0.221270	-12.438985
