Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
831	0.283995	169	0.656805	6.125347	433	0.300231	6.723766	398	0.266332	0.347000	0.377811	
791	0.261694	209	0.679426	6.125347	408	0.294118	6.723766	383	0.227154	0.349000	0.368211	
854	0.276347	146	0.623288	6.125347	431	0.327146	6.723766	423	0.224586	0.327000	0.357911	
826	0.267554	174	0.666667	6.125347	428	0.345794	6.723766	398	0.183417	0.337000	0.353729	
817	0.301102	183	0.655738	6.125347	420	0.271429	3.973622	397	0.332494	0.366000	0.355774	
844	0.364929	156	0.679487	6.125347	445	0.366292	3.973622	399	0.363409	0.414000	0.364091	
823	0.325638	177	0.723164	6.125347	394	0.335025	3.973622	429	0.317016	0.396000	0.368079	
845	0.319527	155	0.664516	6.125347	423	0.260047	3.973622	422	0.379147	0.373000	0.368626	
843	0.353499	157	0.719745	6.125347	401	0.346633	3.973622	442	0.359729	0.411000	0.372863	
843	0.339265	157	0.713376	6.125347	413	0.314770	3.973622	430	0.362791	0.398000	0.375148	
844	0.335308	156	0.679487	6.125347	412	0.327670	3.973622	432	0.342593	0.389000	0.376302	
832	0.326923	168	0.755952	6.125347	410	0.319512	3.973622	422	0.334123	0.399000	0.378048	
828	0.339372	172	0.738372	6.125347	398	0.334171	3.973622	430	0.344186	0.408000	0.380187	
852	0.365023	148	0.682432	6.125347	443	0.340858	3.973622	409	0.391198	0.412000	0.382308	
850	0.320000	150	0.653333	6.125347	402	0.298507	3.973622	448	0.339286	0.370000	0.381539	
823	0.318348	177	0.615819	6.125347	388	0.332474	3.973622	435	0.305747	0.371000	0.380919	
839	0.356377	161	0.720497	6.125347	394	0.302030	3.973622	445	0.404494	0.415000	0.382812	
842	0.274347	158	0.734177	6.125347	442	0.287330	6.108067	400	0.260000	0.347000	0.380927	
830	0.303614	170	0.682353	6.125347	411	0.343066	6.108067	419	0.264916	0.368000	0.380281	
831	0.275572	169	0.698225	6.125347	431	0.299304	6.108067	400	0.250000	0.347000	0.378696	
826	0.280872	174	0.729885	6.125347	415	0.313253	6.108067	411	0.248175	0.359000	0.377801	
841	0.296076	159	0.704403	6.125347	450	0.346667	6.108067	391	0.237852	0.361000	0.377071	
847	0.273908	153	0.732026	6.125347	426	0.330986	6.108067	421	0.216152	0.344000	0.375693	
854	0.281030	146	0.726027	6.125347	414	0.314010	6.108067	440	0.250000	0.346000	0.374505	
823	0.267315	177	0.774011	6.125347	428	0.317757	6.108067	395	0.212658	0.357000	0.373832	
838	0.251790	162	0.697531	6.125347	408	0.306373	6.108067	430	0.200000	0.324000	0.371986	
847	0.282172	153	0.647059	6.125347	407	0.324324	6.108067	440	0.243182	0.338000	0.370772	
832	0.323317	168	0.642857	6.125347	422	0.383886	6.108067	410	0.260976	0.377000	0.370987	
847	0.325856	153	0.666667	6.125347	415	0.366265	6.108067	432	0.287037	0.378000	0.371221	
827	0.270859	173	0.705202	6.125347	445	0.298876	6.108067	382	0.238220	0.346000	0.370407	
808	0.288366	192	0.682292	6.125347	413	0.365617	6.108067	395	0.207595	0.364000	0.370207	
820	0.285366	180	0.661111	6.125347	404	0.326733	6.108067	416	0.245192	0.353000	0.369686	
860	0.310465	140	0.721429	6.125347	411	0.328467	6.108067	449	0.293987	0.368000	0.369636	
818	0.253056	182	0.703297	6.125347	384	0.304688	6.108067	434	0.207373	0.335000	0.368647	
860	0.276744	140	0.650000	6.125347	445	0.328090	6.108067	415	0.221687	0.329000	0.367545	
819	0.278388	181	0.657459	6.125347	408	0.313725	6.108067	411	0.243309	0.347000	0.366990	
842	0.290974	158	0.594937	6.125347	418	0.291866	6.108067	424	0.290094	0.339000	0.366254	
842	0.319477	158	0.696203	6.125347	421	0.356295	6.108067	421	0.282660	0.379000	0.366580	
842	0.247031	158	0.670886	6.125347	420	0.300000	6.108067	422	0.194313	0.314000	0.365266	
842	0.326603	158	0.683544	6.125347	401	0.271820	3.825106	441	0.376417	0.383000	0.365698	
841	0.375743	159	0.666667	6.125347	428	0.338785	3.825106	413	0.414044	0.422000	0.367039	
831	0.300842	169	0.757396	6.125347	393	0.330789	5.832704	438	0.273973	0.378000	0.367294	
830	0.306024	170	0.641176	6.125347	423	0.345154	5.832704	407	0.265356	0.363000	0.367196	
831	0.288809	169	0.692308	6.125347	424	0.353774	5.832704	407	0.221130	0.357000	0.366970	
809	0.268232	191	0.753927	6.125347	388	0.324742	5.832704	421	0.216152	0.361000	0.366840	
839	0.333731	161	0.664596	6.125347	430	0.353488	5.832704	409	0.312958	0.387000	0.367269	
837	0.327360	163	0.742331	6.125347	439	0.337130	5.832704	398	0.316583	0.395000	0.367847	
849	0.307420	151	0.721854	6.125347	407	0.316953	5.832704	442	0.298643	0.370000	0.367890	
820	0.302439	180	0.550000	6.125347	428	0.327103	5.832704	392	0.275510	0.347000	0.367473	
813	0.296433	187	0.705882	6.125347	433	0.321016	5.832704	380	0.268421	0.373000	0.367581	
834	0.291367	166	0.692771	6.125347	434	0.368664	5.832704	400	0.207500	0.358000	0.367397	
834	0.258993	166	0.674699	6.125347	387	0.291990	5.832704	447	0.230425	0.328000	0.366653	
825	0.298182	175	0.731429	6.125347	365	0.328767	5.832704	460	0.273913	0.374000	0.366790	
828	0.297101	172	0.691860	6.125347	392	0.349490	5.832704	436	0.250000	0.365000	0.366757	
837	0.303465	163	0.656442	6.125347	434	0.341014	5.832704	403	0.263027	0.361000	0.366654	
844	0.305687	156	0.762821	6.125347	449	0.282851	5.832704	395	0.331646	0.377000	0.366836	
849	0.282686	151	0.701987	6.125347	421	0.304038	5.832704	428	0.261682	0.346000	0.366476	
810	0.300000	190	0.721053	6.125347	390	0.333333	5.832704	420	0.269048	0.380000	0.366706	
824	0.297330	176	0.681818	6.125347	421	0.320665	5.832704	403	0.272953	0.365000	0.366677	
815	0.319018	185	0.708108	6.125347	393	0.333333	5.832704	422	0.305687	0.391000	0.367076	
840	0.309524	160	0.762500	6.125347	417	0.362110	5.832704	423	0.257683	0.382000	0.367317	
843	0.276394	157	0.764331	6.125347	390	0.292308	5.832704	453	0.262693	0.353000	0.367089	
834	0.315348	166	0.650602	6.125347	431	0.350348	5.832704	403	0.277916	0.371000	0.367151	
847	0.279811	153	0.633987	6.125347	440	0.300000	5.832704	407	0.257985	0.334000	0.366641	
830	0.250602	170	0.700000	6.125347	401	0.284289	5.832704	429	0.219114	0.327000	0.366040	
839	0.277712	161	0.739130	6.125347	444	0.297297	5.832704	395	0.255696	0.352000	0.365830	
855	0.276023	145	0.544828	6.125347	442	0.296380	5.832704	413	0.254237	0.315000	0.365083	
839	0.281287	161	0.645963	6.125347	439	0.300683	5.832704	400	0.260000	0.340000	0.364719	
798	0.305764	202	0.688119	6.125347	406	0.332512	5.832704	392	0.278061	0.383000	0.364981	
834	0.274580	166	0.753012	6.125347	421	0.308789	5.832704	413	0.239709	0.354000	0.364826	
813	0.277983	187	0.754011	6.125347	406	0.310345	5.832704	407	0.245700	0.367000	0.364856	
825	0.258182	175	0.822857	6.125347	405	0.306173	5.832704	420	0.211905	0.357000	0.364748	
828	0.293478	172	0.750000	6.125347	441	0.315193	5.832704	387	0.268734	0.372000	0.364846	
