Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Nom_words_Verbs.txt
Log File Name:                   features_Nom_words_Verbs.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            794771810
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Nom_words_Verbs.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-794.568133	1	3.937238702152	6.826414332964	9.056720052961	5.483011037289	0.087778888087	
3000	-795.340415	1	3.332432459047	6.283121283641	9.013659117613	5.546114259232	0.089718620578	
4000	-795.528386	1	3.937693608228	6.390906860772	9.056841969132	5.518331672812	0.079239399533	
5000	-793.951136	1	3.335717788482	6.731650615840	9.013250452253	5.480197213237	0.086255009737	
6000	-793.868319	1	3.411241299636	6.776850509335	9.005791318446	5.480810892925	0.086041157324	
7000	-796.079995	1	4.001679132333	6.341647882461	9.075330984604	5.530091149226	0.076991745902	
8000	-795.154557	1	3.075299152001	6.447134060664	9.067417461579	5.506837259973	0.091701501480	
9000	-794.500702	1	3.923010881544	6.716299554212	9.052974881433	5.480291032260	0.085736325208	
10000	-794.699878	1	3.260780540639	6.428032461212	9.024317868776	5.510511573367	0.089674552723	
11000	-794.880842	1	3.231621181918	6.400783353315	9.029611368092	5.516163790131	0.090381288987	
12000	-793.933278	1	3.367301774765	6.657110092382	9.009679788703	5.482087370708	0.086799785095	
13000	-793.972203	1	3.721178083126	6.786221486375	9.014026180988	5.481104402518	0.086707792029	
14000	-797.908557	1	3.377492988545	5.974487555237	9.008666074131	5.667456596526	0.089930962786	
15000	-793.961477	1	3.355733856160	6.798680148461	9.010912288004	5.481583054296	0.085727684566	
16000	-794.974598	1	3.007219179647	6.725656810089	9.088849952303	5.480215608144	0.086064538251	
17000	-794.391743	1	3.275605342149	6.504977977039	9.021838641285	5.497157836664	0.088699456510	
18000	-797.836919	1	4.098106666342	7.376686268690	9.108223929710	5.614763236188	0.101508160387	
19000	-794.481293	1	3.921210138885	6.749563364622	9.052510259299	5.480281482032	0.086347899094	
20000	-794.540200	1	3.310044760686	6.445173603276	9.016630832818	5.507203439604	0.088875314542	
21000	-793.935130	1	3.345244180049	6.728531876777	9.012105140304	5.480203869055	0.086285668361	
22000	-794.251445	1	3.357992114970	6.507139658650	9.010664846732	5.496838284624	0.087870934936	
23000	-794.009562	1	3.581505116621	6.569908236481	9.002582494774	5.488884681723	0.085798089212	
24000	-795.095665	1	3.973133237285	6.521505130869	9.066753523285	5.494791897972	0.081500399328	
25000	-794.120776	1	3.734337416092	6.610445067067	9.015758298392	5.485109785584	0.085001426693	
26000	-794.253889	1	3.316291611326	6.526784198461	9.015768848211	5.494073605941	0.088114273072	
27000	-794.400879	1	3.804478672574	6.943572687406	9.026890580333	5.494562974112	0.088770866846	
28000	-794.024463	1	3.331444939056	6.816245614806	9.013783328205	5.482429389358	0.085476496940	
29000	-794.279591	1	3.479866722886	6.473874434378	9.002230026324	5.502092168062	0.086666149298	
30000	-793.888752	1	3.660591571287	6.789785071978	9.007504192081	5.481231005658	0.086612306978	
31000	-795.068291	1	3.945425395308	6.498389928843	9.058934692618	5.498150462574	0.081333752313	
32000	-795.331657	1	3.562655264597	7.195918128274	9.002009701274	5.549763006342	0.086544906683	
33000	-793.875322	1	3.463634018666	6.633587462486	9.002795878503	5.483433885866	0.086549501417	
34000	-793.849612	1	3.600075377516	6.805825512566	9.003372744475	5.481903120784	0.086524335636	
35000	-794.708285	1	3.720995708389	6.425607276217	9.014002966803	5.510995048331	0.083217187284	
36000	-794.568765	1	3.132260773366	6.590742686788	9.051801133136	5.486811049752	0.088591034567	
37000	-794.113391	1	3.434064946196	6.529466210312	9.004266985822	5.493715622847	0.087037248760	
38000	-796.222303	1	2.807269920930	6.526874816109	9.169222574819	5.494061434343	0.092188467381	
39000	-794.956066	1	3.443849304473	6.332431981156	9.003717254610	5.532466465816	0.087382480085	
40000	-795.086283	1	2.985805381862	6.747267974245	9.096214435621	5.480259027375	0.085499964452	
41000	-794.162297	1	3.367571305089	6.912027423166	9.009652109132	5.490574429785	0.084872394307	
42000	-794.807309	1	3.298410491629	7.047781374617	9.018303855184	5.512338907474	0.082673420234	
43000	-797.238445	1	3.009282235684	6.134360700784	9.088156189211	5.596867765023	0.099077700895	
44000	-794.680129	1	3.865831049141	6.984752432578	9.039251147539	5.500743470400	0.089901507594	
45000	-798.227550	1	3.399611845790	7.505836848679	9.006698300739	5.674217734992	0.080365596689	
46000	-795.647005	1	3.004442548058	6.394407608254	9.089788045572	5.517556003905	0.093691861840	
47000	-793.839528	1	3.545559799231	6.655427339337	9.001690028361	5.482171747310	0.086206814162	
48000	-797.363863	1	3.922812262554	6.126440711411	9.052923530898	5.599973363846	0.074109124014	
49000	-798.460663	1	2.965207487045	6.015224608634	9.103579694920	5.647891884246	0.102768902274	
50000	-794.345441	1	3.623895067747	7.004979192801	9.004714697766	5.504183083600	0.087328715509	
51000	-795.084411	1	3.183737111495	7.038477977753	9.039503648184	5.510464837798	0.081075827475	
