Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-1.985442	-1.985442
1	0.995007	75000	-1.982596	-3.968038
2	0.992517	75000	-1.979569	-5.947607
3	0.990030	75000	-1.976630	-7.924236
4	0.987547	75000	-1.973624	-9.897860
5	0.985067	75000	-1.970592	-11.868452
6	0.982592	75000	-1.967699	-13.836150
7	0.980120	75000	-1.964704	-15.800855
8	0.977652	75000	-1.961747	-17.762601
9	0.975187	75000	-1.958823	-19.721425
10	0.972726	75000	-1.955854	-21.677279
11	0.970269	75000	-1.952885	-23.630164
12	0.967816	75000	-1.949999	-25.580163
13	0.965367	75000	-1.947009	-27.527172
14	0.962921	75000	-1.944060	-29.471231
15	0.960479	75000	-1.941082	-31.412314
16	0.958040	75000	-1.938195	-33.350509
17	0.955606	75000	-1.935125	-35.285634
18	0.953175	75000	-1.932183	-37.217817
19	0.950747	75000	-1.929298	-39.147115
20	0.948324	75000	-1.926359	-41.073473
21	0.945904	75000	-1.923444	-42.996917
22	0.943488	75000	-1.920414	-44.917331
23	0.941076	75000	-1.917549	-46.834880
24	0.938667	75000	-1.914596	-48.749476
25	0.936262	75000	-1.911639	-50.661115
26	0.933861	75000	-1.908686	-52.569801
27	0.931463	75000	-1.905847	-54.475648
28	0.929069	75000	-1.902821	-56.378469
29	0.926679	75000	-1.899929	-58.278398
30	0.924293	75000	-1.896986	-60.175384
31	0.921910	75000	-1.894067	-62.069451
32	0.919531	75000	-1.891162	-63.960612
33	0.917155	75000	-1.888240	-65.848852
34	0.914783	75000	-1.885260	-67.734112
35	0.912415	75000	-1.882412	-69.616524
36	0.910051	75000	-1.879390	-71.495914
37	0.907690	75000	-1.876482	-73.372396
38	0.905333	75000	-1.873641	-75.246037
39	0.902980	75000	-1.870660	-77.116697
40	0.900630	75000	-1.867818	-78.984515
41	0.898284	75000	-1.864866	-80.849381
42	0.895942	75000	-1.862008	-82.711389
43	0.893603	75000	-1.859032	-84.570422
44	0.891268	75000	-1.856153	-86.426575
45	0.888937	75000	-1.853257	-88.279831
46	0.886609	75000	-1.850378	-90.130210
47	0.884285	75000	-1.847420	-91.977630
48	0.881965	75000	-1.844542	-93.822172
49	0.879648	75000	-1.841616	-95.663787
50	0.877335	75000	-1.838702	-97.502489
51	0.875026	75000	-1.835879	-99.338368
52	0.872720	75000	-1.832971	-101.171339
53	0.870418	75000	-1.830030	-103.001370
54	0.868120	75000	-1.827139	-104.828509
55	0.865825	75000	-1.824198	-106.652707
56	0.863534	75000	-1.821359	-108.474066
57	0.861246	75000	-1.818446	-110.292512
58	0.858962	75000	-1.815599	-112.108111
59	0.856682	75000	-1.812757	-113.920867
60	0.854405	75000	-1.809768	-115.730635
61	0.852132	75000	-1.806945	-117.537581
62	0.849863	75000	-1.804068	-119.341649
63	0.847597	75000	-1.801234	-121.142883
64	0.845335	75000	-1.798268	-122.941151
65	0.843077	75000	-1.795431	-124.736582
66	0.840822	75000	-1.792528	-126.529109
67	0.838571	75000	-1.789698	-128.318808
68	0.836323	75000	-1.786838	-130.105646
69	0.834079	75000	-1.783912	-131.889558
70	0.831839	75000	-1.781054	-133.670612
71	0.829602	75000	-1.778211	-135.448823
72	0.827369	75000	-1.775349	-137.224172
73	0.825140	75000	-1.772488	-138.996659
74	0.822914	75000	-1.769572	-140.766232
75	0.820691	75000	-1.766799	-142.533031
76	0.818473	75000	-1.763906	-144.296936
77	0.816258	75000	-1.761051	-146.057988
78	0.814046	75000	-1.758317	-147.816305
79	0.811838	75000	-1.755309	-149.571614
80	0.809634	75000	-1.752504	-151.324118
81	0.807433	75000	-1.749619	-153.073738
82	0.805236	75000	-1.746818	-154.820555
83	0.803043	75000	-1.743936	-156.564491
84	0.800853	75000	-1.741087	-158.305578
85	0.798667	75000	-1.738235	-160.043813
