Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Nom_words_Verbs.txt
Log File Name:                   features_Nom_words_Verbs.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            962543961
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Nom_words_Verbs.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-795.533872	1	3.455036877462	6.398659645054	9.003164974228	5.516624588895	0.000000000000	
3000	-795.607675	1	3.225175361131	6.468334381504	9.030856147442	5.503037063043	0.000000000000	
4000	-795.504182	1	3.882705420673	6.915133386268	9.043080017156	5.490938422330	0.000000000000	
5000	-794.971155	1	3.361826754419	6.589585636366	9.010252275738	5.486918806725	0.000000000000	
6000	-795.317354	1	3.417421903879	6.454357951698	9.005345084798	5.505509534830	0.000000000000	
7000	-795.078250	1	3.756302501640	6.872294883122	9.018900348845	5.486471557403	0.000000000000	
8000	-795.947581	1	3.389882392860	7.135148747418	9.007524672850	5.532684365413	0.000000000000	
9000	-797.041156	1	3.237613593589	7.257572629829	9.028478384067	5.569544683329	0.000000000000	
10000	-796.038934	1	3.330884883247	7.136129466387	9.013854054034	5.532940921020	0.000000000000	
11000	-795.362127	1	3.147896338028	6.799933016992	9.047883646092	5.481636774291	0.000000000000	
12000	-795.305145	1	3.186881890129	6.617283115379	9.038808226223	5.484578343811	0.000000000000	
13000	-798.823904	1	4.498051395650	6.786197336822	9.309202048448	5.481103572732	0.000000000000	
14000	-796.443653	1	4.051677057770	6.463740994292	9.091631246728	5.503835632571	0.000000000000	
15000	-796.696597	1	4.133512336757	6.960746086082	9.121819077468	5.497006405168	0.000000000000	
16000	-795.384784	1	3.690848616272	6.454826796143	9.010462898198	5.505424535653	0.000000000000	
17000	-794.875109	1	3.330759582279	6.758433214747	9.013869905406	5.480400452973	0.000000000000	
18000	-794.809265	1	3.382732968057	6.780178595240	9.008171148113	5.480908593015	0.000000000000	
19000	-794.945165	1	3.724707275828	6.829125117770	9.014479665399	5.483177445846	0.000000000000	
20000	-796.550718	1	3.463594988329	7.238081538855	9.002797445558	5.563023802720	0.000000000000	
21000	-794.915559	1	3.358648634056	6.622252101350	9.010593533038	5.484211239110	0.000000000000	
22000	-795.705165	1	3.916234595769	6.946996504972	9.051237447730	5.495034807732	0.000000000000	
23000	-796.660490	1	3.774421531558	6.249431959557	9.021728387603	5.556347711874	0.000000000000	
24000	-795.025268	1	3.673850275204	6.909494348749	9.008727421003	5.490282219517	0.000000000000	
25000	-795.977866	1	4.062729604447	6.700014756877	9.095453988538	5.480558073536	0.000000000000	
26000	-795.753513	1	3.396209280663	7.101347584639	9.006980298096	5.524224274585	0.000000000000	
27000	-795.821259	1	3.353245412280	7.103377096192	9.011188791774	5.524711274456	0.000000000000	
28000	-796.341107	1	2.913845986844	6.725883959799	9.123146963706	5.480214485103	0.000000000000	
29000	-795.493335	1	3.937274304811	6.655353351914	9.056729589724	5.482175499450	0.000000000000	
30000	-797.403130	1	3.522154673106	6.119324954784	9.001560592859	5.602798394451	0.000000000000	
31000	-794.779816	1	3.611425855667	6.655961207921	9.003966187515	5.482144778635	0.000000000000	
32000	-795.155899	1	3.267162386814	6.881476479357	9.023233079945	5.487328461197	0.000000000000	
33000	-800.060203	1	2.573828934510	6.287563276196	9.295954201875	5.544820036558	0.000000000000	
34000	-797.492029	1	3.441893136444	6.112660300962	9.003822182104	5.605474195457	0.000000000000	
35000	-795.311592	1	3.875330749035	6.635582628649	9.041383891911	5.483305709999	0.000000000000	
36000	-795.007691	1	3.292015759191	6.639196128156	9.019260913253	5.483080157144	0.000000000000	
37000	-795.431491	1	3.122736900165	6.779515625053	9.054265249973	5.480888556185	0.000000000000	
38000	-795.116577	1	3.241143462302	6.822372950106	9.027821921841	5.482771819443	0.000000000000	
39000	-795.999962	1	3.720809374755	6.337719478104	9.013979271035	5.531096906528	0.000000000000	
40000	-795.889530	1	3.106136102197	6.972637077281	9.058701400937	5.498810631099	0.000000000000	
41000	-794.890964	1	3.710210677336	6.662201466091	9.012668618487	5.481843293599	0.000000000000	
42000	-795.646858	1	3.173162347298	6.967944550455	9.041889277276	5.498087648218	0.000000000000	
43000	-794.878500	1	3.489452085523	6.886231563107	9.001976360791	5.487793793809	0.000000000000	
44000	-794.885460	1	3.324775483813	6.708464845551	9.014638819581	5.480397980632	0.000000000000	
45000	-794.713747	1	3.513640085625	6.697449819250	9.001601877591	5.480615854713	0.000000000000	
46000	-794.771723	1	3.644035774200	6.761834952520	9.006137276630	5.480459653944	0.000000000000	
47000	-795.148297	1	3.462563992541	6.490248853639	9.002839198386	5.499416074067	0.000000000000	
