Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.103000	2.294191	495	0.161616	5.317302	505	0.045545	0.103000	0.263868	
1000	0.082000	2.282295	510	0.111765	4.954779	490	0.051020	0.082000	0.203266	
1000	0.108000	2.122853	492	0.138211	3.901206	508	0.078740	0.108000	0.179455	
1000	0.152000	1.498100	502	0.199203	2.200128	498	0.104418	0.152000	0.173965	
1000	0.215000	0.911706	497	0.277666	2.109664	503	0.153082	0.215000	0.180803	
1000	0.239000	0.911706	498	0.323293	1.762672	502	0.155378	0.239000	0.189116	
1000	0.291000	0.911706	488	0.327869	1.147467	512	0.255859	0.291000	0.201850	
1000	0.292000	0.911706	534	0.327715	1.147467	466	0.251073	0.292000	0.211865	
1000	0.276000	0.911706	524	0.293893	1.147467	476	0.256303	0.276000	0.218278	
1000	0.314000	0.911706	488	0.362705	1.147467	512	0.267578	0.314000	0.226979	
1000	0.274000	0.911706	493	0.302231	1.147467	507	0.246548	0.274000	0.230897	
1000	0.314000	0.911706	481	0.382536	1.147467	519	0.250482	0.314000	0.237289	
1000	0.278000	0.911706	485	0.354639	1.147467	515	0.205825	0.278000	0.240197	
1000	0.300000	0.911706	518	0.322394	1.147467	482	0.275934	0.300000	0.244184	
1000	0.283000	0.911706	511	0.342466	1.147467	489	0.220859	0.283000	0.246610	
1000	0.269000	0.911706	477	0.280922	1.147467	523	0.258126	0.269000	0.247927	
1000	0.286000	0.911706	505	0.336634	1.147467	495	0.234343	0.286000	0.250042	
1000	0.285000	0.911706	459	0.326797	1.147467	541	0.249538	0.285000	0.251881	
1000	0.283000	0.911706	481	0.305613	1.147467	519	0.262042	0.283000	0.253437	
1000	0.268000	0.911706	511	0.307241	1.147467	489	0.226994	0.268000	0.254131	
1000	0.288000	0.911706	531	0.327684	1.147467	469	0.243070	0.288000	0.255670	
1000	0.257000	0.911706	498	0.363454	1.147467	502	0.151394	0.257000	0.255728	
1000	0.283000	0.911706	509	0.332024	1.099583	491	0.232179	0.283000	0.256864	
1000	0.292000	0.911706	519	0.329480	1.099583	481	0.251559	0.292000	0.258270	
1000	0.271000	0.911706	461	0.312364	1.099583	539	0.235622	0.271000	0.258759	
1000	0.284000	0.911706	488	0.303279	1.099583	512	0.265625	0.284000	0.259694	
1000	0.289000	0.911706	491	0.311609	1.099583	509	0.267191	0.289000	0.260741	
1000	0.277000	0.911706	508	0.322835	1.099583	492	0.229675	0.277000	0.261301	
1000	0.277000	0.911706	486	0.320988	1.099583	514	0.235409	0.277000	0.261825	
1000	0.288000	0.911706	501	0.331337	1.099583	499	0.244489	0.288000	0.262669	
1000	0.252000	0.911706	499	0.306613	1.099583	501	0.197605	0.252000	0.262336	
1000	0.295000	0.911706	498	0.313253	0.974305	502	0.276892	0.295000	0.263325	
1000	0.269000	0.911706	498	0.291165	0.974305	502	0.247012	0.269000	0.263492	
1000	0.274000	0.911706	491	0.270876	0.974305	509	0.277014	0.274000	0.263792	
1000	0.327000	0.911706	505	0.344554	0.974305	495	0.309091	0.327000	0.265548	
1000	0.344000	0.911706	521	0.381958	0.974305	479	0.302714	0.344000	0.267668	
1000	0.293000	0.911706	484	0.320248	0.974305	516	0.267442	0.293000	0.268335	
1000	0.321000	0.911706	508	0.336614	0.974305	492	0.304878	0.321000	0.269685	
1000	0.325000	0.911706	508	0.332677	0.974305	492	0.317073	0.325000	0.271068	
1000	0.260000	0.911706	521	0.280230	0.974305	479	0.237996	0.260000	0.270798	
