Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.493912	-0.493912
1	0.995007	75000	-0.493268	-0.987180
2	0.992517	75000	-0.492497	-1.479676
3	0.990030	75000	-0.491729	-1.971406
4	0.987547	75000	-0.491085	-2.462490
5	0.985067	75000	-0.490334	-2.952825
6	0.982592	75000	-0.489584	-3.442409
7	0.980120	75000	-0.488804	-3.931213
8	0.977652	75000	-0.488105	-4.419318
9	0.975187	75000	-0.487362	-4.906680
10	0.972726	75000	-0.486638	-5.393318
11	0.970269	75000	-0.485923	-5.879242
12	0.967816	75000	-0.485193	-6.364434
13	0.965367	75000	-0.484471	-6.848905
14	0.962921	75000	-0.483765	-7.332670
15	0.960479	75000	-0.482932	-7.815602
16	0.958040	75000	-0.482292	-8.297894
17	0.955606	75000	-0.481563	-8.779457
18	0.953175	75000	-0.480792	-9.260249
19	0.950747	75000	-0.480034	-9.740283
20	0.948324	75000	-0.479369	-10.219652
21	0.945904	75000	-0.478644	-10.698296
22	0.943488	75000	-0.477885	-11.176181
23	0.941076	75000	-0.477200	-11.653381
24	0.938667	75000	-0.476449	-12.129830
25	0.936262	75000	-0.475736	-12.605566
26	0.933861	75000	-0.475033	-13.080598
27	0.931463	75000	-0.474309	-13.554907
28	0.929069	75000	-0.473562	-14.028469
29	0.926679	75000	-0.472856	-14.501325
30	0.924293	75000	-0.472108	-14.973433
31	0.921910	75000	-0.471354	-15.444788
32	0.919531	75000	-0.470604	-15.915391
33	0.917155	75000	-0.469942	-16.385333
34	0.914783	75000	-0.469139	-16.854473
35	0.912415	75000	-0.468506	-17.322979
36	0.910051	75000	-0.467805	-17.790784
37	0.907690	75000	-0.466999	-18.257782
38	0.905333	75000	-0.466277	-18.724060
39	0.902980	75000	-0.465568	-19.189628
40	0.900630	75000	-0.464806	-19.654434
41	0.898284	75000	-0.464251	-20.118685
42	0.895942	75000	-0.463448	-20.582133
43	0.893603	75000	-0.462721	-21.044854
44	0.891268	75000	-0.462035	-21.506889
45	0.888937	75000	-0.461260	-21.968149
46	0.886609	75000	-0.460565	-22.428713
47	0.884285	75000	-0.459852	-22.888566
48	0.881965	75000	-0.459142	-23.347708
49	0.879648	75000	-0.458407	-23.806116
50	0.877335	75000	-0.457705	-24.263821
51	0.875026	75000	-0.456980	-24.720801
52	0.872720	75000	-0.456293	-25.177094
53	0.870418	75000	-0.455593	-25.632687
54	0.868120	75000	-0.454792	-26.087479
55	0.865825	75000	-0.454156	-26.541635
56	0.863534	75000	-0.453492	-26.995126
57	0.861246	75000	-0.452699	-27.447826
58	0.858962	75000	-0.452051	-27.899877
59	0.856682	75000	-0.451307	-28.351184
60	0.854405	75000	-0.450543	-28.801727
61	0.852132	75000	-0.449887	-29.251614
62	0.849863	75000	-0.449100	-29.700714
63	0.847597	75000	-0.448462	-30.149175
64	0.845335	75000	-0.447733	-30.596908
65	0.843077	75000	-0.446994	-31.043902
66	0.840822	75000	-0.446269	-31.490171
67	0.838571	75000	-0.445588	-31.935759
68	0.836323	75000	-0.444935	-32.380694
69	0.834079	75000	-0.444077	-32.824772
70	0.831839	75000	-0.443489	-33.268261
71	0.829602	75000	-0.442740	-33.711001
72	0.827369	75000	-0.442003	-34.153003
73	0.825140	75000	-0.441355	-34.594359
74	0.822914	75000	-0.440657	-35.035015
75	0.820691	75000	-0.439930	-35.474945
76	0.818473	75000	-0.439295	-35.914240
77	0.816258	75000	-0.438581	-36.352822
78	0.814046	75000	-0.437843	-36.790665
79	0.811838	75000	-0.437130	-37.227795
80	0.809634	75000	-0.436443	-37.664238
81	0.807433	75000	-0.435652	-38.099890
82	0.805236	75000	-0.434992	-38.534882
83	0.803043	75000	-0.434346	-38.969228
84	0.800853	75000	-0.433580	-39.402808
85	0.798667	75000	-0.432918	-39.835726
86	0.796484	75000	-0.432198	-40.267924
87	0.794305	75000	-0.431509	-40.699433
88	0.792129	75000	-0.430765	-41.130198
89	0.789957	75000	-0.430041	-41.560239
90	0.787789	75000	-0.429395	-41.989633
91	0.785624	75000	-0.428687	-42.418320
92	0.783463	75000	-0.427933	-42.846253
93	0.781305	75000	-0.427305	-43.273558
94	0.779151	75000	-0.426608	-43.700166
95	0.777000	75000	-0.425863	-44.126029
96	0.774853	75000	-0.425180	-44.551209
97	0.772710	75000	-0.424496	-44.975705
98	0.770570	75000	-0.423785	-45.399490
99	0.768433	75000	-0.423074	-45.822564
100	0.766301	75000	-0.422451	-46.245015
101	0.764172	75000	-0.421683	-46.666698
102	0.762046	75000	-0.420996	-47.087693
103	0.759924	75000	-0.420300	-47.507993
104	0.757805	75000	-0.419614	-47.927607
105	0.755690	75000	-0.418939	-48.346546
106	0.753579	75000	-0.418211	-48.764757
107	0.751471	75000	-0.417488	-49.182245
108	0.749366	75000	-0.416821	-49.599067
109	0.747266	75000	-0.416160	-50.015227
110	0.745168	75000	-0.415494	-50.430721
111	0.743075	75000	-0.414685	-50.845405
112	0.740984	75000	-0.414033	-51.259439
113	0.738898	75000	-0.413359	-51.672798
114	0.736815	75000	-0.412608	-52.085406
115	0.734735	75000	-0.412022	-52.497428
116	0.732659	75000	-0.411286	-52.908714
117	0.730586	75000	-0.410572	-53.319286
118	0.728517	75000	-0.409969	-53.729255
119	0.726452	75000	-0.409178	-54.138432
120	0.724390	75000	-0.408595	-54.547028
121	0.722331	75000	-0.407812	-54.954840
122	0.720276	75000	-0.407181	-55.362021
123	0.718225	75000	-0.406525	-55.768546
124	0.716177	75000	-0.405735	-56.174281
125	0.714132	75000	-0.405099	-56.579381
126	0.712091	75000	-0.404475	-56.983855
127	0.710054	75000	-0.403713	-57.387568
128	0.708020	75000	-0.403073	-57.790641
129	0.705989	75000	-0.402396	-58.193037
130	0.703962	75000	-0.401711	-58.594748
131	0.701939	75000	-0.401059	-58.995807
132	0.699919	75000	-0.400330	-59.396136
133	0.697902	75000	-0.399691	-59.795827
134	0.695889	75000	-0.399017	-60.194845
135	0.693880	75000	-0.398202	-60.593046
136	0.691874	75000	-0.397558	-60.990604
137	0.689871	75000	-0.396812	-61.387416
138	0.687872	75000	-0.396164	-61.783580
139	0.685877	75000	-0.395471	-62.179051
140	0.683885	75000	-0.394862	-62.573913
141	0.681896	75000	-0.394181	-62.968095
142	0.679911	75000	-0.393433	-63.361528
143	0.677929	75000	-0.392769	-63.754297
144	0.675951	75000	-0.392125	-64.146421
145	0.673976	75000	-0.391485	-64.537906
146	0.672005	75000	-0.390764	-64.928670
147	0.670037	75000	-0.390106	-65.318776
148	0.668073	75000	-0.389471	-65.708247
149	0.666112	75000	-0.388695	-66.096942
150	0.664155	75000	-0.388052	-66.484994
151	0.662201	75000	-0.387331	-66.872324
152	0.660250	75000	-0.386697	-67.259021
153	0.658303	75000	-0.386066	-67.645087
154	0.656359	75000	-0.385331	-68.030419
155	0.654419	75000	-0.384738	-68.415156
156	0.652483	75000	-0.384052	-68.799208
157	0.650549	75000	-0.383406	-69.182614
158	0.648619	75000	-0.382604	-69.565218
159	0.646693	75000	-0.382002	-69.947220
160	0.644770	75000	-0.381368	-70.328588
161	0.642851	75000	-0.380722	-70.709310
162	0.640934	75000	-0.380025	-71.089335
163	0.639022	75000	-0.379238	-71.468573
164	0.637113	75000	-0.378595	-71.847168
165	0.635207	75000	-0.377975	-72.225143
166	0.633304	75000	-0.377279	-72.602422
167	0.631405	75000	-0.376617	-72.979039
168	0.629510	75000	-0.375946	-73.354985
169	0.627618	75000	-0.375321	-73.730306
170	0.625729	75000	-0.374614	-74.104919
171	0.623844	75000	-0.373927	-74.478846
172	0.621962	75000	-0.373240	-74.852086
173	0.620083	75000	-0.372592	-75.224678
174	0.618208	75000	-0.371934	-75.596612
175	0.616337	75000	-0.371250	-75.967862
176	0.614468	75000	-0.370625	-76.338487
177	0.612604	75000	-0.369918	-76.708405
178	0.610742	75000	-0.369269	-77.077674
179	0.608884	75000	-0.368569	-77.446243
180	0.607029	75000	-0.367915	-77.814158
181	0.605178	75000	-0.367351	-78.181508
182	0.603330	75000	-0.366622	-78.548130
183	0.601486	75000	-0.365986	-78.914117
184	0.599645	75000	-0.365286	-79.279402
185	0.597807	75000	-0.364652	-79.644054
186	0.595973	75000	-0.364011	-80.008065
187	0.594142	75000	-0.363285	-80.371350
188	0.592314	75000	-0.362733	-80.734083
189	0.590490	75000	-0.361969	-81.096052
190	0.588669	75000	-0.361300	-81.457352
191	0.586852	75000	-0.360664	-81.818017
192	0.585038	75000	-0.360043	-82.178060
193	0.583227	75000	-0.359427	-82.537487
194	0.581420	75000	-0.358657	-82.896144
195	0.579616	75000	-0.358054	-83.254198
196	0.577815	75000	-0.357455	-83.611653
197	0.576018	75000	-0.356742	-83.968395
198	0.574224	75000	-0.356108	-84.324503
199	0.572433	75000	-0.355451	-84.679954
200	0.570646	75000	-0.354813	-85.034767
201	0.568862	75000	-0.354095	-85.388862
202	0.567082	75000	-0.353418	-85.742280
203	0.565305	75000	-0.352821	-86.095101
