Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.050000	7.599228	528	0.022727	2.872671	472	0.080508	0.050000	0.063468	
1000	0.062000	7.192662	493	0.034483	2.803095	507	0.088757	0.062000	0.062979	
1000	0.064000	7.005676	478	0.027197	2.257989	522	0.097701	0.064000	0.063234	
1000	0.133000	6.830324	501	0.035928	1.331397	499	0.230461	0.133000	0.077185	
1000	0.124000	5.284417	522	0.053640	1.331397	478	0.200837	0.124000	0.084986	
1000	0.146000	4.798720	493	0.046653	1.331397	507	0.242604	0.146000	0.093701	
1000	0.137000	4.534042	522	0.065134	1.331397	478	0.215481	0.137000	0.099113	
1000	0.148000	3.063298	520	0.084615	1.331397	480	0.216667	0.148000	0.104544	
1000	0.189000	2.377063	498	0.144578	1.331397	502	0.233068	0.189000	0.112989	
1000	0.158000	1.948393	511	0.119374	1.331397	489	0.198364	0.158000	0.117080	
1000	0.277000	1.047278	517	0.307544	1.252067	483	0.244306	0.277000	0.130406	
1000	0.257000	1.047278	534	0.307116	1.252067	466	0.199571	0.257000	0.140143	
1000	0.278000	1.047278	471	0.252654	1.047504	529	0.300567	0.278000	0.149989	
1000	0.281000	1.047278	498	0.287149	1.047504	502	0.274900	0.281000	0.158723	
1000	0.276000	1.047278	489	0.271984	1.047504	511	0.279843	0.276000	0.166052	
1000	0.288000	1.047278	469	0.300640	1.047504	531	0.276836	0.288000	0.173225	
1000	0.272000	1.047278	517	0.270793	1.047504	483	0.273292	0.272000	0.178712	
1000	0.256000	1.047278	470	0.278723	1.047504	530	0.235849	0.256000	0.182780	
1000	0.274000	1.047278	530	0.303774	1.047504	470	0.240426	0.274000	0.187341	
1000	0.245000	1.047278	516	0.275194	1.047504	484	0.212810	0.245000	0.190086	
1000	0.272000	1.047278	477	0.255765	1.047504	523	0.286807	0.272000	0.193809	
1000	0.273000	1.047278	461	0.290672	1.047504	539	0.257885	0.273000	0.197252	
1000	0.272000	1.047278	478	0.257322	1.047504	522	0.285441	0.272000	0.200367	
1000	0.260000	1.047278	478	0.267782	1.047504	522	0.252874	0.260000	0.202752	
1000	0.290000	1.047278	495	0.292929	1.047504	505	0.287129	0.290000	0.206107	
1000	0.280000	1.047278	515	0.304854	1.047504	485	0.253608	0.280000	0.208844	
1000	0.247000	1.047278	512	0.261719	1.047504	488	0.231557	0.247000	0.210207	
1000	0.259000	1.047278	495	0.242424	1.047504	505	0.275248	0.259000	0.211889	
1000	0.280000	1.047278	479	0.288100	1.047504	521	0.272553	0.280000	0.214160	
1000	0.272000	1.047278	513	0.307992	1.047504	487	0.234086	0.272000	0.216025	
1000	0.293000	1.047278	485	0.305155	1.047504	515	0.281553	0.293000	0.218431	
1000	0.256000	1.047278	492	0.296748	1.047504	508	0.216535	0.256000	0.219569	
1000	0.231000	1.047278	526	0.243346	1.047504	474	0.217300	0.231000	0.219905	
1000	0.274000	1.047278	487	0.320329	1.047504	513	0.230019	0.274000	0.221451	
1000	0.286000	1.047278	484	0.293388	1.047504	516	0.279070	0.286000	0.223244	
1000	0.218000	1.047278	500	0.242000	1.047504	500	0.194000	0.218000	0.223102	
1000	0.328000	1.047278	482	0.302905	0.726458	518	0.351351	0.328000	0.225862	
1000	0.339000	1.047278	508	0.289370	0.726458	492	0.390244	0.339000	0.228763	
1000	0.296000	1.047278	490	0.255102	0.726458	510	0.335294	0.296000	0.230444	
1000	0.318000	1.047278	495	0.276768	0.726458	505	0.358416	0.318000	0.232580	
1000	0.315000	1.047278	486	0.257202	0.726458	514	0.369650	0.315000	0.234542	
1000	0.327000	1.047278	484	0.318182	0.726458	516	0.335271	0.327000	0.236692	
1000	0.310000	1.047278	493	0.294118	0.726458	507	0.325444	0.310000	0.238358	
1000	0.330000	1.047278	495	0.282828	0.726458	505	0.376238	0.330000	0.240395	
1000	0.315000	1.047278	505	0.267327	0.726458	495	0.363636	0.315000	0.242016	
1000	0.292000	1.047278	508	0.257874	0.726458	492	0.327236	0.292000	0.243080	
1000	0.318000	1.047278	502	0.292829	0.726458	498	0.343373	0.318000	0.244641	
1000	0.320000	1.047278	505	0.259406	0.726458	495	0.381818	0.320000	0.246179	
1000	0.333000	1.047278	499	0.292585	0.726458	501	0.373253	0.333000	0.247915	
1000	0.338000	1.047278	521	0.293666	0.726458	479	0.386221	0.338000	0.249681	
1000	0.286000	1.047278	501	0.251497	0.726458	499	0.320641	0.286000	0.250380	
1000	0.335000	1.047278	511	0.289628	0.726458	489	0.382413	0.335000	0.251976	
1000	0.305000	1.047278	515	0.281553	0.726458	485	0.329897	0.305000	0.252958	
1000	0.317000	1.047278	516	0.263566	0.726458	484	0.373967	0.317000	0.254123	
1000	0.287000	1.047278	496	0.243952	0.726458	504	0.329365	0.287000	0.254710	
1000	0.332000	1.047278	485	0.282474	0.726458	515	0.378641	0.332000	0.256066	
1000	0.318000	1.047278	514	0.264591	0.726458	486	0.374486	0.318000	0.257133	
1000	0.306000	1.047278	493	0.290061	0.726458	507	0.321499	0.306000	0.257962	
1000	0.338000	1.047278	532	0.272556	0.726458	468	0.412393	0.338000	0.259296	
1000	0.245000	1.047278	502	0.272908	1.227768	498	0.216867	0.245000	0.259061	
1000	0.269000	1.047278	508	0.295276	1.227768	492	0.241870	0.269000	0.259222	
1000	0.260000	1.047278	487	0.336756	1.227768	513	0.187135	0.260000	0.259234	
1000	0.271000	1.047278	537	0.286778	1.029547	463	0.252700	0.271000	0.259418	
1000	0.258000	1.047278	538	0.265799	1.029547	462	0.248918	0.258000	0.259396	
1000	0.258000	1.047278	500	0.246000	1.029547	500	0.270000	0.258000	0.259375	
1000	0.245000	1.047278	477	0.255765	1.029547	523	0.235182	0.245000	0.259160	
1000	0.277000	1.047278	480	0.300000	1.029547	520	0.255769	0.277000	0.259423	
1000	0.284000	1.047278	516	0.275194	1.029547	484	0.293388	0.284000	0.259779	
1000	0.277000	1.047278	502	0.308765	1.029547	498	0.244980	0.277000	0.260025	
1000	0.267000	1.047278	509	0.286837	1.029547	491	0.246436	0.267000	0.260123	
1000	0.259000	1.047278	469	0.264392	1.029547	531	0.254237	0.259000	0.260107	
1000	0.273000	1.047278	523	0.273423	1.029547	477	0.272537	0.273000	0.260284	
1000	0.289000	1.047278	504	0.301587	1.029547	496	0.276210	0.289000	0.260672	
1000	0.298000	1.047278	507	0.331361	1.029547	493	0.263692	0.298000	0.261170	
1000	0.285000	1.047278	489	0.300613	1.029547	511	0.270059	0.285000	0.261483	
1000	0.271000	1.047278	510	0.278431	1.029547	490	0.263265	0.271000	0.261607	
1000	0.248000	1.047278	493	0.257606	1.029547	507	0.238659	0.248000	0.261433	
1000	0.260000	1.047278	502	0.264940	1.029547	498	0.255020	0.260000	0.261414	
1000	0.259000	1.047278	523	0.273423	1.029547	477	0.243187	0.259000	0.261384	
1000	0.314000	1.047278	489	0.308793	1.029547	511	0.318982	0.314000	0.262034	
1000	0.263000	1.047278	502	0.268924	1.029547	498	0.257028	0.263000	0.262046	
1000	0.266000	1.047278	503	0.262425	1.029547	497	0.269618	0.266000	0.262093	
1000	0.270000	1.047278	501	0.275449	1.029547	499	0.264529	0.270000	0.262187	
1000	0.256000	1.047278	513	0.282651	1.029547	487	0.227926	0.256000	0.262115	
1000	0.317000	1.047278	495	0.327273	1.029547	505	0.306931	0.317000	0.262753	
1000	0.306000	1.047278	493	0.336714	1.029547	507	0.276134	0.306000	0.263250	
1000	0.226000	1.047278	476	0.254202	1.029547	524	0.200382	0.226000	0.262827	
1000	0.297000	1.047278	500	0.306000	1.029547	500	0.288000	0.297000	0.263211	
1000	0.273000	1.047278	513	0.272904	1.029547	487	0.273101	0.273000	0.263319	
1000	0.264000	1.047278	499	0.262525	1.029547	501	0.265469	0.264000	0.263327	
1000	0.297000	1.047278	520	0.336538	1.029547	480	0.254167	0.297000	0.263693	
1000	0.262000	1.047278	520	0.278846	1.029547	480	0.243750	0.262000	0.263675	
1000	0.253000	1.047278	513	0.272904	1.029547	487	0.232033	0.253000	0.263561	
1000	0.267000	1.047278	517	0.270793	1.029547	483	0.262940	0.267000	0.263597	
1000	0.252000	1.047278	502	0.237052	1.029547	498	0.267068	0.252000	0.263476	
1000	0.244000	1.047278	506	0.270751	1.029547	494	0.216599	0.244000	0.263276	
1000	0.278000	1.047278	501	0.297405	1.029547	499	0.258517	0.278000	0.263426	
1000	0.281000	1.047278	526	0.302281	1.029547	474	0.257384	0.281000	0.263603	
1000	0.262000	1.047278	489	0.249489	1.029547	511	0.273973	0.262000	0.263587	
1000	0.251000	1.047278	514	0.258755	1.029547	486	0.242798	0.251000	0.263463	
1000	0.290000	1.047278	512	0.279297	1.029547	488	0.301230	0.290000	0.263723	
1000	0.263000	1.047278	521	0.270633	1.029547	479	0.254697	0.263000	0.263716	
1000	0.284000	1.047278	479	0.300626	1.029547	521	0.268714	0.284000	0.263911	
1000	0.257000	1.047278	488	0.272541	1.029547	512	0.242188	0.257000	0.263845	
1000	0.267000	1.047278	499	0.300601	1.029547	501	0.233533	0.267000	0.263875	
1000	0.291000	1.047278	482	0.290456	1.029547	518	0.291506	0.291000	0.264128	
1000	0.257000	1.047278	490	0.246939	1.029547	510	0.266667	0.257000	0.264062	
1000	0.288000	1.047278	507	0.317554	1.029547	493	0.257606	0.288000	0.264282	
