Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.494288	-0.494288
1	0.995007	75000	-0.493565	-0.987852
2	0.992517	75000	-0.492832	-1.480685
3	0.990030	75000	-0.492136	-1.972820
4	0.987547	75000	-0.491350	-2.464170
5	0.985067	75000	-0.490637	-2.954807
6	0.982592	75000	-0.489940	-3.444748
7	0.980120	75000	-0.489180	-3.933928
8	0.977652	75000	-0.488465	-4.422393
9	0.975187	75000	-0.487660	-4.910053
10	0.972726	75000	-0.486995	-5.397048
11	0.970269	75000	-0.486231	-5.883279
12	0.967816	75000	-0.485527	-6.368806
13	0.965367	75000	-0.484755	-6.853560
14	0.962921	75000	-0.484053	-7.337614
15	0.960479	75000	-0.483327	-7.820940
16	0.958040	75000	-0.482583	-8.303524
17	0.955606	75000	-0.481895	-8.785418
18	0.953175	75000	-0.481119	-9.266538
19	0.950747	75000	-0.480404	-9.746942
20	0.948324	75000	-0.479653	-10.226595
21	0.945904	75000	-0.478912	-10.705507
22	0.943488	75000	-0.478259	-11.183766
23	0.941076	75000	-0.477440	-11.661207
24	0.938667	75000	-0.476767	-12.137973
25	0.936262	75000	-0.476009	-12.613982
26	0.933861	75000	-0.475414	-13.089396
27	0.931463	75000	-0.474537	-13.563933
28	0.929069	75000	-0.473811	-14.037744
29	0.926679	75000	-0.473126	-14.510870
30	0.924293	75000	-0.472475	-14.983345
31	0.921910	75000	-0.471678	-15.455023
32	0.919531	75000	-0.470930	-15.925954
33	0.917155	75000	-0.470246	-16.396200
34	0.914783	75000	-0.469516	-16.865716
35	0.912415	75000	-0.468880	-17.334596
36	0.910051	75000	-0.468052	-17.802648
37	0.907690	75000	-0.467374	-18.270023
38	0.905333	75000	-0.466598	-18.736620
39	0.902980	75000	-0.465879	-19.202499
40	0.900630	75000	-0.465174	-19.667673
41	0.898284	75000	-0.464524	-20.132197
42	0.895942	75000	-0.463704	-20.595902
43	0.893603	75000	-0.462967	-21.058869
44	0.891268	75000	-0.462310	-21.521178
45	0.888937	75000	-0.461575	-21.982754
46	0.886609	75000	-0.460891	-22.443644
47	0.884285	75000	-0.460135	-22.903779
48	0.881965	75000	-0.459473	-23.363252
49	0.879648	75000	-0.458620	-23.821872
50	0.877335	75000	-0.457974	-24.279846
51	0.875026	75000	-0.457348	-24.737194
52	0.872720	75000	-0.456586	-25.193780
53	0.870418	75000	-0.455849	-25.649629
54	0.868120	75000	-0.455147	-26.104775
55	0.865825	75000	-0.454448	-26.559223
56	0.863534	75000	-0.453677	-27.012901
57	0.861246	75000	-0.452988	-27.465888
58	0.858962	75000	-0.452325	-27.918213
59	0.856682	75000	-0.451558	-28.369771
60	0.854405	75000	-0.450848	-28.820619
61	0.852132	75000	-0.450155	-29.270774
62	0.849863	75000	-0.449433	-29.720207
63	0.847597	75000	-0.448695	-30.168902
64	0.845335	75000	-0.447985	-30.616888
65	0.843077	75000	-0.447290	-31.064177
66	0.840822	75000	-0.446594	-31.510771
67	0.838571	75000	-0.445872	-31.956642
68	0.836323	75000	-0.445132	-32.401774
69	0.834079	75000	-0.444467	-32.846241
70	0.831839	75000	-0.443748	-33.289989
71	0.829602	75000	-0.443039	-33.733028
72	0.827369	75000	-0.442335	-34.175363
73	0.825140	75000	-0.441627	-34.616990
74	0.822914	75000	-0.440927	-35.057917
75	0.820691	75000	-0.440251	-35.498168
76	0.818473	75000	-0.439469	-35.937637
77	0.816258	75000	-0.438784	-36.376421
78	0.814046	75000	-0.438073	-36.814494
79	0.811838	75000	-0.437381	-37.251875
80	0.809634	75000	-0.436702	-37.688577
81	0.807433	75000	-0.435957	-38.124534
82	0.805236	75000	-0.435332	-38.559866
83	0.803043	75000	-0.434593	-38.994460
84	0.800853	75000	-0.433860	-39.428319
85	0.798667	75000	-0.433147	-39.861466
86	0.796484	75000	-0.432459	-40.293926
87	0.794305	75000	-0.431830	-40.725755
88	0.792129	75000	-0.431083	-41.156838
89	0.789957	75000	-0.430344	-41.587182
90	0.787789	75000	-0.429694	-42.016877
91	0.785624	75000	-0.428977	-42.445853
92	0.783463	75000	-0.428307	-42.874161
93	0.781305	75000	-0.427506	-43.301667
94	0.779151	75000	-0.426835	-43.728502
95	0.777000	75000	-0.426040	-44.154541
96	0.774853	75000	-0.425440	-44.579982
97	0.772710	75000	-0.424789	-45.004770
98	0.770570	75000	-0.424061	-45.428831
99	0.768433	75000	-0.423418	-45.852250
100	0.766301	75000	-0.422683	-46.274933
101	0.764172	75000	-0.421953	-46.696886
102	0.762046	75000	-0.421251	-47.118137
103	0.759924	75000	-0.420520	-47.538657
104	0.757805	75000	-0.419873	-47.958530
105	0.755690	75000	-0.419241	-48.377771
106	0.753579	75000	-0.418439	-48.796210
107	0.751471	75000	-0.417822	-49.214033
108	0.749366	75000	-0.417101	-49.631134
109	0.747266	75000	-0.416473	-50.047607
110	0.745168	75000	-0.415670	-50.463277
111	0.743075	75000	-0.415050	-50.878326
112	0.740984	75000	-0.414331	-51.292657
113	0.738898	75000	-0.413653	-51.706311
114	0.736815	75000	-0.412936	-52.119247
115	0.734735	75000	-0.412262	-52.531509
116	0.732659	75000	-0.411610	-52.943119
117	0.730586	75000	-0.410937	-53.354056
118	0.728517	75000	-0.410186	-53.764242
119	0.726452	75000	-0.409465	-54.173707
120	0.724390	75000	-0.408776	-54.582483
121	0.722331	75000	-0.408097	-54.990580
122	0.720276	75000	-0.407480	-55.398060
123	0.718225	75000	-0.406783	-55.804843
124	0.716177	75000	-0.406051	-56.210894
125	0.714132	75000	-0.405396	-56.616291
126	0.712091	75000	-0.404693	-57.020983
127	0.710054	75000	-0.403948	-57.424931
128	0.708020	75000	-0.403306	-57.828237
129	0.705989	75000	-0.402629	-58.230866
130	0.703962	75000	-0.402014	-58.632880
131	0.701939	75000	-0.401285	-59.034165
132	0.699919	75000	-0.400572	-59.434737
133	0.697902	75000	-0.399852	-59.834589
134	0.695889	75000	-0.399202	-60.233791
135	0.693880	75000	-0.398565	-60.632356
136	0.691874	75000	-0.397880	-61.030235
137	0.689871	75000	-0.397140	-61.427375
138	0.687872	75000	-0.396520	-61.823895
139	0.685877	75000	-0.395833	-62.219728
140	0.683885	75000	-0.395139	-62.614868
141	0.681896	75000	-0.394442	-63.009310
142	0.679911	75000	-0.393767	-63.403076
143	0.677929	75000	-0.393104	-63.796180
144	0.675951	75000	-0.392377	-64.188557
145	0.673976	75000	-0.391701	-64.580259
146	0.672005	75000	-0.391042	-64.971301
147	0.670037	75000	-0.390393	-65.361693
148	0.668073	75000	-0.389627	-65.751321
149	0.666112	75000	-0.388969	-66.140290
150	0.664155	75000	-0.388348	-66.528638
151	0.662201	75000	-0.387656	-66.916294
152	0.660250	75000	-0.386974	-67.303268
153	0.658303	75000	-0.386282	-67.689550
154	0.656359	75000	-0.385627	-68.075177
155	0.654419	75000	-0.384952	-68.460130
156	0.652483	75000	-0.384287	-68.844417
157	0.650549	75000	-0.383610	-69.228027
158	0.648619	75000	-0.382980	-69.611007
159	0.646693	75000	-0.382302	-69.993310
160	0.644770	75000	-0.381661	-70.374970
161	0.642851	75000	-0.380850	-70.755821
162	0.640934	75000	-0.380177	-71.135998
163	0.639022	75000	-0.379543	-71.515541
164	0.637113	75000	-0.378908	-71.894449
165	0.635207	75000	-0.378213	-72.272662
166	0.633304	75000	-0.377542	-72.650203
167	0.631405	75000	-0.376899	-73.027102
168	0.629510	75000	-0.376252	-73.403354
169	0.627618	75000	-0.375460	-73.778815
170	0.625729	75000	-0.374877	-74.153692
171	0.623844	75000	-0.374170	-74.527862
172	0.621962	75000	-0.373499	-74.901361
173	0.620083	75000	-0.372840	-75.274201
174	0.618208	75000	-0.372169	-75.646370
175	0.616337	75000	-0.371500	-76.017870
176	0.614468	75000	-0.370827	-76.388697
177	0.612604	75000	-0.370167	-76.758864
178	0.610742	75000	-0.369594	-77.128457
179	0.608884	75000	-0.368878	-77.497335
180	0.607029	75000	-0.368178	-77.865513
181	0.605178	75000	-0.367552	-78.233065
182	0.603330	75000	-0.366828	-78.599893
183	0.601486	75000	-0.366234	-78.966127
184	0.599645	75000	-0.365526	-79.331653
185	0.597807	75000	-0.364899	-79.696552
186	0.595973	75000	-0.364276	-80.060828
187	0.594142	75000	-0.363587	-80.424415
188	0.592314	75000	-0.362900	-80.787315
189	0.590490	75000	-0.362216	-81.149531
190	0.588669	75000	-0.361609	-81.511140
191	0.586852	75000	-0.360962	-81.872102
192	0.585038	75000	-0.360298	-82.232400
193	0.583227	75000	-0.359546	-82.591945
194	0.581420	75000	-0.358889	-82.950835
195	0.579616	75000	-0.358285	-83.309120
196	0.577815	75000	-0.357656	-83.666776
197	0.576018	75000	-0.356963	-84.023739
198	0.574224	75000	-0.356281	-84.380020
199	0.572433	75000	-0.355669	-84.735689
200	0.570646	75000	-0.354996	-85.090685
201	0.568862	75000	-0.354336	-85.445020
202	0.567082	75000	-0.353740	-85.798760
203	0.565305	75000	-0.352981	-86.151741
204	0.563531	75000	-0.352320	-86.504061
