Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_articles_arguments_non_core.txt
Log File Name:                   features_articles_arguments_non_core.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2313634563
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_articles_arguments_non_core.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-92.429006	1	0.364723746374	0.492262429236	0.663391030043	0.235684135010	0.046438024176	
3000	-93.471818	1	0.433116897826	0.544791109355	0.665766104975	0.236955470395	0.050610721410	
4000	-94.494240	1	0.416722184385	0.587158800162	0.664919572738	0.239288190258	0.052006171510	
5000	-92.508932	1	0.328426350769	0.505533719090	0.663366133497	0.235835930237	0.045910637009	
6000	-93.495215	1	0.282717851748	0.551625578413	0.664553590323	0.237252804304	0.042455319409	
7000	-92.834674	1	0.431779577740	0.486997363089	0.665690505623	0.235655647659	0.046590642427	
8000	-93.349779	1	0.355958377887	0.556971000761	0.663306548171	0.237506527067	0.046737144214	
9000	-93.215523	1	0.307712783064	0.546684998586	0.663735904309	0.237034821670	0.044094884518	
10000	-94.038953	1	0.337267634822	0.580201728277	0.663293266735	0.238825037440	0.045296480128	
11000	-92.735641	1	0.348415240362	0.526742556498	0.663273846304	0.236316296168	0.046315246351	
12000	-93.778292	1	0.235572778394	0.415041260648	0.667201772406	0.237073066870	0.051954275323	
13000	-92.449777	1	0.331422081624	0.463830734977	0.663335749676	0.235744471675	0.046463697797	
14000	-94.585101	1	0.504854586645	0.550026454227	0.671526021088	0.237180512123	0.054759278848	
15000	-95.635572	1	0.333706119998	0.341501791274	0.663316505242	0.242000750188	0.047000325807	
16000	-96.853523	1	0.437052558635	0.638708199101	0.665995337667	0.243700651573	0.057036681560	
