Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_articles_arguments_non_core.txt
Log File Name:                   features_articles_arguments_non_core.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4075242233
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_articles_arguments_non_core.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-92.791994	1	0.328668459450	0.508552653708	0.663363461166	0.235886451354	0.000000000000	
3000	-95.269736	1	0.330022967917	0.356241112425	0.663349213658	0.240731302246	0.000000000000	
4000	-93.705475	1	0.339172725628	0.402052445503	0.663284222531	0.237687682581	0.000000000000	
5000	-92.712701	1	0.361434258944	0.464524764246	0.663353468488	0.235736739311	0.000000000000	
6000	-92.663237	1	0.330820904475	0.480279386121	0.663341378959	0.235645474885	0.000000000000	
7000	-93.595255	1	0.261109008134	0.536931799818	0.665587954422	0.236651100870	0.000000000000	
8000	-93.038847	1	0.341044363873	0.529326376247	0.663277635568	0.236394807298	0.000000000000	
9000	-94.151619	1	0.189251299239	0.498482574960	0.671211463670	0.235741019081	0.000000000000	
10000	-94.318373	1	0.250076639627	0.399386408974	0.666233140077	0.237827407241	0.000000000000	
11000	-94.650610	1	0.526876831163	0.498382018058	0.673965602947	0.235739899384	0.000000000000	
12000	-93.481828	1	0.430930671975	0.529860801189	0.665643120028	0.236411588029	0.000000000000	
13000	-92.930462	1	0.382973106040	0.515485419538	0.663727222984	0.236024902968	0.000000000000	
14000	-96.644321	1	0.423004489224	0.333250363730	0.665223299189	0.242773102212	0.000000000000	
15000	-93.472336	1	0.269714303907	0.534703908363	0.665139654428	0.236572128058	0.000000000000	
16000	-92.831178	1	0.297954561684	0.464813893941	0.664006790061	0.235733610470	0.000000000000	
17000	-92.765547	1	0.389394834705	0.479898325782	0.663897040208	0.235645777462	0.000000000000	
18000	-93.314902	1	0.278570376419	0.432709365736	0.664728572050	0.236413153892	0.000000000000	
19000	-97.177178	1	0.623163929767	0.478195674607	0.688336184321	0.235648283043	0.000000000000	
20000	-92.660480	1	0.334002201593	0.477526128379	0.663314258967	0.235649784776	0.000000000000	
21000	-93.104250	1	0.344479927138	0.533292478402	0.663271473261	0.236523766848	0.000000000000	
22000	-93.809985	1	0.206467663941	0.488565534088	0.669558245296	0.235662247405	0.000000000000	
23000	-93.223754	1	0.353048861511	0.423041279224	0.663289550866	0.236749112741	0.000000000000	
24000	-92.905714	1	0.297632958398	0.507848095213	0.664016771751	0.235874130537	0.000000000000	
25000	-94.157164	1	0.207755110848	0.528679484967	0.669442363055	0.236374743648	0.000000000000	
26000	-93.399972	1	0.327343617412	0.547263257561	0.663378550841	0.237059514728	0.000000000000	
27000	-93.224940	1	0.301336439385	0.429095370500	0.663905898298	0.236531623287	0.000000000000	
28000	-92.684944	1	0.366829423525	0.474566952845	0.663418768006	0.235659913496	0.000000000000	
29000	-92.664704	1	0.357489712111	0.487279910973	0.663317705387	0.235656718666	0.000000000000	
30000	-93.444556	1	0.460859418088	0.478461364178	0.667596723063	0.235647767920	0.000000000000	
31000	-94.588606	1	0.208818401287	0.411148142469	0.669347469724	0.237245770699	0.000000000000	
32000	-94.876303	1	0.304144417074	0.594121599233	0.663827779278	0.239783239004	0.000000000000	
33000	-93.233022	1	0.271198632906	0.442525164148	0.665067196742	0.236134248452	0.000000000000	
34000	-93.368687	1	0.408784633414	0.534727296136	0.664572521962	0.236572940328	0.000000000000	
35000	-94.108351	1	0.448438552690	0.411128573371	0.666715239679	0.237246663706	0.000000000000	
36000	-95.155912	1	0.546364557737	0.507650532488	0.676387446855	0.235870733653	0.000000000000	
37000	-94.485223	1	0.488012701374	0.542404493159	0.669873139576	0.236858796338	0.000000000000	
38000	-92.924409	1	0.328635318758	0.442200004099	0.663363824712	0.236142484100	0.000000000000	
39000	-92.679271	1	0.352775072319	0.493735112341	0.663288234790	0.235695329556	0.000000000000	
40000	-92.771330	1	0.302335585070	0.473716008535	0.663877514028	0.235663880348	0.000000000000	
41000	-94.579174	1	0.484724426792	0.413327058466	0.669571947914	0.237147896631	0.000000000000	
42000	-94.778605	1	0.156726713178	0.471830278532	0.674860709718	0.235674349084	0.000000000000	
43000	-93.630162	1	0.369941698699	0.556353295059	0.663465046284	0.237476257832	0.000000000000	
44000	-93.272071	1	0.243827505187	0.486756379450	0.666633711852	0.235654775225	0.000000000000	
45000	-92.706779	1	0.314834879583	0.479886960046	0.663577288176	0.235645787938	0.000000000000	
46000	-93.432217	1	0.431417661064	0.526387302585	0.665670246264	0.236305841038	0.000000000000	
47000	-93.306396	1	0.275126604562	0.435015660748	0.664882365003	0.236341991539	0.000000000000	
48000	-93.143677	1	0.434928101905	0.491174936241	0.665870347467	0.235676773766	0.000000000000	
49000	-95.358973	1	0.544953754486	0.435489211412	0.676203826317	0.236327807837	0.000000000000	
50000	-93.145927	1	0.427988270945	0.504399066305	0.665482503636	0.235818474534	0.000000000000	
51000	-94.304178	1	0.481836981355	0.538413217923	0.669313268682	0.236705399943	0.000000000000	
52000	-92.810719	1	0.378262833840	0.505254501170	0.663619713330	0.235831557034	0.000000000000	
53000	-94.333286	1	0.295777606451	0.577108740208	0.664075670135	0.238629235512	0.000000000000	
54000	-95.064362	1	0.241612794410	0.378392198436	0.666781770675	0.239089210370	0.000000000000	
55000	-92.792541	1	0.338389180027	0.510090612774	0.663287656583	0.235914467519	0.000000000000	
56000	-92.980698	1	0.295579348798	0.448463696595	0.664082096235	0.235995932321	0.000000000000	
57000	-93.053905	1	0.406136266826	0.448217568077	0.664465844263	0.236001209408	0.000000000000	
58000	-93.595420	1	0.452720742013	0.520622858722	0.667007805717	0.236147663784	0.000000000000	
59000	-93.061027	1	0.263984138302	0.490404211855	0.665432815183	0.235672022412	0.000000000000	
60000	-93.259523	1	0.267320894797	0.443204164764	0.665259506750	0.236117272436	0.000000000000	
61000	-93.359881	1	0.250333755316	0.513010201554	0.666217202811	0.235971883746	0.000000000000	
62000	-93.662177	1	0.291278091719	0.410710334270	0.664227805290	0.237265808980	0.000000000000	
63000	-92.653158	1	0.347461189340	0.485385828804	0.663272346162	0.235650531588	0.000000000000	
64000	-95.093062	1	0.491235262055	0.397398990064	0.670175134437	0.237934573314	0.000000000000	
65000	-92.727097	1	0.375319092112	0.493216913817	0.663559850129	0.235691229662	0.000000000000	
66000	-93.223193	1	0.336092134893	0.423168787525	0.663300024759	0.236744286367	0.000000000000	
67000	-94.495459	1	0.317660428915	0.585065163229	0.663523499777	0.239145499828	0.000000000000	
68000	-93.038671	1	0.397643734939	0.444640417939	0.664154524860	0.236082351832	0.000000000000	
69000	-94.124646	1	0.482173535261	0.434856913901	0.669343140579	0.236346778933	0.000000000000	
70000	-95.412864	1	0.405312619636	0.357610368772	0.664433597147	0.240620544741	0.000000000000	
71000	-94.744202	1	0.203452607137	0.554271126208	0.669833846593	0.237376053881	0.000000000000	
72000	-98.033062	1	0.047655358902	0.447818998140	0.692120222096	0.236009838447	0.000000000000	
73000	-92.706541	1	0.375621342909	0.484946941193	0.663565737023	0.235649430880	0.000000000000	
74000	-93.813071	1	0.473159455461	0.447487701196	0.668568501454	0.236017089650	0.000000000000	
75000	-94.103711	1	0.311544069670	0.390362397306	0.663646478173	0.238334649066	0.000000000000	
76000	-93.541235	1	0.263112298997	0.535072257391	0.665479290885	0.236584962329	0.000000000000	
77000	-95.235870	1	0.271172843350	0.597600001150	0.665068443431	0.240042359535	0.000000000000	
78000	-93.905891	1	0.488732152679	0.466842016679	0.669939975736	0.235713191102	0.000000000000	
79000	-93.397642	1	0.454946707725	0.495406214259	0.667164597793	0.235709740616	0.000000000000	
80000	-94.659111	1	0.162925615168	0.467731355448	0.674112132778	0.235705080796	0.000000000000	
81000	-92.784410	1	0.329673593990	0.507932406480	0.663352774391	0.235875587909	0.000000000000	
82000	-96.762004	1	0.171898689534	0.599319986690	0.673072814556	0.240173395645	0.000000000000	
83000	-93.617930	1	0.472684910874	0.486454797797	0.668529184828	0.235653736613	0.000000000000	
84000	-93.005357	1	0.335264079407	0.435750025218	0.663305324757	0.236320058268	0.000000000000	
85000	-93.602507	1	0.420663825035	0.541834542822	0.665107136721	0.236836257426	0.000000000000	
86000	-93.795967	1	0.258585906024	0.545638871837	0.665728527304	0.236990702070	0.000000000000	
87000	-92.961211	1	0.301222171123	0.515250222424	0.663909185861	0.236019693733	0.000000000000	
88000	-93.017306	1	0.339588451268	0.527912763076	0.663282562639	0.236351315814	0.000000000000	
89000	-92.659383	1	0.342463525235	0.474125802696	0.663274159575	0.235661911226	0.000000000000	
90000	-93.094298	1	0.379138947840	0.528643426473	0.663638617947	0.236373633283	0.000000000000	
91000	-95.588836	1	0.567179754305	0.495724117121	0.679247041282	0.235712687712	0.000000000000	
92000	-92.689238	1	0.359984475424	0.493878472182	0.663339148024	0.235696494631	0.000000000000	
93000	-94.935496	1	0.296883840339	0.367959669645	0.664040283141	0.239822836904	0.000000000000	
94000	-93.155669	1	0.281014243044	0.442222912251	0.664624111712	0.236141901632	0.000000000000	
95000	-93.817687	1	0.228509178844	0.435587933675	0.667723046711	0.236324869296	0.000000000000	
96000	-93.396879	1	0.293010133673	0.422444308298	0.664167683824	0.236771849583	0.000000000000	
97000	-94.775296	1	0.289236774907	0.373647779126	0.664301166658	0.239414068042	0.000000000000	
98000	-94.827180	1	0.532226951760	0.506851781900	0.674605896810	0.235857258733	0.000000000000	
99000	-93.208937	1	0.296118449073	0.530878258695	0.664064682193	0.236444049207	0.000000000000	
100000	-94.322480	1	0.454185211574	0.557296661834	0.667110597086	0.237522585227	0.000000000000	
101000	-92.668118	1	0.337112123923	0.472270705759	0.663294109201	0.235671697048	0.000000000000	
102000	-93.511060	1	0.456633269537	0.508538947211	0.667285541079	0.235886208585	0.000000000000	
103000	-93.028898	1	0.285994282922	0.449800421960	0.664423266993	0.235967960413	0.000000000000	
104000	-93.716870	1	0.296391142179	0.407145005870	0.664055945628	0.237433633240	0.000000000000	
105000	-92.673409	1	0.352070769895	0.492401135788	0.663285073275	0.235685129218	0.000000000000	
106000	-93.065275	1	0.263508152134	0.472344763193	0.665458127619	0.235671263500	0.000000000000	
107000	-93.332726	1	0.302444582073	0.422967758921	0.663874456856	0.236751900396	0.000000000000	
108000	-93.300626	1	0.242472822558	0.471247304408	0.666723896864	0.235678053460	0.000000000000	
