Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.058000	8.599957	511	0.031311	2.095370	489	0.085890	0.058000	0.068466	
1000	0.046000	6.416923	506	0.027668	1.892181	494	0.064777	0.046000	0.060980	
1000	0.079000	3.561615	507	0.059172	1.757489	493	0.099391	0.079000	0.065484	
1000	0.105000	3.205831	509	0.102161	1.326233	491	0.107943	0.105000	0.073385	
1000	0.141000	1.908431	477	0.148847	1.212291	523	0.133843	0.141000	0.084653	
1000	0.166000	1.657354	488	0.168033	0.770345	512	0.164062	0.166000	0.096272	
1000	0.270000	1.600409	505	0.188119	0.473166	495	0.353535	0.270000	0.117985	
1000	0.307000	1.395577	499	0.222445	0.473166	501	0.391218	0.307000	0.138985	
1000	0.295000	1.395577	516	0.218992	0.473166	484	0.376033	0.295000	0.154585	
1000	0.264000	1.395577	489	0.188139	0.473166	511	0.336595	0.264000	0.164530	
1000	0.358000	0.836470	496	0.332661	0.473166	504	0.382937	0.358000	0.180652	
1000	0.354000	0.836470	476	0.352941	0.473166	524	0.354962	0.354000	0.193985	
1000	0.336000	0.836470	499	0.330661	0.473166	501	0.341317	0.336000	0.204128	
1000	0.384000	0.836470	501	0.379242	0.473166	499	0.388778	0.384000	0.216119	
1000	0.356000	0.836470	481	0.345114	0.473166	519	0.366089	0.356000	0.224861	
1000	0.344000	0.836470	493	0.310345	0.473166	507	0.376726	0.344000	0.231869	
1000	0.366000	0.836470	491	0.366599	0.473166	509	0.365422	0.366000	0.239320	
1000	0.373000	0.836470	456	0.344298	0.473166	544	0.397059	0.373000	0.246355	
1000	0.370000	0.836470	499	0.350701	0.473166	501	0.389222	0.370000	0.252537	
1000	0.352000	0.836470	502	0.336653	0.473166	498	0.367470	0.352000	0.257273	
1000	0.360000	0.836470	515	0.357282	0.473166	485	0.362887	0.360000	0.261943	
1000	0.373000	0.836470	501	0.387226	0.473166	499	0.358717	0.373000	0.266771	
1000	0.335000	0.836470	478	0.313808	0.473166	522	0.354406	0.335000	0.269614	
1000	0.349000	0.836470	479	0.331942	0.473166	521	0.364683	0.349000	0.272789	
1000	0.368000	0.836470	495	0.343434	0.473166	505	0.392079	0.368000	0.276451	
1000	0.335000	0.836470	497	0.325956	0.473166	503	0.343936	0.335000	0.278619	
1000	0.352000	0.836470	502	0.340637	0.473166	498	0.363454	0.352000	0.281240	
1000	0.343000	0.836470	530	0.345283	0.473166	470	0.340426	0.343000	0.283370	
1000	0.373000	0.836470	522	0.340996	0.473166	478	0.407950	0.373000	0.286357	
1000	0.323000	0.836470	514	0.352140	0.538573	486	0.292181	0.323000	0.287539	
1000	0.327000	0.836470	485	0.364948	0.538573	515	0.291262	0.327000	0.288772	
1000	0.328000	0.836470	479	0.315240	0.538573	521	0.339731	0.328000	0.289961	
1000	0.311000	0.836470	503	0.330020	0.538573	497	0.291751	0.311000	0.290580	
1000	0.330000	0.836470	507	0.333333	0.538573	493	0.326572	0.330000	0.291706	
1000	0.339000	0.836470	504	0.347222	0.538573	496	0.330645	0.339000	0.293020	
1000	0.356000	0.836470	501	0.347305	0.538573	499	0.364729	0.356000	0.294722	
1000	0.324000	0.836470	501	0.341317	0.538573	499	0.306613	0.324000	0.295492	
1000	0.342000	0.836470	493	0.344828	0.538573	507	0.339250	0.342000	0.296685	
1000	0.309000	0.836470	500	0.322000	0.538573	500	0.296000	0.309000	0.296993	
1000	0.310000	0.836470	526	0.342205	0.538573	474	0.274262	0.310000	0.297310	
1000	0.311000	0.836470	552	0.315217	0.538573	448	0.305804	0.311000	0.297636	
1000	0.361000	0.836470	499	0.366733	0.538573	501	0.355289	0.361000	0.299109	
1000	0.348000	0.836470	516	0.356589	0.538573	484	0.338843	0.348000	0.300220	
1000	0.323000	0.836470	497	0.334004	0.538573	503	0.312127	0.323000	0.300727	
1000	0.331000	0.836470	491	0.338086	0.538573	509	0.324165	0.331000	0.301385	
1000	0.314000	0.836470	504	0.325397	0.538573	496	0.302419	0.314000	0.301653	
1000	0.329000	0.836470	511	0.320939	0.538573	489	0.337423	0.329000	0.302223	
1000	0.329000	0.836470	507	0.351085	0.538573	493	0.306288	0.329000	0.302769	
1000	0.327000	0.836470	503	0.361829	0.538573	497	0.291751	0.327000	0.303254	
1000	0.347000	0.836470	513	0.389864	0.538573	487	0.301848	0.347000	0.304112	
1000	0.312000	0.836470	522	0.333333	0.538573	478	0.288703	0.312000	0.304263	
1000	0.365000	0.836470	506	0.393281	0.538573	494	0.336032	0.365000	0.305409	
1000	0.309000	0.836470	504	0.307540	0.538573	496	0.310484	0.309000	0.305476	
1000	0.324000	0.836470	452	0.303097	0.538573	548	0.341241	0.324000	0.305813	
