Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.044000	8.183028	504	0.037698	4.714476	496	0.050403	0.044000	0.085957	
1000	0.057000	6.815331	506	0.047431	3.348151	494	0.066802	0.057000	0.076308	
1000	0.070000	3.606223	478	0.085774	3.203326	522	0.055556	0.070000	0.074731	
1000	0.093000	2.093131	527	0.125237	3.062842	473	0.057082	0.093000	0.078384	
1000	0.162000	1.392166	503	0.220676	1.684892	497	0.102616	0.162000	0.092318	
1000	0.144000	1.392166	490	0.153061	1.370557	510	0.135294	0.144000	0.099700	
1000	0.243000	1.134094	510	0.250980	0.891071	490	0.234694	0.243000	0.117610	
1000	0.262000	1.134094	497	0.285714	0.891071	503	0.238569	0.262000	0.133652	
1000	0.261000	1.134094	501	0.277445	0.891071	499	0.244489	0.261000	0.146385	
1000	0.229000	1.134094	538	0.237918	0.891071	462	0.218615	0.229000	0.153895	
1000	0.240000	1.134094	490	0.248980	0.891071	510	0.231373	0.240000	0.161070	
1000	0.234000	1.134094	487	0.291581	0.891071	513	0.179337	0.234000	0.166679	
1000	0.250000	1.134094	521	0.249520	0.750240	479	0.250522	0.250000	0.172631	
1000	0.227000	1.134094	506	0.225296	0.750240	494	0.228745	0.227000	0.176255	
1000	0.244000	1.134094	519	0.236994	0.750240	481	0.251559	0.244000	0.180489	
1000	0.276000	1.134094	517	0.280464	0.750240	483	0.271222	0.276000	0.186107	
1000	0.274000	1.134094	498	0.265060	0.750240	502	0.282869	0.274000	0.190989	
1000	0.238000	1.134094	463	0.252700	0.750240	537	0.225326	0.238000	0.193464	
1000	0.289000	1.134094	483	0.275362	0.750240	517	0.301741	0.289000	0.198240	
1000	0.268000	1.134094	508	0.265748	0.750240	492	0.270325	0.268000	0.201562	
