Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.073000	4.327111	528	0.075758	2.525745	472	0.069915	0.073000	0.074963	
1000	0.091000	3.240568	496	0.072581	2.104251	504	0.109127	0.091000	0.080307	
1000	0.085000	3.013584	529	0.079395	1.987997	471	0.091295	0.085000	0.081480	
1000	0.124000	2.541592	500	0.114000	1.291851	500	0.134000	0.124000	0.089982	
1000	0.164000	2.159774	528	0.145833	0.913875	472	0.184322	0.164000	0.102316	
1000	0.291000	1.125711	478	0.251046	0.637430	522	0.327586	0.291000	0.129267	
1000	0.293000	1.125711	485	0.247423	0.637430	515	0.335922	0.293000	0.149731	
1000	0.297000	1.125711	518	0.297297	0.637430	482	0.296680	0.297000	0.166093	
1000	0.298000	1.125711	507	0.268245	0.637430	493	0.328600	0.298000	0.179282	
1000	0.293000	1.125711	482	0.267635	0.637430	518	0.316602	0.293000	0.189619	
1000	0.262000	1.125711	521	0.251440	0.637430	479	0.273486	0.262000	0.195650	
1000	0.278000	1.125711	503	0.288270	0.637430	497	0.267606	0.278000	0.201984	
1000	0.279000	1.125711	508	0.232283	0.637430	492	0.327236	0.279000	0.207485	
1000	0.290000	1.125711	492	0.296748	0.637430	508	0.283465	0.290000	0.212986	
1000	0.288000	1.125711	517	0.263056	0.637430	483	0.314700	0.288000	0.217674	
1000	0.272000	1.125711	499	0.256513	0.637430	501	0.287425	0.272000	0.220869	
1000	0.255000	1.125711	525	0.245714	0.637430	475	0.265263	0.255000	0.222765	
1000	0.274000	1.125711	517	0.268859	0.637430	483	0.279503	0.274000	0.225462	
1000	0.308000	1.125711	499	0.306613	0.637430	501	0.309381	0.308000	0.229589	
1000	0.267000	1.125711	516	0.238372	0.637430	484	0.297521	0.267000	0.231370	
1000	0.265000	1.125711	519	0.227360	0.637430	481	0.305613	0.265000	0.232899	
1000	0.256000	1.125711	482	0.242739	0.637430	518	0.268340	0.256000	0.233903	
1000	0.295000	1.125711	505	0.289109	0.637430	495	0.301010	0.295000	0.236448	
1000	0.276000	1.125711	499	0.272545	0.637430	501	0.279441	0.276000	0.238030	
1000	0.283000	1.125711	522	0.264368	0.637430	478	0.303347	0.283000	0.239760	
1000	0.300000	1.125711	500	0.278000	0.637430	500	0.322000	0.300000	0.241991	
1000	0.301000	1.125711	477	0.306080	0.637430	523	0.296367	0.301000	0.244098	
