Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_articles_clause_v.txt
Log File Name:                   features_articles_clause_v.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2070365053
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_articles_clause_v.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-163.433201	1	0.433610874081	0.218169685268	0.665794323835	0.419412671781	0.011672270492	
3000	-164.994956	1	0.382738060258	0.105949090913	0.663721516152	0.426128846813	0.010161614885	
4000	-163.604745	1	0.253019642061	0.304837885350	0.666053288869	0.419830599781	0.010723267714	
5000	-164.288590	1	0.396231779059	0.137397670305	0.664107312580	0.423420759998	0.009943280058	
6000	-163.053410	1	0.362062011199	0.208835409515	0.663360093272	0.419659038230	0.013178867563	
7000	-163.010251	1	0.358712444134	0.295104238864	0.663327709106	0.419540167348	0.013975958441	
8000	-163.282841	1	0.259569763390	0.252512988134	0.665673219957	0.418993969951	0.013710650630	
9000	-165.389801	1	0.552669515923	0.246915334560	0.677223875354	0.419009894170	0.012603274181	
10000	-163.698076	1	0.361878621543	0.159896528455	0.663358131430	0.421878009286	0.012657223370	
11000	-162.874363	1	0.325933575969	0.243777387145	0.663395864823	0.419027734175	0.013774643303	
12000	-163.473131	1	0.414586944237	0.194242393643	0.664822185897	0.420157738092	0.011074127967	
13000	-163.213013	1	0.271150189716	0.232469244792	0.665069538884	0.419145140933	0.014621186665	
14000	-164.812699	1	0.242242715735	0.133612227527	0.666739334294	0.423712680888	0.021152146757	
15000	-163.271372	1	0.387103093901	0.195780687243	0.663833359478	0.420098638836	0.012135289749	
16000	-164.184724	1	0.367731952358	0.372434207512	0.663431539766	0.423547207024	0.015189116334	
17000	-164.061083	1	0.292740128278	0.359257973535	0.664176927709	0.422589591614	0.010177603110	
18000	-163.084184	1	0.340476994479	0.304496561200	0.663279391726	0.419819372957	0.013481760284	
19000	-163.347305	1	0.437252275277	0.261001412372	0.666007238717	0.419008700658	0.014013924805	
20000	-162.900756	1	0.348019676052	0.229232794981	0.663273152489	0.419194049440	0.013610334188	
21000	-163.759740	1	0.342380969071	0.155442473028	0.663274325902	0.422157290943	0.013790940755	
22000	-164.021907	1	0.362994150168	0.143236964215	0.663370403095	0.422988727248	0.012397288315	
