Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.089000	8.405747	470	0.051064	1.580884	530	0.122642	0.089000	0.216392	
1000	0.105000	5.229870	510	0.049020	1.493748	490	0.163265	0.105000	0.179274	
1000	0.124000	4.424492	470	0.074468	1.241255	530	0.167925	0.124000	0.165459	
1000	0.185000	2.921546	515	0.073786	0.737736	485	0.303093	0.185000	0.169366	
1000	0.218000	2.874971	487	0.112936	0.737736	513	0.317739	0.218000	0.177470	
1000	0.193000	2.709674	510	0.098039	0.737736	490	0.291837	0.193000	0.179689	
1000	0.271000	1.496127	492	0.191057	0.737736	508	0.348425	0.271000	0.191101	
1000	0.280000	0.919810	489	0.292434	0.737736	511	0.268102	0.280000	0.200978	
1000	0.312000	0.919810	488	0.325820	0.737736	512	0.298828	0.312000	0.212079	
1000	0.298000	0.919810	522	0.281609	0.737736	478	0.315900	0.298000	0.219889	
1000	0.321000	0.919810	512	0.347656	0.737736	488	0.293033	0.321000	0.228314	
1000	0.311000	0.919810	513	0.329435	0.737736	487	0.291581	0.311000	0.234674	
1000	0.334000	0.919810	505	0.354455	0.737736	495	0.313131	0.334000	0.241768	
1000	0.294000	0.919810	511	0.273973	0.737736	489	0.314928	0.294000	0.245250	
1000	0.317000	0.919810	509	0.306483	0.737736	491	0.327902	0.317000	0.249734	
1000	0.337000	0.919810	506	0.332016	0.737736	494	0.342105	0.337000	0.254867	
1000	0.309000	0.919810	470	0.340426	0.737736	530	0.281132	0.309000	0.257875	
1000	0.306000	0.919810	509	0.290766	0.737736	491	0.321792	0.306000	0.260407	
1000	0.306000	0.919810	502	0.290837	0.737736	498	0.321285	0.306000	0.262687	
1000	0.308000	0.919810	538	0.315985	0.737736	462	0.298701	0.308000	0.264845	
1000	0.294000	0.919810	491	0.276986	0.737736	509	0.310413	0.294000	0.266170	
1000	0.336000	0.919810	499	0.350701	0.737736	501	0.321357	0.336000	0.269206	
1000	0.281000	0.919810	524	0.288168	0.737736	476	0.273109	0.281000	0.269697	
1000	0.328000	0.919810	482	0.319502	0.737736	518	0.335907	0.328000	0.272029	
1000	0.328000	0.919810	521	0.309021	0.737736	479	0.348643	0.328000	0.274182	
1000	0.329000	0.919810	498	0.325301	0.737736	502	0.332669	0.329000	0.276212	
1000	0.326000	0.919810	514	0.326848	0.737736	486	0.325103	0.326000	0.277990	
1000	0.299000	0.919810	518	0.310811	0.737736	482	0.286307	0.299000	0.278715	
1000	0.284000	0.919810	516	0.304264	0.737736	484	0.262397	0.284000	0.278891	
1000	0.302000	0.919810	505	0.322772	0.737736	495	0.280808	0.302000	0.279636	
1000	0.307000	0.919810	493	0.292089	0.737736	507	0.321499	0.307000	0.280491	
1000	0.343000	0.919810	564	0.361702	0.737736	436	0.318807	0.343000	0.282385	
1000	0.307000	0.919810	514	0.280156	0.737736	486	0.335391	0.307000	0.283109	
1000	0.331000	0.919810	502	0.358566	0.737736	498	0.303213	0.331000	0.284478	
1000	0.294000	0.919810	509	0.300589	0.737736	491	0.287169	0.294000	0.284742	
1000	0.320000	0.919810	493	0.318458	0.737736	507	0.321499	0.320000	0.285695	
1000	0.317000	0.919810	517	0.342360	0.737736	483	0.289855	0.317000	0.286519	
1000	0.298000	0.919810	490	0.291837	0.737736	510	0.303922	0.298000	0.286813	
1000	0.338000	0.919810	497	0.346076	0.737736	503	0.330020	0.338000	0.288093	
1000	0.335000	0.919810	492	0.345528	0.737736	508	0.324803	0.335000	0.289237	
1000	0.311000	0.919810	486	0.300412	0.737736	514	0.321012	0.311000	0.289755	
1000	0.320000	0.919810	504	0.291667	0.737736	496	0.348790	0.320000	0.290458	
1000	0.329000	0.919810	474	0.343882	0.737736	526	0.315589	0.329000	0.291334	
1000	0.311000	0.919810	483	0.304348	0.737736	517	0.317215	0.311000	0.291771	
1000	0.301000	0.919810	505	0.304950	0.737736	495	0.296970	0.301000	0.291972	
1000	0.320000	0.919810	497	0.317907	0.737736	503	0.322068	0.320000	0.292568	
1000	0.293000	0.919810	483	0.293996	0.737736	517	0.292070	0.293000	0.292577	
1000	0.328000	0.919810	508	0.334646	0.737736	492	0.321138	0.328000	0.293300	
1000	0.288000	0.919810	520	0.290385	0.737736	480	0.285417	0.288000	0.293194	
1000	0.307000	0.919810	484	0.316116	0.737736	516	0.298450	0.307000	0.293465	
1000	0.328000	0.919810	505	0.332673	0.737736	495	0.323232	0.328000	0.294129	
1000	0.305000	0.919810	501	0.323353	0.737736	499	0.286573	0.305000	0.294334	
1000	0.304000	0.919810	503	0.310139	0.737736	497	0.297787	0.304000	0.294513	
1000	0.307000	0.919810	483	0.300207	0.737736	517	0.313346	0.307000	0.294740	
1000	0.317000	0.919810	523	0.336520	0.737736	477	0.295597	0.317000	0.295138	
1000	0.296000	0.919810	525	0.291429	0.737736	475	0.301053	0.296000	0.295153	
1000	0.300000	0.919810	511	0.287671	0.737736	489	0.312883	0.300000	0.295236	
1000	0.298000	0.919810	480	0.287500	0.737736	520	0.307692	0.298000	0.295283	
1000	0.340000	0.919810	528	0.323864	0.737736	472	0.358051	0.340000	0.296028	
1000	0.319000	0.919810	493	0.308316	0.737736	507	0.329389	0.319000	0.296405	
1000	0.312000	0.919810	494	0.317814	0.737736	506	0.306324	0.312000	0.296657	
1000	0.264000	0.919810	511	0.264188	0.737736	489	0.263804	0.264000	0.296138	
1000	0.307000	0.919810	515	0.289320	0.737736	485	0.325773	0.307000	0.296308	
