Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.409421	-0.409421
1	0.995007	75000	-0.408730	-0.818151
2	0.992517	75000	-0.408193	-1.226344
3	0.990030	75000	-0.407569	-1.633913
4	0.987547	75000	-0.407004	-2.040918
5	0.985067	75000	-0.406338	-2.447255
6	0.982592	75000	-0.405724	-2.852980
7	0.980120	75000	-0.405090	-3.258070
8	0.977652	75000	-0.404469	-3.662539
9	0.975187	75000	-0.403936	-4.066475
10	0.972726	75000	-0.403247	-4.469722
11	0.970269	75000	-0.402737	-4.872459
12	0.967816	75000	-0.402089	-5.274548
13	0.965367	75000	-0.401502	-5.676050
14	0.962921	75000	-0.400890	-6.076940
15	0.960479	75000	-0.400242	-6.477182
16	0.958040	75000	-0.399677	-6.876858
17	0.955606	75000	-0.399146	-7.276004
18	0.953175	75000	-0.398448	-7.674452
19	0.950747	75000	-0.397862	-8.072314
20	0.948324	75000	-0.397225	-8.469539
21	0.945904	75000	-0.396632	-8.866171
22	0.943488	75000	-0.396104	-9.262275
23	0.941076	75000	-0.395487	-9.657761
24	0.938667	75000	-0.394949	-10.052710
25	0.936262	75000	-0.394299	-10.447010
26	0.933861	75000	-0.393766	-10.840775
27	0.931463	75000	-0.393077	-11.233852
28	0.929069	75000	-0.392510	-11.626362
29	0.926679	75000	-0.391894	-12.018256
30	0.924293	75000	-0.391255	-12.409511
31	0.921910	75000	-0.390691	-12.800202
32	0.919531	75000	-0.390137	-13.190339
33	0.917155	75000	-0.389520	-13.579859
34	0.914783	75000	-0.388914	-13.968773
35	0.912415	75000	-0.388260	-14.357033
36	0.910051	75000	-0.387664	-14.744697
37	0.907690	75000	-0.387064	-15.131761
38	0.905333	75000	-0.386485	-15.518246
39	0.902980	75000	-0.385927	-15.904173
40	0.900630	75000	-0.385401	-16.289574
41	0.898284	75000	-0.384717	-16.674291
42	0.895942	75000	-0.384106	-17.058396
43	0.893603	75000	-0.383579	-17.441975
44	0.891268	75000	-0.382985	-17.824961
45	0.888937	75000	-0.382366	-18.207327
46	0.886609	75000	-0.381700	-18.589027
47	0.884285	75000	-0.381143	-18.970170
48	0.881965	75000	-0.380488	-19.350658
49	0.879648	75000	-0.379944	-19.730601
50	0.877335	75000	-0.379371	-20.109973
51	0.875026	75000	-0.378780	-20.488753
52	0.872720	75000	-0.378222	-20.866975
53	0.870418	75000	-0.377592	-21.244567
54	0.868120	75000	-0.377006	-21.621573
55	0.865825	75000	-0.376387	-21.997960
56	0.863534	75000	-0.375764	-22.373723
57	0.861246	75000	-0.375265	-22.748989
58	0.858962	75000	-0.374675	-23.123664
59	0.856682	75000	-0.374035	-23.497699
60	0.854405	75000	-0.373546	-23.871245
61	0.852132	75000	-0.372842	-24.244087
62	0.849863	75000	-0.372287	-24.616374
63	0.847597	75000	-0.371719	-24.988093
64	0.845335	75000	-0.371164	-25.359257
65	0.843077	75000	-0.370467	-25.729724
66	0.840822	75000	-0.369933	-26.099656
67	0.838571	75000	-0.369373	-26.469030
68	0.836323	75000	-0.368775	-26.837805
69	0.834079	75000	-0.368184	-27.205989
70	0.831839	75000	-0.367619	-27.573608
71	0.829602	75000	-0.366967	-27.940575
72	0.827369	75000	-0.366368	-28.306943
73	0.825140	75000	-0.365843	-28.672786
74	0.822914	75000	-0.365229	-29.038015
75	0.820691	75000	-0.364646	-29.402660
76	0.818473	75000	-0.364044	-29.766704
77	0.816258	75000	-0.363535	-30.130239
78	0.814046	75000	-0.362877	-30.493116
79	0.811838	75000	-0.362320	-30.855436
80	0.809634	75000	-0.361733	-31.217169
81	0.807433	75000	-0.361148	-31.578317
82	0.805236	75000	-0.360591	-31.938908
83	0.803043	75000	-0.359976	-32.298885
84	0.800853	75000	-0.359431	-32.658316
85	0.798667	75000	-0.358813	-33.017129
86	0.796484	75000	-0.358286	-33.375415
87	0.794305	75000	-0.357645	-33.733060
88	0.792129	75000	-0.357072	-34.090132
89	0.789957	75000	-0.356460	-34.446592
90	0.787789	75000	-0.355932	-34.802525
91	0.785624	75000	-0.355304	-35.157828
92	0.783463	75000	-0.354713	-35.512541
93	0.781305	75000	-0.354141	-35.866682
94	0.779151	75000	-0.353615	-36.220297
95	0.777000	75000	-0.352993	-36.573291
96	0.774853	75000	-0.352517	-36.925808
97	0.772710	75000	-0.351927	-37.277734
98	0.770570	75000	-0.351341	-37.629076
99	0.768433	75000	-0.350752	-37.979827
100	0.766301	75000	-0.350152	-38.329979
101	0.764172	75000	-0.349546	-38.679525
102	0.762046	75000	-0.349025	-39.028550
103	0.759924	75000	-0.348478	-39.377028
104	0.757805	75000	-0.347828	-39.724856
105	0.755690	75000	-0.347286	-40.072142
106	0.753579	75000	-0.346763	-40.418904
107	0.751471	75000	-0.346101	-40.765005
108	0.749366	75000	-0.345486	-41.110491
109	0.747266	75000	-0.344963	-41.455454
110	0.745168	75000	-0.344389	-41.799843
111	0.743075	75000	-0.343868	-42.143711
112	0.740984	75000	-0.343255	-42.486965
113	0.738898	75000	-0.342705	-42.829670
114	0.736815	75000	-0.342064	-43.171734
115	0.734735	75000	-0.341648	-43.513382
116	0.732659	75000	-0.340991	-43.854373
117	0.730586	75000	-0.340390	-44.194763
118	0.728517	75000	-0.339827	-44.534590
119	0.726452	75000	-0.339285	-44.873876
120	0.724390	75000	-0.338712	-45.212587
121	0.722331	75000	-0.338133	-45.550720
122	0.720276	75000	-0.337538	-45.888259
123	0.718225	75000	-0.337034	-46.225293
124	0.716177	75000	-0.336452	-46.561745
125	0.714132	75000	-0.335883	-46.897628
126	0.712091	75000	-0.335222	-47.232851
127	0.710054	75000	-0.334670	-47.567520
128	0.708020	75000	-0.334156	-47.901676
129	0.705989	75000	-0.333503	-48.235179
130	0.703962	75000	-0.332992	-48.568171
131	0.701939	75000	-0.332469	-48.900640
132	0.699919	75000	-0.331851	-49.232491
133	0.697902	75000	-0.331298	-49.563789
134	0.695889	75000	-0.330808	-49.894597
135	0.693880	75000	-0.330222	-50.224818
136	0.691874	75000	-0.329691	-50.554510
137	0.689871	75000	-0.329082	-50.883591
138	0.687872	75000	-0.328496	-51.212088
139	0.685877	75000	-0.327914	-51.540001
140	0.683885	75000	-0.327407	-51.867409
141	0.681896	75000	-0.326765	-52.194174
142	0.679911	75000	-0.326214	-52.520388
143	0.677929	75000	-0.325716	-52.846104
144	0.675951	75000	-0.325175	-53.171278
145	0.673976	75000	-0.324624	-53.495903
146	0.672005	75000	-0.324068	-53.819970
147	0.670037	75000	-0.323498	-54.143468
148	0.668073	75000	-0.322930	-54.466398
149	0.666112	75000	-0.322286	-54.788683
150	0.664155	75000	-0.321768	-55.110451
151	0.662201	75000	-0.321251	-55.431702
152	0.660250	75000	-0.320650	-55.752352
153	0.658303	75000	-0.320132	-56.072484
154	0.656359	75000	-0.319516	-56.392000
155	0.654419	75000	-0.319003	-56.711004
156	0.652483	75000	-0.318387	-57.029390
157	0.650549	75000	-0.317897	-57.347287
158	0.648619	75000	-0.317368	-57.664656
159	0.646693	75000	-0.316723	-57.981379
160	0.644770	75000	-0.316262	-58.297641
161	0.642851	75000	-0.315583	-58.613224
162	0.640934	75000	-0.315086	-58.928310
163	0.639022	75000	-0.314473	-59.242783
164	0.637113	75000	-0.314001	-59.556784
165	0.635207	75000	-0.313441	-59.870225
166	0.633304	75000	-0.312844	-60.183069
167	0.631405	75000	-0.312308	-60.495377
168	0.629510	75000	-0.311848	-60.807225
169	0.627618	75000	-0.311269	-61.118494
170	0.625729	75000	-0.310688	-61.429182
171	0.623844	75000	-0.310054	-61.739236
172	0.621962	75000	-0.309619	-62.048855
173	0.620083	75000	-0.309125	-62.357979
174	0.618208	75000	-0.308392	-62.666372
175	0.616337	75000	-0.307876	-62.974247
176	0.614468	75000	-0.307389	-63.281636
177	0.612604	75000	-0.306829	-63.588466
178	0.610742	75000	-0.306320	-63.894786
179	0.608884	75000	-0.305685	-64.200471
180	0.607029	75000	-0.305108	-64.505579
181	0.605178	75000	-0.304615	-64.810194
182	0.603330	75000	-0.304055	-65.114249
183	0.601486	75000	-0.303535	-65.417783
184	0.599645	75000	-0.302982	-65.720766
185	0.597807	75000	-0.302353	-66.023119
186	0.595973	75000	-0.301849	-66.324968
187	0.594142	75000	-0.301308	-66.626276
188	0.592314	75000	-0.300797	-66.927073
189	0.590490	75000	-0.300190	-67.227262
190	0.588669	75000	-0.299634	-67.526896
191	0.586852	75000	-0.299088	-67.825984
192	0.585038	75000	-0.298573	-68.124557
193	0.583227	75000	-0.298036	-68.422594
194	0.581420	75000	-0.297448	-68.720042
195	0.579616	75000	-0.296957	-69.016999
196	0.577815	75000	-0.296378	-69.313376
197	0.576018	75000	-0.295837	-69.609213
198	0.574224	75000	-0.295337	-69.904551
199	0.572433	75000	-0.294762	-70.199313
200	0.570646	75000	-0.294276	-70.493589
201	0.568862	75000	-0.293726	-70.787315
202	0.567082	75000	-0.293194	-71.080509
203	0.565305	75000	-0.292602	-71.373111
204	0.563531	75000	-0.292037	-71.665148
205	0.561761	75000	-0.291515	-71.956663
206	0.559993	75000	-0.290991	-72.247654
207	0.558230	75000	-0.290458	-72.538112
208	0.556469	75000	-0.289862	-72.827974
209	0.554712	75000	-0.289356	-73.117330
210	0.552958	75000	-0.288878	-73.406208
211	0.551208	75000	-0.288269	-73.694478
212	0.549461	75000	-0.287742	-73.982220
