Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_articles_mood.txt
Log File Name:                   features_articles_mood.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2414494737
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_articles_mood.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-110.804879	1	0.221924738313	0.842520500891	0.668238180553	0.271997276911	-0.045981421295	
3000	-110.217460	1	0.457488400965	0.918477865188	0.667347569246	0.271144174078	-0.049531783243	
4000	-112.575901	1	0.167268940637	0.808278346944	0.673602522927	0.273608832872	-0.038752803477	
5000	-109.696555	1	0.273162476503	0.898069937398	0.664973533355	0.271004768259	-0.051425489483	
6000	-109.671073	1	0.396269610215	0.865862471879	0.664108560656	0.271335774450	-0.052651276726	
7000	-110.160265	1	0.374793276486	0.967250541939	0.663549750473	0.272574459110	-0.049760529198	
8000	-110.626173	1	0.351881421252	0.805387236271	0.663284278336	0.273779806393	-0.051661140912	
9000	-109.483256	1	0.367754514886	0.875114462308	0.663431865837	0.271171630709	-0.051838872621	
10000	-110.851915	1	0.332338601436	0.798219144757	0.663327619892	0.274227156109	-0.050168842085	
11000	-111.583090	1	0.538175133516	0.891099192138	0.675339617658	0.271019207531	-0.051988160301	
12000	-109.481551	1	0.321157402539	0.919274149349	0.663464118977	0.271155103609	-0.051854666517	
13000	-110.507235	1	0.431819561973	0.826672022709	0.665692749084	0.272648374760	-0.055908907360	
14000	-110.053017	1	0.436276848826	0.929711201931	0.665949359397	0.271336481506	-0.049122333097	
15000	-110.953391	1	0.184341929819	0.916541065874	0.671718210389	0.271119311413	-0.053444561358	
16000	-110.985961	1	0.481098149289	0.834130498221	0.669247949674	0.272321613404	-0.057691999856	
17000	-111.011781	1	0.356951297956	0.791953648055	0.663313608702	0.274645544121	-0.052052304689	
18000	-111.773211	1	0.525028455126	0.949429975748	0.673748718653	0.271872509822	-0.043946065734	
19000	-109.500522	1	0.303187850770	0.890820639738	0.663853815468	0.271020441120	-0.051225196616	
20000	-109.760541	1	0.391798707248	0.854987694171	0.663967507012	0.271599877304	-0.052907380020	
21000	-109.673721	1	0.331411140850	0.941832167021	0.663335850024	0.271636028989	-0.051888647883	
22000	-110.749009	1	0.419756812871	0.810991216068	0.665063081337	0.273453343460	-0.056086638415	
23000	-110.604849	1	0.271860219314	0.978644631603	0.665035362956	0.273131507029	-0.055750904281	
24000	-110.495833	1	0.414839856988	0.820272191772	0.664833566279	0.272957594574	-0.055330487003	
25000	-109.939511	1	0.303916850373	0.954761076386	0.663833919334	0.272060851220	-0.053167132594	
26000	-109.969628	1	0.309762695730	0.957974361119	0.663686869893	0.272183300088	-0.052994081723	
27000	-110.806962	1	0.324861660800	0.996346577625	0.663409891997	0.274164415334	-0.052724612177	
28000	-110.101695	1	0.257900992440	0.858444494080	0.665767401228	0.271507588263	-0.048695400631	
29000	-109.947984	1	0.438895448006	0.877256939345	0.666106139491	0.271141557920	-0.052817656994	
30000	-109.891217	1	0.260941177665	0.924080380785	0.665597176450	0.271229827847	-0.053066434137	
31000	-110.523635	1	0.412091166480	0.973045308851	0.664712113348	0.272847210321	-0.047418977434	
32000	-110.955100	1	0.270112333338	0.992241898498	0.665120083985	0.273906759551	-0.056557201409	
33000	-109.568440	1	0.300683689228	0.920315618047	0.663924792585	0.271170020800	-0.052208424717	
34000	-109.525651	1	0.341875572479	0.928967697781	0.663275440757	0.271321217220	-0.051531750102	
35000	-110.698497	1	0.202957171878	0.929444400570	0.669879699021	0.271330962667	-0.054633457951	
36000	-109.532997	1	0.384868505175	0.876715854728	0.663774555634	0.271148871086	-0.052076536855	
37000	-109.746259	1	0.330960096588	0.947147672853	0.663340054687	0.271797528758	-0.051947551727	
38000	-110.311073	1	0.364034854055	0.818378750362	0.663382581284	0.273054185628	-0.052399921797	
39000	-109.702843	1	0.336676213409	0.944417787872	0.663296554533	0.271712292196	-0.051722729371	
40000	-111.155095	1	0.348019424380	0.787422083291	0.663273152080	0.274964055366	-0.051312736121	
41000	-109.641355	1	0.293402431012	0.925058096752	0.664154337641	0.271246867537	-0.052507120331	
42000	-110.971725	1	0.508051410983	0.881042515764	0.671860590664	0.271095718721	-0.053207463178	
43000	-109.788094	1	0.410270007519	0.928119384176	0.664634350183	0.271304240256	-0.049888834385	
44000	-110.075950	1	0.344062425511	0.829023052492	0.663271812413	0.272541469989	-0.051252788939	
45000	-110.162233	1	0.413389779521	0.954255980486	0.664768881229	0.272042214185	-0.048387359901	
46000	-109.541347	1	0.300452252955	0.915084084126	0.663931558200	0.271102215958	-0.052037984126	
47000	-109.621992	1	0.377756541554	0.931425536259	0.663609016232	0.271373047193	-0.050595452317	
48000	-110.081693	1	0.322486706574	0.966031261293	0.663443632639	0.272519850126	-0.052527174612	
49000	-109.819486	1	0.384387036443	0.945096223602	0.663762310853	0.271733022787	-0.049978434080	
50000	-110.452062	1	0.329585862730	0.813374534300	0.663353680996	0.273320691725	-0.050226126537	
51000	-109.509825	1	0.374344468662	0.919728511840	0.663541272182	0.271161524807	-0.050964244770	
52000	-109.747037	1	0.403587497222	0.929157474683	0.664367485518	0.271325079208	-0.050006095406	
53000	-111.934553	1	0.490458584198	0.798099291116	0.670101732169	0.274234920014	-0.061866765204	
54000	-111.670560	1	0.539572898796	0.911054255648	0.675515373658	0.271062121596	-0.049041883956	
55000	-110.817897	1	0.491743887256	0.926426739269	0.670223416153	0.271271764505	-0.047986486509	
56000	-109.570526	1	0.372014162883	0.928384290880	0.663499356866	0.271309491476	-0.050815421928	
57000	-109.790063	1	0.374835575449	0.946066657871	0.663550556284	0.271763196110	-0.050307976149	
58000	-111.726357	1	0.177326260109	0.835543245570	0.672469573465	0.272263795022	-0.043049863678	
59000	-111.671099	1	0.201175330330	0.987638233941	0.670045927485	0.273630817486	-0.060818263251	
60000	-109.807612	1	0.261243440621	0.902131521016	0.665580580775	0.271010924936	-0.051666249218	
61000	-110.385700	1	0.457151068839	0.851898599489	0.667323043588	0.271688924383	-0.055163951224	
62000	-111.099330	1	0.196941631726	0.849935995566	0.670449171435	0.271748722701	-0.045714363696	
63000	-109.590184	1	0.380587141367	0.926790106805	0.663670961280	0.271278579161	-0.050653460236	
64000	-109.689141	1	0.397986320008	0.927116152318	0.664166175495	0.271284766962	-0.050234103350	
65000	-111.282630	1	0.224998891239	0.986139012229	0.667994165310	0.273543929707	-0.059155250362	
66000	-109.936795	1	0.428267516002	0.863577195445	0.665497504932	0.271384891617	-0.053517387302	
67000	-109.665836	1	0.280938801963	0.884779888454	0.664627278258	0.271059605360	-0.050774375341	
68000	-109.440550	1	0.324773350239	0.883771420744	0.663411080952	0.271068455111	-0.051240624562	
69000	-109.829357	1	0.426188344810	0.914959545412	0.665387026834	0.271100818729	-0.050322172957	
70000	-109.437611	1	0.319700990101	0.908581684329	0.663487883437	0.271042748767	-0.051676817876	
71000	-110.249122	1	0.301695074415	0.970894303134	0.663895635309	0.272743417124	-0.053735121656	
72000	-110.628162	1	0.312163223905	0.988715345897	0.663632922456	0.273694144098	-0.053521847774	
73000	-109.494836	1	0.327860102115	0.923529856836	0.663372532433	0.271220506849	-0.051799114430	
74000	-110.764686	1	0.478119516032	0.845434183004	0.668988213739	0.271895350423	-0.056461161662	
75000	-111.113853	1	0.516219216803	0.890731754212	0.672745589946	0.271020845376	-0.052024370388	
76000	-110.229543	1	0.248312740925	0.856967485341	0.666343634139	0.271546070370	-0.048272914911	
77000	-110.172545	1	0.282986419052	0.838165412003	0.664542645123	0.272159919945	-0.048466472712	
78000	-109.797405	1	0.306670285233	0.946080269453	0.663761889365	0.271763623685	-0.052820756698	
79000	-110.271120	1	0.272146130500	0.837909631204	0.665021693752	0.272169855692	-0.047939958117	
80000	-109.701194	1	0.305623884428	0.860083287321	0.663788682444	0.271466551313	-0.050259231326	
81000	-109.755263	1	0.270112764068	0.885357393890	0.665120062863	0.271054835307	-0.050681664587	
82000	-109.706252	1	0.291770099380	0.867494481607	0.664210528673	0.271302776611	-0.050163644050	
83000	-109.654403	1	0.278187411831	0.901559217959	0.664745293450	0.271009408106	-0.051612706780	
84000	-109.908851	1	0.413757769717	0.854392302402	0.664785167058	0.271616557457	-0.053623168521	
85000	-109.715391	1	0.418433899917	0.885365331911	0.664999784037	0.271054771252	-0.052095792184	
86000	-111.016237	1	0.196968158451	0.855658767483	0.670446608575	0.271581353248	-0.046377310899	
87000	-109.980657	1	0.433692856813	0.864656843486	0.665799022530	0.271361263632	-0.053576683166	
