Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.275749	-0.275749
1	0.995007	75000	-0.275358	-0.551107
2	0.992517	75000	-0.274987	-0.826094
3	0.990030	75000	-0.274589	-1.100683
4	0.987547	75000	-0.274212	-1.374895
5	0.985067	75000	-0.273752	-1.648646
6	0.982592	75000	-0.273287	-1.921933
7	0.980120	75000	-0.272929	-2.194862
8	0.977652	75000	-0.272549	-2.467411
9	0.975187	75000	-0.272104	-2.739515
10	0.972726	75000	-0.271690	-3.011204
11	0.970269	75000	-0.271315	-3.282519
12	0.967816	75000	-0.270916	-3.553435
13	0.965367	75000	-0.270445	-3.823881
14	0.962921	75000	-0.270052	-4.093933
15	0.960479	75000	-0.269727	-4.363660
16	0.958040	75000	-0.269319	-4.632979
17	0.955606	75000	-0.268872	-4.901851
18	0.953175	75000	-0.268511	-5.170361
19	0.950747	75000	-0.268064	-5.438425
20	0.948324	75000	-0.267598	-5.706023
21	0.945904	75000	-0.267261	-5.973284
22	0.943488	75000	-0.266809	-6.240093
23	0.941076	75000	-0.266480	-6.506572
24	0.938667	75000	-0.266098	-6.772671
25	0.936262	75000	-0.265694	-7.038365
26	0.933861	75000	-0.265250	-7.303615
27	0.931463	75000	-0.264821	-7.568436
28	0.929069	75000	-0.264426	-7.832863
29	0.926679	75000	-0.264059	-8.096921
30	0.924293	75000	-0.263640	-8.360562
31	0.921910	75000	-0.263238	-8.623799
32	0.919531	75000	-0.262842	-8.886641
33	0.917155	75000	-0.262470	-9.149112
34	0.914783	75000	-0.262071	-9.411183
35	0.912415	75000	-0.261675	-9.672858
36	0.910051	75000	-0.261217	-9.934075
37	0.907690	75000	-0.260763	-10.194838
38	0.905333	75000	-0.260428	-10.455267
39	0.902980	75000	-0.260080	-10.715347
40	0.900630	75000	-0.259614	-10.974962
41	0.898284	75000	-0.259294	-11.234255
42	0.895942	75000	-0.258881	-11.493137
43	0.893603	75000	-0.258417	-11.751554
44	0.891268	75000	-0.258074	-12.009628
45	0.888937	75000	-0.257655	-12.267283
46	0.886609	75000	-0.257292	-12.524575
47	0.884285	75000	-0.256857	-12.781432
48	0.881965	75000	-0.256459	-13.037891
49	0.879648	75000	-0.256036	-13.293927
50	0.877335	75000	-0.255678	-13.549604
51	0.875026	75000	-0.255242	-13.804847
52	0.872720	75000	-0.254875	-14.059722
53	0.870418	75000	-0.254413	-14.314136
54	0.868120	75000	-0.254138	-14.568273
55	0.865825	75000	-0.253716	-14.821990
56	0.863534	75000	-0.253284	-15.075274
57	0.861246	75000	-0.252891	-15.328165
58	0.858962	75000	-0.252450	-15.580614
59	0.856682	75000	-0.252074	-15.832688
60	0.854405	75000	-0.251712	-16.084400
61	0.852132	75000	-0.251321	-16.335721
62	0.849863	75000	-0.250928	-16.586650
63	0.847597	75000	-0.250556	-16.837205
64	0.845335	75000	-0.250175	-17.087381
65	0.843077	75000	-0.249790	-17.337170
66	0.840822	75000	-0.249415	-17.586585
67	0.838571	75000	-0.249014	-17.835598
68	0.836323	75000	-0.248607	-18.084205
69	0.834079	75000	-0.248115	-18.332320
70	0.831839	75000	-0.247702	-18.580022
71	0.829602	75000	-0.247393	-18.827415
72	0.827369	75000	-0.246966	-19.074381
73	0.825140	75000	-0.246626	-19.321007
74	0.822914	75000	-0.246210	-19.567217
75	0.820691	75000	-0.245829	-19.813046
76	0.818473	75000	-0.245354	-20.058400
77	0.816258	75000	-0.244981	-20.303381
78	0.814046	75000	-0.244608	-20.547989
79	0.811838	75000	-0.244253	-20.792243
80	0.809634	75000	-0.243820	-21.036063
81	0.807433	75000	-0.243432	-21.279495
82	0.805236	75000	-0.243034	-21.522529
83	0.803043	75000	-0.242709	-21.765238
84	0.800853	75000	-0.242379	-22.007617
85	0.798667	75000	-0.241885	-22.249502
86	0.796484	75000	-0.241507	-22.491009
87	0.794305	75000	-0.241147	-22.732156
88	0.792129	75000	-0.240730	-22.972886
89	0.789957	75000	-0.240322	-23.213208
90	0.787789	75000	-0.239988	-23.453196
91	0.785624	75000	-0.239620	-23.692816
92	0.783463	75000	-0.239180	-23.931995
93	0.781305	75000	-0.238766	-24.170762
94	0.779151	75000	-0.238411	-24.409173
95	0.777000	75000	-0.238018	-24.647191
96	0.774853	75000	-0.237601	-24.884792
97	0.772710	75000	-0.237243	-25.122035
98	0.770570	75000	-0.236839	-25.358874
99	0.768433	75000	-0.236444	-25.595318
100	0.766301	75000	-0.236094	-25.831412
101	0.764172	75000	-0.235698	-26.067110
102	0.762046	75000	-0.235352	-26.302462
103	0.759924	75000	-0.234931	-26.537393
104	0.757805	75000	-0.234579	-26.771972
105	0.755690	75000	-0.234178	-27.006149
106	0.753579	75000	-0.233785	-27.239934
107	0.751471	75000	-0.233438	-27.473372
108	0.749366	75000	-0.232986	-27.706359
109	0.747266	75000	-0.232618	-27.938976
110	0.745168	75000	-0.232292	-28.171269
111	0.743075	75000	-0.231894	-28.403162
112	0.740984	75000	-0.231444	-28.634607
113	0.738898	75000	-0.231117	-28.865724
114	0.736815	75000	-0.230736	-29.096459
115	0.734735	75000	-0.230289	-29.326748
116	0.732659	75000	-0.229936	-29.556684
117	0.730586	75000	-0.229513	-29.786197
118	0.728517	75000	-0.229232	-30.015429
119	0.726452	75000	-0.228786	-30.244215
120	0.724390	75000	-0.228463	-30.472678
121	0.722331	75000	-0.227999	-30.700676
122	0.720276	75000	-0.227691	-30.928367
123	0.718225	75000	-0.227263	-31.155630
124	0.716177	75000	-0.226941	-31.382571
125	0.714132	75000	-0.226541	-31.609111
126	0.712091	75000	-0.226150	-31.835262
127	0.710054	75000	-0.225755	-32.061016
128	0.708020	75000	-0.225392	-32.286408
129	0.705989	75000	-0.225003	-32.511411
130	0.703962	75000	-0.224590	-32.736001
131	0.701939	75000	-0.224188	-32.960189
132	0.699919	75000	-0.223870	-33.184059
133	0.697902	75000	-0.223558	-33.407618
134	0.695889	75000	-0.223111	-33.630728
135	0.693880	75000	-0.222725	-33.853453
136	0.691874	75000	-0.222328	-34.075781
137	0.689871	75000	-0.221919	-34.297701
138	0.687872	75000	-0.221625	-34.519326
139	0.685877	75000	-0.221161	-34.740487
140	0.683885	75000	-0.220805	-34.961292
141	0.681896	75000	-0.220520	-35.181811
142	0.679911	75000	-0.220080	-35.401892
143	0.677929	75000	-0.219650	-35.621542
144	0.675951	75000	-0.219367	-35.840909
145	0.673976	75000	-0.218985	-36.059894
146	0.672005	75000	-0.218578	-36.278473
147	0.670037	75000	-0.218192	-36.496665
148	0.668073	75000	-0.217830	-36.714495
149	0.666112	75000	-0.217477	-36.931973
150	0.664155	75000	-0.217106	-37.149079
151	0.662201	75000	-0.216681	-37.365760
152	0.660250	75000	-0.216374	-37.582134
153	0.658303	75000	-0.216016	-37.798150
154	0.656359	75000	-0.215615	-38.013765
155	0.654419	75000	-0.215267	-38.229032
156	0.652483	75000	-0.214818	-38.443850
157	0.650549	75000	-0.214454	-38.658305
158	0.648619	75000	-0.214064	-38.872368
159	0.646693	75000	-0.213687	-39.086056
160	0.644770	75000	-0.213400	-39.299455
161	0.642851	75000	-0.213001	-39.512457
162	0.640934	75000	-0.212658	-39.725115
163	0.639022	75000	-0.212269	-39.937383
164	0.637113	75000	-0.211845	-40.149228
165	0.635207	75000	-0.211487	-40.360715
166	0.633304	75000	-0.211098	-40.571813
167	0.631405	75000	-0.210697	-40.782510
168	0.629510	75000	-0.210381	-40.992890
169	0.627618	75000	-0.210004	-41.202895
170	0.625729	75000	-0.209683	-41.412578
171	0.623844	75000	-0.209259	-41.621837
172	0.621962	75000	-0.208906	-41.830743
173	0.620083	75000	-0.208523	-42.039266
174	0.618208	75000	-0.208177	-42.247444
175	0.616337	75000	-0.207791	-42.455234
176	0.614468	75000	-0.207451	-42.662686
177	0.612604	75000	-0.207101	-42.869787
178	0.610742	75000	-0.206695	-43.076482
179	0.608884	75000	-0.206403	-43.282885
180	0.607029	75000	-0.205960	-43.488845
181	0.605178	75000	-0.205587	-43.694431
182	0.603330	75000	-0.205203	-43.899634
183	0.601486	75000	-0.204831	-44.104465
184	0.599645	75000	-0.204412	-44.308876
185	0.597807	75000	-0.204146	-44.513022
186	0.595973	75000	-0.203789	-44.716812
187	0.594142	75000	-0.203404	-44.920216
188	0.592314	75000	-0.203038	-45.123253
189	0.590490	75000	-0.202609	-45.325862
190	0.588669	75000	-0.202320	-45.528183
191	0.586852	75000	-0.201900	-45.730082
192	0.585038	75000	-0.201597	-45.931679
193	0.583227	75000	-0.201296	-46.132975
194	0.581420	75000	-0.200899	-46.333874
195	0.579616	75000	-0.200527	-46.534402
196	0.577815	75000	-0.200103	-46.734505
197	0.576018	75000	-0.199745	-46.934249
198	0.574224	75000	-0.199431	-47.133681
199	0.572433	75000	-0.199073	-47.332753
200	0.570646	75000	-0.198671	-47.531424
201	0.568862	75000	-0.198303	-47.729727
202	0.567082	75000	-0.197958	-47.927686
203	0.565305	75000	-0.197558	-48.125244
204	0.563531	75000	-0.197206	-48.322450
205	0.561761	75000	-0.196863	-48.519313
206	0.559993	75000	-0.196564	-48.715877
207	0.558230	75000	-0.196180	-48.912057
208	0.556469	75000	-0.195749	-49.107806
209	0.554712	75000	-0.195433	-49.303239
210	0.552958	75000	-0.195055	-49.498294
211	0.551208	75000	-0.194653	-49.692946
212	0.549461	75000	-0.194317	-49.887263
213	0.547717	75000	-0.193918	-50.081181
214	0.545977	75000	-0.193646	-50.274827
