Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.199000	0.918981	512	0.296875	2.282221	488	0.096311	0.199000	0.235382	
1000	0.212000	0.918981	518	0.289575	1.549170	482	0.128631	0.212000	0.227591	
1000	0.195000	0.918981	490	0.248980	1.389451	510	0.143137	0.195000	0.219445	
1000	0.269000	0.918981	531	0.348399	0.961410	469	0.179104	0.269000	0.229354	
1000	0.276000	0.918981	502	0.308765	0.762022	498	0.242972	0.276000	0.237127	
1000	0.275000	0.918981	500	0.314000	0.762022	500	0.236000	0.275000	0.242537	
1000	0.282000	0.918981	497	0.309859	0.762022	503	0.254473	0.282000	0.247469	
1000	0.302000	0.918981	490	0.342857	0.762022	510	0.262745	0.302000	0.253527	
1000	0.278000	0.918981	526	0.290875	0.762022	474	0.263713	0.278000	0.255974	
1000	0.266000	0.918981	501	0.307385	0.762022	499	0.224449	0.266000	0.256886	
1000	0.244000	0.918981	501	0.275449	0.762022	499	0.212425	0.244000	0.255812	
1000	0.241000	0.918981	487	0.260780	0.762022	513	0.222222	0.241000	0.254673	
1000	0.240000	0.918981	501	0.271457	0.762022	499	0.208417	0.240000	0.253625	
1000	0.299000	0.918981	481	0.349272	0.762022	519	0.252408	0.299000	0.256650	
1000	0.285000	0.918981	541	0.314233	0.762022	459	0.250545	0.285000	0.258421	
1000	0.292000	0.918981	490	0.326531	0.762022	510	0.258824	0.292000	0.260396	
1000	0.292000	0.918981	507	0.317554	0.762022	493	0.265720	0.292000	0.262152	
1000	0.289000	0.918981	495	0.351515	0.762022	505	0.227723	0.289000	0.263565	
1000	0.292000	0.918981	518	0.347490	0.762022	482	0.232365	0.292000	0.264987	
1000	0.274000	0.918981	490	0.304082	0.762022	510	0.245098	0.274000	0.265416	
1000	0.268000	0.918981	476	0.325630	0.762022	524	0.215649	0.268000	0.265533	
1000	0.252000	0.918981	492	0.292683	0.762022	508	0.212598	0.252000	0.264945	
1000	0.273000	0.918981	511	0.309198	0.762022	489	0.235174	0.273000	0.265281	
1000	0.283000	0.918981	498	0.327309	0.762022	502	0.239044	0.283000	0.265989	
1000	0.266000	0.918981	510	0.282353	0.762022	490	0.248980	0.266000	0.265990	
1000	0.291000	0.918981	517	0.278530	0.762022	483	0.304348	0.291000	0.266916	
1000	0.272000	0.918981	496	0.288306	0.762022	504	0.255952	0.272000	0.267098	
1000	0.312000	0.918981	514	0.361868	0.762022	486	0.259259	0.312000	0.268646	
1000	0.266000	0.918981	486	0.304527	0.762022	514	0.229572	0.266000	0.268558	
1000	0.271000	0.918981	507	0.278107	0.762022	493	0.263692	0.271000	0.268636	
1000	0.254000	0.918981	482	0.292531	0.762022	518	0.218147	0.254000	0.268179	
1000	0.257000	0.918981	488	0.278689	0.762022	512	0.236328	0.257000	0.267840	
1000	0.290000	0.918981	514	0.297665	0.762022	486	0.281893	0.290000	0.268492	
1000	0.274000	0.918981	512	0.298828	0.762022	488	0.247951	0.274000	0.268649	
1000	0.271000	0.918981	497	0.309859	0.762022	503	0.232604	0.271000	0.268715	
1000	0.264000	0.918981	512	0.318359	0.762022	488	0.206967	0.264000	0.268587	
1000	0.284000	0.918981	511	0.320939	0.762022	489	0.245399	0.284000	0.268993	
1000	0.278000	0.918981	496	0.316532	0.762022	504	0.240079	0.278000	0.269224	
1000	0.291000	0.918981	498	0.321285	0.762022	502	0.260956	0.291000	0.269768	
1000	0.304000	0.918981	481	0.334719	0.762022	519	0.275530	0.304000	0.270603	
1000	0.273000	0.918981	490	0.302041	0.762022	510	0.245098	0.273000	0.270660	
1000	0.266000	0.918981	491	0.303462	0.762022	509	0.229862	0.266000	0.270552	
1000	0.289000	0.918981	492	0.353659	0.762022	508	0.226378	0.289000	0.270971	
1000	0.263000	0.918981	480	0.293750	0.762022	520	0.234615	0.263000	0.270794	
1000	0.319000	0.918981	518	0.328185	0.762022	482	0.309129	0.319000	0.271842	
1000	0.282000	0.918981	491	0.279022	0.762022	509	0.284872	0.282000	0.272058	
1000	0.290000	0.918981	526	0.326996	0.762022	474	0.248945	0.290000	0.272432	
1000	0.300000	0.918981	505	0.291089	0.762022	495	0.309091	0.300000	0.272994	
1000	0.292000	0.918981	502	0.320717	0.762022	498	0.263052	0.292000	0.273375	
1000	0.280000	0.918981	501	0.297405	0.762022	499	0.262525	0.280000	0.273504	
1000	0.299000	0.918981	502	0.328685	0.762022	498	0.269076	0.299000	0.273995	
1000	0.288000	0.918981	490	0.318367	0.762022	510	0.258824	0.288000	0.274259	
1000	0.301000	0.918981	484	0.332645	0.762022	516	0.271318	0.301000	0.274754	
1000	0.296000	0.918981	487	0.342916	0.762022	513	0.251462	0.296000	0.275140	
1000	0.291000	0.918981	488	0.327869	0.762022	512	0.255859	0.291000	0.275424	
1000	0.278000	0.918981	513	0.302144	0.762022	487	0.252567	0.278000	0.275469	
1000	0.287000	0.918981	530	0.337736	0.762022	470	0.229787	0.287000	0.275668	
1000	0.288000	0.918981	504	0.319444	0.762022	496	0.256048	0.288000	0.275877	
1000	0.267000	0.918981	516	0.341085	0.762022	484	0.188017	0.267000	0.275729	
