Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.276586	-0.276586
1	0.995007	75000	-0.276177	-0.552763
2	0.992517	75000	-0.275770	-0.828533
3	0.990030	75000	-0.275339	-1.103872
4	0.987547	75000	-0.274957	-1.378829
5	0.985067	75000	-0.274564	-1.653393
6	0.982592	75000	-0.274144	-1.927538
7	0.980120	75000	-0.273738	-2.201276
8	0.977652	75000	-0.273346	-2.474622
9	0.975187	75000	-0.272921	-2.747543
10	0.972726	75000	-0.272530	-3.020073
11	0.970269	75000	-0.272095	-3.292169
12	0.967816	75000	-0.271642	-3.563811
13	0.965367	75000	-0.271254	-3.835065
14	0.962921	75000	-0.270908	-4.105972
15	0.960479	75000	-0.270453	-4.376425
16	0.958040	75000	-0.270096	-4.646521
17	0.955606	75000	-0.269639	-4.916160
18	0.953175	75000	-0.269261	-5.185421
19	0.950747	75000	-0.268833	-5.454254
20	0.948324	75000	-0.268420	-5.722675
21	0.945904	75000	-0.267998	-5.990673
22	0.943488	75000	-0.267682	-6.258355
23	0.941076	75000	-0.267253	-6.525608
24	0.938667	75000	-0.266842	-6.792450
25	0.936262	75000	-0.266367	-7.058817
26	0.933861	75000	-0.266058	-7.324875
27	0.931463	75000	-0.265610	-7.590485
28	0.929069	75000	-0.265269	-7.855754
29	0.926679	75000	-0.264835	-8.120589
30	0.924293	75000	-0.264394	-8.384983
31	0.921910	75000	-0.264026	-8.649009
32	0.919531	75000	-0.263605	-8.912613
33	0.917155	75000	-0.263178	-9.175791
34	0.914783	75000	-0.262837	-9.438629
35	0.912415	75000	-0.262398	-9.701026
36	0.910051	75000	-0.262021	-9.963047
37	0.907690	75000	-0.261588	-10.224635
38	0.905333	75000	-0.261212	-10.485848
39	0.902980	75000	-0.260749	-10.746597
40	0.900630	75000	-0.260461	-11.007058
41	0.898284	75000	-0.259962	-11.267020
42	0.895942	75000	-0.259557	-11.526577
43	0.893603	75000	-0.259169	-11.785746
44	0.891268	75000	-0.258820	-12.044566
45	0.888937	75000	-0.258418	-12.302984
46	0.886609	75000	-0.258021	-12.561005
47	0.884285	75000	-0.257607	-12.818612
48	0.881965	75000	-0.257313	-13.075926
49	0.879648	75000	-0.256880	-13.332806
50	0.877335	75000	-0.256458	-13.589263
51	0.875026	75000	-0.255988	-13.845251
52	0.872720	75000	-0.255635	-14.100886
53	0.870418	75000	-0.255244	-14.356129
54	0.868120	75000	-0.254780	-14.610909
55	0.865825	75000	-0.254433	-14.865343
56	0.863534	75000	-0.254008	-15.119351
57	0.861246	75000	-0.253604	-15.372955
58	0.858962	75000	-0.253236	-15.626191
59	0.856682	75000	-0.252817	-15.879009
60	0.854405	75000	-0.252407	-16.131416
61	0.852132	75000	-0.252091	-16.383507
62	0.849863	75000	-0.251708	-16.635215
63	0.847597	75000	-0.251234	-16.886450
64	0.845335	75000	-0.250818	-17.137268
65	0.843077	75000	-0.250444	-17.387712
66	0.840822	75000	-0.250037	-17.637748
67	0.838571	75000	-0.249665	-17.887413
68	0.836323	75000	-0.249291	-18.136704
69	0.834079	75000	-0.248879	-18.385583
70	0.831839	75000	-0.248441	-18.634024
71	0.829602	75000	-0.248128	-18.882151
72	0.827369	75000	-0.247640	-19.129791
