Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.469000	0.622041	480	0.456250	0.470336	520	0.480769	0.469000	0.561719	
1000	0.256000	0.838333	496	0.348790	0.665577	504	0.164683	0.256000	0.459847	
1000	0.304000	0.838333	508	0.334646	0.412514	492	0.272358	0.304000	0.420895	
1000	0.305000	0.838333	503	0.363817	0.412514	497	0.245473	0.305000	0.397720	
1000	0.309000	0.838333	504	0.345238	0.412514	496	0.272177	0.309000	0.382936	
1000	0.342000	0.838333	502	0.362550	0.412514	498	0.321285	0.342000	0.377089	
1000	0.347000	0.838333	526	0.357414	0.412514	474	0.335443	0.347000	0.373328	
1000	0.331000	0.838333	490	0.391837	0.412514	510	0.272549	0.331000	0.368626	
1000	0.330000	0.838333	462	0.374459	0.412514	538	0.291822	0.330000	0.364764	
1000	0.329000	0.838333	505	0.348515	0.412514	495	0.309091	0.329000	0.361513	
1000	0.324000	0.838333	537	0.338920	0.412514	463	0.306695	0.324000	0.358387	
1000	0.334000	0.838333	484	0.355372	0.412514	516	0.313953	0.334000	0.356511	
1000	0.319000	0.838333	477	0.322851	0.412514	523	0.315488	0.319000	0.353832	
1000	0.307000	0.838333	508	0.324803	0.412514	492	0.288618	0.307000	0.350710	
1000	0.347000	0.838333	515	0.388350	0.412514	485	0.303093	0.347000	0.350478	
1000	0.305000	0.838333	523	0.321224	0.412514	477	0.287212	0.305000	0.347803	
1000	0.312000	0.838333	491	0.342159	0.412514	509	0.282908	0.312000	0.345814	
1000	0.318000	0.838333	500	0.344000	0.412514	500	0.292000	0.318000	0.344350	
1000	0.327000	0.838333	481	0.365904	0.412514	519	0.290944	0.327000	0.343483	
1000	0.316000	0.838333	513	0.345029	0.412514	487	0.285421	0.316000	0.342174	
1000	0.320000	0.838333	503	0.355865	0.412514	497	0.283702	0.320000	0.341166	
1000	0.351000	0.838333	506	0.345850	0.412514	494	0.356275	0.351000	0.341594	
1000	0.316000	0.838333	519	0.333333	0.412514	481	0.297297	0.316000	0.340527	
