Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.370000	0.834848	483	0.664596	4.713992	517	0.094778	0.370000	0.390305	
1000	0.132000	1.404055	503	0.188867	4.451923	497	0.074447	0.132000	0.304232	
1000	0.225000	0.848799	517	0.332689	3.210821	483	0.109731	0.225000	0.284429	
1000	0.254000	0.848799	497	0.368209	2.349410	503	0.141153	0.254000	0.278344	
1000	0.290000	0.848799	480	0.345833	1.299083	520	0.238462	0.290000	0.280287	
1000	0.278000	0.848799	504	0.315476	1.299083	496	0.239919	0.278000	0.279960	
1000	0.275000	0.848799	502	0.318725	1.299083	498	0.230924	0.275000	0.279340	
1000	0.294000	0.848799	475	0.336842	1.299083	525	0.255238	0.294000	0.280969	
1000	0.280000	0.848799	477	0.350105	1.299083	523	0.216061	0.280000	0.280872	
1000	0.305000	0.848799	522	0.354406	1.299083	478	0.251046	0.305000	0.283065	
1000	0.273000	0.848799	481	0.340956	1.299083	519	0.210019	0.273000	0.282226	
1000	0.291000	0.848799	509	0.343811	1.299083	491	0.236253	0.291000	0.282901	
1000	0.286000	0.848799	508	0.336614	1.299083	492	0.233740	0.286000	0.283123	
1000	0.274000	0.848799	502	0.308765	1.299083	498	0.238956	0.274000	0.282514	
1000	0.279000	0.848799	534	0.331461	1.299083	466	0.218884	0.279000	0.282295	
1000	0.320000	0.848799	503	0.353877	1.299083	497	0.285714	0.320000	0.284513	
1000	0.301000	0.848799	486	0.333333	1.299083	514	0.270428	0.301000	0.285429	
1000	0.287000	0.848799	514	0.328794	1.299083	486	0.242798	0.287000	0.285511	
1000	0.276000	0.848799	484	0.305785	1.299083	516	0.248062	0.276000	0.285036	
1000	0.288000	0.848799	479	0.365344	1.299083	521	0.216891	0.288000	0.285177	
1000	0.301000	0.848799	479	0.346555	1.299083	521	0.259117	0.301000	0.285896	
1000	0.288000	0.848799	497	0.285714	1.299083	503	0.290258	0.288000	0.285988	
1000	0.266000	0.848799	505	0.318812	1.299083	495	0.212121	0.266000	0.285155	
1000	0.312000	0.848799	505	0.388119	1.299083	495	0.234343	0.312000	0.286229	
1000	0.277000	0.848799	497	0.336016	1.299083	503	0.218688	0.277000	0.285874	
1000	0.305000	0.848799	500	0.352000	1.299083	500	0.258000	0.305000	0.286582	
1000	0.287000	0.848799	473	0.344609	1.299083	527	0.235294	0.287000	0.286597	
1000	0.306000	0.848799	483	0.331263	1.299083	517	0.282398	0.306000	0.287266	
1000	0.304000	0.848799	505	0.308911	1.299083	495	0.298990	0.304000	0.287824	
1000	0.288000	0.848799	497	0.334004	1.299083	503	0.242545	0.288000	0.287829	
1000	0.306000	0.848799	516	0.350775	1.299083	484	0.258264	0.306000	0.288397	
1000	0.288000	0.848799	508	0.332677	1.299083	492	0.241870	0.288000	0.288385	
1000	0.244000	0.848799	479	0.275574	1.299083	521	0.214971	0.244000	0.287080	
1000	0.301000	0.848799	501	0.361277	1.299083	499	0.240481	0.301000	0.287478	
1000	0.298000	0.848799	512	0.349609	1.299083	488	0.243852	0.298000	0.287770	
1000	0.321000	0.848799	458	0.388646	1.299083	542	0.263838	0.321000	0.288668	
1000	0.293000	0.848799	464	0.329741	1.299083	536	0.261194	0.293000	0.288782	
1000	0.298000	0.848799	486	0.364198	1.299083	514	0.235409	0.298000	0.289018	
1000	0.308000	0.848799	481	0.378378	1.299083	519	0.242775	0.308000	0.289493	
1000	0.302000	0.848799	490	0.371429	1.299083	510	0.235294	0.302000	0.289798	
1000	0.294000	0.848799	467	0.355460	1.299083	533	0.240150	0.294000	0.289898	
1000	0.306000	0.848799	480	0.339583	1.299083	520	0.275000	0.306000	0.290272	
1000	0.259000	0.848799	499	0.292585	1.299083	501	0.225549	0.259000	0.289562	
1000	0.299000	0.848799	489	0.355828	1.299083	511	0.244618	0.299000	0.289771	
1000	0.303000	0.848799	516	0.368217	1.299083	484	0.233471	0.303000	0.290059	
1000	0.304000	0.848799	508	0.342520	1.299083	492	0.264228	0.304000	0.290356	
1000	0.262000	0.848799	475	0.317895	1.299083	525	0.211429	0.262000	0.289765	
1000	0.311000	0.848799	491	0.346232	1.299083	509	0.277014	0.311000	0.290198	
1000	0.293000	0.848799	516	0.350775	1.299083	484	0.231405	0.293000	0.290254	
1000	0.289000	0.848799	479	0.323591	1.299083	521	0.257198	0.289000	0.290230	
1000	0.307000	0.848799	515	0.363107	1.299083	485	0.247423	0.307000	0.290552	
1000	0.275000	0.848799	499	0.310621	1.299083	501	0.239521	0.275000	0.290259	
1000	0.313000	0.848799	519	0.327553	1.299083	481	0.297297	0.313000	0.290680	
1000	0.295000	0.848799	508	0.350394	1.299083	492	0.237805	0.295000	0.290758	
1000	0.321000	0.848799	541	0.373383	1.299083	459	0.259259	0.321000	0.291298	
1000	0.271000	0.848799	495	0.298990	1.299083	505	0.243564	0.271000	0.290942	
1000	0.269000	0.848799	512	0.291016	1.299083	488	0.245902	0.269000	0.290564	
1000	0.327000	0.848799	492	0.398374	1.299083	508	0.257874	0.327000	0.291182	
1000	0.287000	0.848799	495	0.333333	1.299083	505	0.241584	0.287000	0.291112	
1000	0.282000	0.848799	468	0.320513	1.299083	532	0.248120	0.282000	0.290962	
1000	0.271000	0.848799	514	0.338521	1.299083	486	0.199588	0.271000	0.290640	
1000	0.394000	0.848799	476	0.355042	0.810526	524	0.429389	0.394000	0.292281	
1000	0.297000	0.848799	476	0.323529	1.059191	524	0.272901	0.297000	0.292355	
1000	0.308000	0.848799	498	0.335341	1.059191	502	0.280876	0.308000	0.292595	
1000	0.324000	0.848799	491	0.319756	1.059191	509	0.328094	0.324000	0.293071	
