Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.603944	-0.603944
1	0.995007	75000	-0.603027	-1.206971
2	0.992517	75000	-0.602125	-1.809096
3	0.990030	75000	-0.601224	-2.410320
4	0.987547	75000	-0.600304	-3.010623
5	0.985067	75000	-0.599407	-3.610030
6	0.982592	75000	-0.598478	-4.208508
7	0.980120	75000	-0.597623	-4.806131
8	0.977652	75000	-0.596708	-5.402839
9	0.975187	75000	-0.595829	-5.998669
10	0.972726	75000	-0.594967	-6.593635
11	0.970269	75000	-0.594060	-7.187695
12	0.967816	75000	-0.593102	-7.780798
13	0.965367	75000	-0.592289	-8.373087
14	0.962921	75000	-0.591322	-8.964409
15	0.960479	75000	-0.590475	-9.554884
16	0.958040	75000	-0.589637	-10.144521
17	0.955606	75000	-0.588621	-10.733142
18	0.953175	75000	-0.587786	-11.320928
19	0.950747	75000	-0.586888	-11.907817
20	0.948324	75000	-0.585988	-12.493804
21	0.945904	75000	-0.585146	-13.078950
22	0.943488	75000	-0.584175	-13.663125
23	0.941076	75000	-0.583332	-14.246457
24	0.938667	75000	-0.582442	-14.828899
25	0.936262	75000	-0.581574	-15.410473
26	0.933861	75000	-0.580582	-15.991055
27	0.931463	75000	-0.579790	-16.570845
28	0.929069	75000	-0.578814	-17.149659
29	0.926679	75000	-0.577991	-17.727651
30	0.924293	75000	-0.577129	-18.304780
31	0.921910	75000	-0.576260	-18.881040
32	0.919531	75000	-0.575379	-19.456419
33	0.917155	75000	-0.574511	-20.030930
34	0.914783	75000	-0.573588	-20.604518
35	0.912415	75000	-0.572659	-21.177177
36	0.910051	75000	-0.571759	-21.748936
37	0.907690	75000	-0.570909	-22.319845
38	0.905333	75000	-0.570098	-22.889942
39	0.902980	75000	-0.569128	-23.459070
40	0.900630	75000	-0.568286	-24.027356
41	0.898284	75000	-0.567390	-24.594746
42	0.895942	75000	-0.566515	-25.161261
43	0.893603	75000	-0.565595	-25.726856
44	0.891268	75000	-0.564858	-26.291714
45	0.888937	75000	-0.563866	-26.855580
46	0.886609	75000	-0.563007	-27.418587
47	0.884285	75000	-0.562122	-27.980708
48	0.881965	75000	-0.561196	-28.541905
49	0.879648	75000	-0.560338	-29.102243
50	0.877335	75000	-0.559456	-29.661698
51	0.875026	75000	-0.558599	-30.220297
52	0.872720	75000	-0.557715	-30.778012
53	0.870418	75000	-0.556837	-31.334850
54	0.868120	75000	-0.556029	-31.890878
55	0.865825	75000	-0.555073	-32.445951
56	0.863534	75000	-0.554282	-33.000233
57	0.861246	75000	-0.553352	-33.553585
58	0.858962	75000	-0.552492	-34.106077
59	0.856682	75000	-0.551620	-34.657697
60	0.854405	75000	-0.550717	-35.208414
61	0.852132	75000	-0.549867	-35.758282
62	0.849863	75000	-0.549077	-36.307359
63	0.847597	75000	-0.548136	-36.855495
64	0.845335	75000	-0.547217	-37.402712
65	0.843077	75000	-0.546390	-37.949102
66	0.840822	75000	-0.545520	-38.494623
67	0.838571	75000	-0.544681	-39.039304
68	0.836323	75000	-0.543768	-39.583072
69	0.834079	75000	-0.542956	-40.126028
70	0.831839	75000	-0.542044	-40.668072
71	0.829602	75000	-0.541178	-41.209250
72	0.827369	75000	-0.540327	-41.749577
73	0.825140	75000	-0.539457	-42.289033
74	0.822914	75000	-0.538628	-42.827661
75	0.820691	75000	-0.537663	-43.365324
76	0.818473	75000	-0.536826	-43.902150
77	0.816258	75000	-0.535973	-44.438123
78	0.814046	75000	-0.535140	-44.973263
79	0.811838	75000	-0.534243	-45.507506
80	0.809634	75000	-0.533431	-46.040937
81	0.807433	75000	-0.532517	-46.573454
82	0.805236	75000	-0.531631	-47.105085
83	0.803043	75000	-0.530754	-47.635839
84	0.800853	75000	-0.530033	-48.165872
85	0.798667	75000	-0.529073	-48.694945
86	0.796484	75000	-0.528271	-49.223216
87	0.794305	75000	-0.527334	-49.750550
88	0.792129	75000	-0.526464	-50.277014
89	0.789957	75000	-0.525683	-50.802697
90	0.787789	75000	-0.524732	-51.327429
91	0.785624	75000	-0.523959	-51.851389
92	0.783463	75000	-0.523106	-52.374494
93	0.781305	75000	-0.522184	-52.896679
94	0.779151	75000	-0.521381	-53.418060
95	0.777000	75000	-0.520627	-53.938686
96	0.774853	75000	-0.519680	-54.458366
97	0.772710	75000	-0.518838	-54.977204
98	0.770570	75000	-0.517998	-55.495202
99	0.768433	75000	-0.517042	-56.012244
100	0.766301	75000	-0.516285	-56.528529
101	0.764172	75000	-0.515337	-57.043866
102	0.762046	75000	-0.514596	-57.558462
103	0.759924	75000	-0.513713	-58.072176
104	0.757805	75000	-0.512765	-58.584940
105	0.755690	75000	-0.511981	-59.096922
106	0.753579	75000	-0.511157	-59.608079
107	0.751471	75000	-0.510325	-60.118404
108	0.749366	75000	-0.509412	-60.627815
109	0.747266	75000	-0.508590	-61.136405
110	0.745168	75000	-0.507697	-61.644102
111	0.743075	75000	-0.506890	-62.150992
112	0.740984	75000	-0.506095	-62.657087
113	0.738898	75000	-0.505181	-63.162268
114	0.736815	75000	-0.504374	-63.666643
115	0.734735	75000	-0.503498	-64.170141
116	0.732659	75000	-0.502656	-64.672797
117	0.730586	75000	-0.501793	-65.174590
118	0.728517	75000	-0.500961	-65.675551
119	0.726452	75000	-0.500218	-66.175769
120	0.724390	75000	-0.499248	-66.675017
121	0.722331	75000	-0.498449	-67.173465
122	0.720276	75000	-0.497603	-67.671068
123	0.718225	75000	-0.496698	-68.167766
124	0.716177	75000	-0.495865	-68.663631
125	0.714132	75000	-0.495029	-69.158659
126	0.712091	75000	-0.494251	-69.652911
127	0.710054	75000	-0.493428	-70.146339
128	0.708020	75000	-0.492550	-70.638889
129	0.705989	75000	-0.491707	-71.130595
130	0.703962	75000	-0.490854	-71.621449
131	0.701939	75000	-0.490065	-72.111514
132	0.699919	75000	-0.489201	-72.600715
133	0.697902	75000	-0.488267	-73.088982
134	0.695889	75000	-0.487475	-73.576457
135	0.693880	75000	-0.486750	-74.063207
136	0.691874	75000	-0.485831	-74.549037
137	0.689871	75000	-0.485064	-75.034102
138	0.687872	75000	-0.484154	-75.518255
139	0.685877	75000	-0.483356	-76.001612
140	0.683885	75000	-0.482480	-76.484091
141	0.681896	75000	-0.481750	-76.965841
142	0.679911	75000	-0.480878	-77.446719
143	0.677929	75000	-0.479998	-77.926717
144	0.675951	75000	-0.479181	-78.405898
145	0.673976	75000	-0.478357	-78.884255
146	0.672005	75000	-0.477504	-79.361759
147	0.670037	75000	-0.476660	-79.838419
148	0.668073	75000	-0.475822	-80.314242
149	0.666112	75000	-0.475025	-80.789267
150	0.664155	75000	-0.474240	-81.263507
151	0.662201	75000	-0.473316	-81.736823
152	0.660250	75000	-0.472518	-82.209341
153	0.658303	75000	-0.471789	-82.681130
154	0.656359	75000	-0.470941	-83.152071
155	0.654419	75000	-0.470006	-83.622076
156	0.652483	75000	-0.469215	-84.091291
