Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_articles_transitivity.txt
Log File Name:                   features_articles_transitivity.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3659481817
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_articles_transitivity.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-64.731249	1	0.479797219738	0.316897490256	0.669133799324	0.186977703633	-0.079284882770	
3000	-63.843029	1	0.308475469822	0.378453337932	0.663717341430	0.187075045128	-0.077209965184	
4000	-71.706859	1	0.680209907407	0.421952227636	0.699694299564	0.188629724238	-0.050808742708	
5000	-64.879850	1	0.350383610335	0.424214751299	0.663278811788	0.188744253903	-0.075409679389	
6000	-64.569014	1	0.374425429844	0.411689176512	0.663542791911	0.188152004499	-0.074099235601	
7000	-66.260375	1	0.313435434641	0.458586450693	0.663605851166	0.190893591896	-0.078638615843	
8000	-63.668730	1	0.390444826645	0.346233387186	0.663927357302	0.186716755021	-0.076094582669	
9000	-64.008332	1	0.268577373381	0.370909669987	0.665196122849	0.186930630625	-0.077840447610	
10000	-64.992399	1	0.320429350734	0.427686533487	0.663475826262	0.188926469934	-0.077614620968	
11000	-63.592764	1	0.350333400877	0.359557872996	0.663278653812	0.186783059457	-0.076095697320	
12000	-68.433905	1	0.616260159822	0.281191907863	0.687105167214	0.188050438811	-0.090261222397	
13000	-64.223943	1	0.378015431378	0.290228911096	0.663614465309	0.187700567722	-0.077600776593	
14000	-63.640672	1	0.378410011735	0.332143726325	0.663622854222	0.186772236919	-0.076539726383	
15000	-63.589149	1	0.355691882973	0.357913434944	0.663304762291	0.186768631179	-0.076041732587	
16000	-64.323084	1	0.274368983840	0.395333976996	0.664917234042	0.187532266433	-0.079195114788	
17000	-64.296033	1	0.446650305696	0.315537139998	0.666596593503	0.187003382020	-0.078691551981	
18000	-63.873449	1	0.292278129457	0.320209185725	0.664192854632	0.186920222019	-0.074848957136	
19000	-66.173805	1	0.252004689789	0.249119329208	0.666114677802	0.189720857826	-0.067184311367	
20000	-63.974017	1	0.263446799469	0.337639213878	0.665461401008	0.186735240024	-0.075468374204	
21000	-63.557035	1	0.339033323698	0.339343832752	0.663284804291	0.186727754932	-0.076134905456	
22000	-63.924076	1	0.412426264192	0.319796978664	0.664726656906	0.186926988136	-0.077617535097	
23000	-63.662433	1	0.322565781964	0.326278023661	0.663442450194	0.186833395110	-0.075737611047	
24000	-63.633995	1	0.314386480370	0.358280973312	0.663586301443	0.186771703356	-0.076518893823	
25000	-65.613360	1	0.434961206818	0.254934821052	0.665872272649	0.189368321844	-0.082886481101	
26000	-65.599749	1	0.458892659598	0.418717404245	0.667450460779	0.188471758706	-0.067943476077	
27000	-63.742574	1	0.351253321793	0.375170329444	0.663281808344	0.187007647628	-0.075955016061	
28000	-63.820751	1	0.292849867356	0.369929837847	0.664173164971	0.186914588494	-0.077281172018	
29000	-64.330003	1	0.459031373059	0.332138267159	0.667460694056	0.186772283436	-0.077292548900	
30000	-63.718777	1	0.331054686121	0.373189446545	0.663339161954	0.186970372173	-0.076490954687	
31000	-63.656397	1	0.353931670170	0.322651884553	0.663294126437	0.186882394207	-0.076313709556	
32000	-66.388959	1	0.219831252162	0.445384555473	0.668407871656	0.189977172892	-0.086711072171	
33000	-64.415952	1	0.236308276995	0.322354368718	0.667149359799	0.186886794035	-0.073615053937	
34000	-64.827863	1	0.488371452949	0.357273993194	0.669906425090	0.186763495587	-0.074205842796	
35000	-64.673235	1	0.210187667077	0.363811847270	0.669226352669	0.186828542517	-0.078121690848	
36000	-63.587760	1	0.370209984243	0.349036708433	0.663469330485	0.186721114471	-0.076074515029	
37000	-63.948227	1	0.266055296901	0.359231270145	0.665324388561	0.186780053897	-0.077068023954	
38000	-63.588783	1	0.353942959033	0.358263462596	0.663294188229	0.186771554995	-0.076059490146	
39000	-64.902023	1	0.477909528105	0.301504471719	0.668970120571	0.187338502582	-0.081040811524	
40000	-63.603937	1	0.325662159991	0.333439797104	0.663399345950	0.186761741723	-0.075940225286	
41000	-64.098494	1	0.441167971502	0.346758192343	0.666245813617	0.186717182331	-0.075869426690	
42000	-64.494181	1	0.294115640905	0.286387995692	0.664130330202	0.187842780852	-0.073110270070	
43000	-66.520005	1	0.309182463953	0.229595080140	0.663700471900	0.191065288820	-0.071439899538	
44000	-63.555518	1	0.342918886038	0.351733018781	0.663273321795	0.186730129171	-0.076186039101	
45000	-63.723074	1	0.311649436260	0.324112710927	0.663644153682	0.186861625911	-0.075461493981	
46000	-64.279041	1	0.416658486518	0.387339337032	0.664916624617	0.187292627965	-0.073202695880	
47000	-64.489239	1	0.471008016175	0.344849629871	0.668391425041	0.186716487066	-0.075926542031	
48000	-63.622073	1	0.309945779411	0.346785525541	0.663682623419	0.186717209493	-0.076200247151	
49000	-63.730851	1	0.376434434206	0.319574970237	0.663581868359	0.186930678047	-0.076844471363	
50000	-64.555862	1	0.228127359562	0.379760610829	0.667752148287	0.187103833567	-0.079566214235	
51000	-63.860384	1	0.304489102135	0.315279532987	0.663818543348	0.187008380213	-0.074947856284	
52000	-64.184680	1	0.272647456324	0.387026959142	0.664997854059	0.187284108232	-0.078764457359	
53000	-63.834913	1	0.326960515808	0.381423757619	0.663383127044	0.187142065329	-0.076699945645	
54000	-63.676929	1	0.373317968810	0.324249216837	0.663522373306	0.186859756131	-0.076668642390	
55000	-64.031150	1	0.433318110917	0.330948708283	0.665777580309	0.186782881779	-0.077173571060	
56000	-63.966939	1	0.277839644509	0.321724873078	0.664760560660	0.186896293109	-0.074582967163	
57000	-66.333962	1	0.562498809639	0.332208305592	0.678579415465	0.186771688116	-0.077881439390	
58000	-64.861387	1	0.457491866031	0.392465958025	0.667347821556	0.187441517007	-0.070932174166	
59000	-64.330905	1	0.442489612782	0.308901781037	0.666328589061	0.187145884104	-0.079156053063	
60000	-68.263617	1	0.070643588362	0.393232083095	0.687839098518	0.187465235017	-0.086595460817	
61000	-67.134712	1	0.118896882308	0.302758978401	0.679970606810	0.187303330770	-0.066341909159	
62000	-66.050937	1	0.140760331158	0.343178242897	0.676903876615	0.186717823774	-0.075015300503	
63000	-66.550060	1	0.536143838165	0.401259553031	0.675086465998	0.187736705626	-0.065545650126	
64000	-66.071563	1	0.520367288968	0.396345058602	0.673211653821	0.187565534220	-0.067261735506	
65000	-63.587313	1	0.324669620715	0.354440605735	0.663412483975	0.186743939119	-0.076336785199	
66000	-64.458426	1	0.400676576910	0.401601127636	0.664260318765	0.187749186407	-0.073044912571	
67000	-64.047997	1	0.396070219208	0.383659242366	0.664101993082	0.187196287624	-0.074237234344	
68000	-65.663626	1	0.163208029823	0.378911171893	0.674078623670	0.187085000980	-0.081105892252	
69000	-66.654837	1	0.132324849076	0.309005698501	0.678050269159	0.187143431661	-0.068200541643	
70000	-63.641767	1	0.305981065465	0.349822762282	0.663779456782	0.186723254277	-0.076310015993	
