Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.161271	-0.161271
1	0.995007	75000	-0.161042	-0.322312
2	0.992517	75000	-0.160853	-0.483165
3	0.990030	75000	-0.160558	-0.643723
4	0.987547	75000	-0.160294	-0.804017
5	0.985067	75000	-0.160114	-0.964132
6	0.982592	75000	-0.159875	-1.124006
7	0.980120	75000	-0.159653	-1.283660
8	0.977652	75000	-0.159426	-1.443085
9	0.975187	75000	-0.159120	-1.602205
10	0.972726	75000	-0.158928	-1.761133
11	0.970269	75000	-0.158695	-1.919827
12	0.967816	75000	-0.158412	-2.078240
13	0.965367	75000	-0.158194	-2.236434
14	0.962921	75000	-0.157967	-2.394401
15	0.960479	75000	-0.157710	-2.552111
16	0.958040	75000	-0.157497	-2.709608
17	0.955606	75000	-0.157278	-2.866886
18	0.953175	75000	-0.157149	-3.024035
19	0.950747	75000	-0.156801	-3.180836
20	0.948324	75000	-0.156533	-3.337368
21	0.945904	75000	-0.156305	-3.493674
22	0.943488	75000	-0.156081	-3.649755
23	0.941076	75000	-0.155902	-3.805657
24	0.938667	75000	-0.155648	-3.961305
25	0.936262	75000	-0.155402	-4.116707
26	0.933861	75000	-0.155152	-4.271859
27	0.931463	75000	-0.154933	-4.426792
28	0.929069	75000	-0.154718	-4.581510
29	0.926679	75000	-0.154495	-4.736005
30	0.924293	75000	-0.154234	-4.890240
31	0.921910	75000	-0.153997	-5.044237
32	0.919531	75000	-0.153790	-5.198026
33	0.917155	75000	-0.153574	-5.351600
34	0.914783	75000	-0.153293	-5.504892
35	0.912415	75000	-0.153076	-5.657969
36	0.910051	75000	-0.152827	-5.810796
37	0.907690	75000	-0.152698	-5.963494
38	0.905333	75000	-0.152399	-6.115893
39	0.902980	75000	-0.152192	-6.268085
40	0.900630	75000	-0.151910	-6.419995
41	0.898284	75000	-0.151684	-6.571679
42	0.895942	75000	-0.151461	-6.723140
43	0.893603	75000	-0.151191	-6.874330
44	0.891268	75000	-0.151029	-7.025359
45	0.888937	75000	-0.150750	-7.176109
46	0.886609	75000	-0.150574	-7.326683
47	0.884285	75000	-0.150366	-7.477049
48	0.881965	75000	-0.150040	-7.627089
49	0.879648	75000	-0.149896	-7.776985
50	0.877335	75000	-0.149646	-7.926631
51	0.875026	75000	-0.149449	-8.076080
52	0.872720	75000	-0.149154	-8.225234
53	0.870418	75000	-0.148940	-8.374174
54	0.868120	75000	-0.148732	-8.522906
55	0.865825	75000	-0.148504	-8.671411
56	0.863534	75000	-0.148234	-8.819645
57	0.861246	75000	-0.148046	-8.967691
58	0.858962	75000	-0.147798	-9.115488
59	0.856682	75000	-0.147576	-9.263064
60	0.854405	75000	-0.147338	-9.410402
61	0.852132	75000	-0.147178	-9.557580
62	0.849863	75000	-0.146827	-9.704407
63	0.847597	75000	-0.146647	-9.851054
64	0.845335	75000	-0.146464	-9.997518
65	0.843077	75000	-0.146178	-10.143696
66	0.840822	75000	-0.145958	-10.289653
67	0.838571	75000	-0.145811	-10.435465
68	0.836323	75000	-0.145462	-10.580927
69	0.834079	75000	-0.145297	-10.726224
70	0.831839	75000	-0.145196	-10.871420
71	0.829602	75000	-0.144930	-11.016350
72	0.827369	75000	-0.144599	-11.160948
73	0.825140	75000	-0.144380	-11.305329
74	0.822914	75000	-0.144183	-11.449512
75	0.820691	75000	-0.143979	-11.593491
76	0.818473	75000	-0.143704	-11.737194
77	0.816258	75000	-0.143478	-11.880673
78	0.814046	75000	-0.143288	-12.023960
79	0.811838	75000	-0.143038	-12.166999
80	0.809634	75000	-0.142845	-12.309844
81	0.807433	75000	-0.142554	-12.452398
