Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_case_arguments.txt
Log File Name:                   features_case_arguments.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            157959224
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_case_arguments.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-159.223151	1	0.598323235951	0.731829450886	0.492475592233	0.554016537451	0.106690591255	
3000	-160.147766	1	0.364848782009	0.702285696454	0.496265185751	0.553668254513	0.104147896448	
4000	-159.113337	1	0.425245849380	0.657962246919	0.491885875015	0.554210318803	0.106929652320	
5000	-158.608888	1	0.519870489467	0.735411353952	0.489794459145	0.554097344338	0.105393207113	
6000	-158.517685	1	0.515361224810	0.691163107648	0.489761994991	0.553684206976	0.105089716356	
7000	-158.757174	1	0.529709768212	0.755117365497	0.489911201864	0.554691125841	0.105832855532	
8000	-161.603507	1	0.617417117156	0.539393260175	0.493733747765	0.561940470966	0.093017672435	
9000	-159.170767	1	0.477602384022	0.786613683559	0.490009101933	0.556164549010	0.103290625422	
10000	-158.792877	1	0.513051927009	0.762261000418	0.489750489309	0.554968744320	0.105268976136	
11000	-159.279899	1	0.595659895605	0.751778801796	0.492318938260	0.554572760429	0.107705802161	
12000	-160.068931	1	0.635188398175	0.769978781828	0.495117776932	0.555305970097	0.110077346712	
13000	-159.050293	1	0.425340637452	0.677234278669	0.491880866480	0.553817643627	0.105990717062	
14000	-159.736142	1	0.506741602650	0.568309424485	0.489736735347	0.559212327383	0.104598289218	
15000	-159.195288	1	0.571366872328	0.636567341695	0.491102986174	0.554929156382	0.102353137651	
16000	-158.833492	1	0.566392705393	0.728512740334	0.490901347810	0.553949153071	0.106089228514	
17000	-162.510052	1	0.488021735412	0.460633408466	0.489848289874	0.572128711429	0.106125984280	
18000	-158.931390	1	0.490572994326	0.622319215165	0.489819673699	0.555573002578	0.105710135504	
19000	-162.298113	1	0.324881958618	0.806171624317	0.500467405944	0.557404160027	0.091660687474	
20000	-159.171325	1	0.583150631012	0.758967114720	0.491644874964	0.554836612963	0.107685226363	
21000	-161.194459	1	0.688017173680	0.745730059114	0.500444831040	0.554376771236	0.109182201822	
22000	-159.689916	1	0.626951240522	0.727025073741	0.494450730335	0.553921252700	0.106712209335	
23000	-158.588399	1	0.485472791127	0.721940925843	0.489881107175	0.553836766473	0.104802513499	
24000	-159.124582	1	0.424644905116	0.722372343083	0.491917764437	0.553843282905	0.103690755309	
25000	-159.929604	1	0.512708712595	0.559174842858	0.489749075318	0.560015389898	0.104003062928	
26000	-158.874501	1	0.516199809664	0.770663381230	0.489767031436	0.555337753820	0.105407092033	
27000	-158.998087	1	0.454112852818	0.631958382474	0.490630627852	0.555122981023	0.107090968740	
28000	-163.782576	1	0.394862579426	0.932384676703	0.493792408840	0.571386037448	0.087107474331	
29000	-162.084646	1	0.295863644917	0.652949302517	0.504169380436	0.554352043898	0.109515162537	
30000	-160.345745	1	0.600761793375	0.834616778945	0.492623070156	0.559651043460	0.112183094621	
31000	-163.872090	1	0.368287228124	0.916606445675	0.495952186842	0.569071550089	0.084632073965	
32000	-158.691426	1	0.542746699064	0.669836188896	0.490162858075	0.553939819324	0.104407993354	
33000	-161.257165	1	0.680083638120	0.649504053065	0.499529029438	0.554458922667	0.098727430047	
34000	-159.316209	1	0.427346997605	0.625193171943	0.491776222567	0.555432504821	0.108384926930	
35000	-159.871798	1	0.376435833731	0.678614825978	0.495241126806	0.553798785275	0.106179567666	
36000	-160.077376	1	0.427300844774	0.811771497120	0.491778600301	0.557804896526	0.098977017713	
37000	-159.429621	1	0.402332979458	0.712912823992	0.493267988647	0.553728168535	0.103847409994	
38000	-159.382383	1	0.431792331537	0.767350283073	0.491553696790	0.555186769072	0.101615113391	
39000	-159.897663	1	0.598188088155	0.808830165784	0.492467531928	0.557591867197	0.110724746632	
40000	-159.312093	1	0.415388206555	0.645439081309	0.492438646329	0.554594953177	0.107794112170	
41000	-159.300173	1	0.564913734471	0.790252936425	0.490844497902	0.556376373151	0.108078723725	
42000	-158.712222	1	0.477677591531	0.651892370681	0.490007688223	0.554384011320	0.105886863783	
43000	-158.643134	1	0.469001827630	0.712627930642	0.490195032551	0.553725604299	0.104761133339	
44000	-159.444260	1	0.469318248389	0.587748190697	0.490187339702	0.557683979545	0.107283322766	
45000	-159.142510	1	0.551286303068	0.785003696640	0.490387612761	0.556073587061	0.107237344234	
46000	-158.882539	1	0.545522286303	0.762523670579	0.490230706993	0.554979584867	0.106504673337	
47000	-161.473533	1	0.694578496294	0.763934825611	0.501233156515	0.555038592068	0.111330787282	
48000	-158.568447	1	0.526432518687	0.721700165749	0.489865324767	0.553833182483	0.105389933915	
49000	-159.617237	1	0.396166428959	0.728885670358	0.493698264586	0.553956372786	0.102630944154	
50000	-159.056941	1	0.476567313894	0.776936981614	0.490028932291	0.555643210760	0.103461188676	
51000	-159.177641	1	0.571084190787	0.774271939106	0.491091095858	0.555510324797	0.107844497503	
52000	-160.289910	1	0.550219474990	0.553235156092	0.490356942599	0.560566688130	0.100475348629	
53000	-160.611595	1	0.640481200944	0.617667287860	0.495569674079	0.555811802845	0.097571206483	
54000	-161.943500	1	0.433770710568	0.896227638519	0.491458794810	0.566321798435	0.094923705265	
55000	-159.307105	1	0.568257909525	0.788521234220	0.490975072261	0.556274504649	0.108197768993	
56000	-159.392328	1	0.591991297185	0.644312438513	0.492110709595	0.554634557109	0.101886819978	
57000	-158.867699	1	0.460796291759	0.642220523428	0.490417263599	0.554710281718	0.106582378270	
58000	-160.798474	1	0.476182926262	0.519714156357	0.490036473982	0.564108080283	0.107492598970	
59000	-159.117281	1	0.543730561366	0.786241960240	0.490186335288	0.556143397509	0.106876289697	
60000	-158.861252	1	0.541230437048	0.762537913585	0.490127909204	0.554980173966	0.106345932465	
61000	-158.929706	1	0.436866263021	0.670345120646	0.491315409629	0.553930274537	0.106184248677	
62000	-159.162756	1	0.500049752118	0.793306572354	0.489750441293	0.556560756677	0.104479883709	
63000	-158.527370	1	0.522672423721	0.703265078616	0.489821292495	0.553670703756	0.105171042820	
64000	-159.313054	1	0.591595315825	0.764037578216	0.492088757139	0.555042939231	0.108200383184	
65000	-160.231064	1	0.391019565109	0.590828734341	0.494076324535	0.557464332504	0.112054380857	
66000	-158.782815	1	0.557414052892	0.674050524535	0.490578114059	0.553865858943	0.104238302647	
67000	-160.595155	1	0.348998320575	0.717867105931	0.497807453114	0.553781200389	0.102422661468	
68000	-158.686543	1	0.493079930234	0.745313362945	0.489795677853	0.554364145609	0.104674633241	
69000	-160.433453	1	0.650807109677	0.655477927698	0.496503736088	0.554278512436	0.100474931254	
70000	-159.623224	1	0.466291328168	0.577459005093	0.490263598192	0.558462342581	0.107666701650	
71000	-159.972803	1	0.399916980087	0.599495685032	0.493433620557	0.556879472751	0.111016345263	
72000	-158.964551	1	0.454801331308	0.635266848552	0.490607306589	0.554982448137	0.106971662903	
73000	-161.900573	1	0.528067315607	0.484548258535	0.489887336659	0.568608647602	0.100887727930	
74000	-159.376220	1	0.501166859623	0.807983868015	0.489746128339	0.557531615379	0.104405819331	
75000	-159.390566	1	0.580168742761	0.628446718693	0.491499215492	0.555279932604	0.101565787662	
76000	-159.829715	1	0.478389788107	0.828018375105	0.489994483085	0.559082962771	0.102340892870	
