Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.074000	3.406227	507	0.094675	4.253951	493	0.052738	0.074000	0.088456	
1000	0.131000	2.204460	486	0.141975	2.129766	514	0.120623	0.131000	0.102632	
1000	0.133000	1.988924	513	0.130604	2.033573	487	0.135524	0.133000	0.110222	
1000	0.204000	1.101227	509	0.235756	1.317312	491	0.171079	0.204000	0.128974	
1000	0.240000	1.101227	481	0.232848	1.100102	519	0.246628	0.240000	0.147475	
1000	0.234000	1.101227	501	0.237525	1.100102	499	0.230461	0.234000	0.159834	
1000	0.247000	1.101227	518	0.225869	1.100102	482	0.269710	0.247000	0.170729	
1000	0.242000	1.101227	486	0.248971	1.100102	514	0.235409	0.242000	0.178647	
1000	0.226000	1.101227	499	0.222445	1.100102	501	0.229541	0.226000	0.183382	
1000	0.217000	1.101227	509	0.180747	1.100102	491	0.254582	0.217000	0.186438	
1000	0.328000	0.626962	528	0.382576	1.100102	472	0.266949	0.328000	0.198233	
1000	0.326000	0.626962	475	0.435789	1.100102	525	0.226667	0.326000	0.208061	
1000	0.207000	1.177231	470	0.193617	1.100102	530	0.218868	0.207000	0.207985	
1000	0.248000	1.032513	500	0.258000	1.100102	500	0.238000	0.248000	0.210653	
1000	0.235000	1.032513	470	0.238298	1.100102	530	0.232075	0.235000	0.212174	
1000	0.243000	1.032513	534	0.234082	1.100102	466	0.253219	0.243000	0.213987	
1000	0.237000	1.032513	496	0.239919	1.100102	504	0.234127	0.237000	0.215266	
1000	0.228000	1.032513	492	0.235772	1.100102	508	0.220472	0.228000	0.215936	
1000	0.229000	1.032513	491	0.232179	1.100102	509	0.225933	0.229000	0.216589	
1000	0.234000	1.032513	506	0.247036	1.100102	494	0.220648	0.234000	0.217418	
1000	0.249000	1.032513	495	0.224242	1.100102	505	0.273267	0.249000	0.218854	
1000	0.263000	1.032513	477	0.249476	1.100102	523	0.275335	0.263000	0.220773	
1000	0.257000	1.032513	526	0.281369	1.100102	474	0.229958	0.257000	0.222282	
1000	0.265000	1.032513	502	0.276892	1.100102	498	0.253012	0.265000	0.223991	
1000	0.250000	1.032513	503	0.250497	1.100102	497	0.249497	0.250000	0.224991	
1000	0.243000	1.032513	512	0.234375	1.100102	488	0.252049	0.243000	0.225658	
1000	0.247000	1.032513	511	0.258317	1.100102	489	0.235174	0.247000	0.226420	
1000	0.241000	1.032513	480	0.254167	1.100102	520	0.228846	0.241000	0.226923	
1000	0.243000	1.032513	500	0.236000	1.100102	500	0.250000	0.243000	0.227459	
1000	0.244000	1.032513	503	0.238569	1.100102	497	0.249497	0.244000	0.227993	
1000	0.217000	1.032513	487	0.207392	1.100102	513	0.226121	0.217000	0.227649	
1000	0.208000	1.032513	503	0.234592	1.100102	497	0.181087	0.208000	0.227054	
1000	0.234000	1.032513	489	0.224949	1.086482	511	0.242661	0.234000	0.227258	
1000	0.225000	1.032513	500	0.240000	1.086482	500	0.210000	0.225000	0.227194	
1000	0.246000	1.032513	516	0.244186	1.086482	484	0.247934	0.246000	0.227716	
1000	0.227000	1.032513	496	0.217742	1.086482	504	0.236111	0.227000	0.227697	
1000	0.231000	1.032513	469	0.264392	1.086482	531	0.201507	0.231000	0.227783	
1000	0.229000	1.032513	516	0.230620	1.086482	484	0.227273	0.229000	0.227815	
1000	0.253000	1.032513	456	0.245614	1.086482	544	0.259191	0.253000	0.228444	
1000	0.229000	1.032513	491	0.246436	1.086482	509	0.212181	0.229000	0.228458	
1000	0.230000	1.032513	468	0.226496	1.086482	532	0.233083	0.230000	0.228495	
1000	0.232000	1.032513	459	0.230937	1.086482	541	0.232902	0.232000	0.228576	
1000	0.257000	1.032513	495	0.244444	1.086482	505	0.269307	0.257000	0.229222	
1000	0.275000	1.032513	483	0.275362	1.086482	517	0.274662	0.275000	0.230239	
