Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.156000	7.091253	479	0.031315	0.622836	521	0.270633	0.156000	0.338331	
1000	0.169000	3.571550	525	0.066667	0.622836	475	0.282105	0.169000	0.281906	
1000	0.183000	3.150125	494	0.087045	0.622836	506	0.276680	0.183000	0.257186	
1000	0.227000	1.729458	529	0.149338	0.622836	471	0.314225	0.227000	0.251150	
1000	0.261000	0.878131	481	0.257796	0.622836	519	0.263969	0.261000	0.252791	
1000	0.294000	0.878131	490	0.289796	0.622836	510	0.298039	0.294000	0.258677	
1000	0.270000	0.878131	485	0.245361	0.622836	515	0.293204	0.270000	0.260092	
1000	0.270000	0.878131	555	0.273874	0.622836	445	0.265169	0.270000	0.261193	
1000	0.268000	0.878131	508	0.246063	0.622836	492	0.290650	0.268000	0.261874	
1000	0.282000	0.878131	508	0.279528	0.622836	492	0.284553	0.282000	0.263703	
1000	0.273000	0.878131	516	0.284884	0.622836	484	0.260331	0.273000	0.264478	
1000	0.259000	0.878131	503	0.268390	0.622836	497	0.249497	0.259000	0.264057	
1000	0.279000	0.878131	503	0.252485	0.622836	497	0.305835	0.279000	0.265124	
1000	0.293000	0.878131	503	0.276342	0.622836	497	0.309859	0.293000	0.266982	
1000	0.288000	0.878131	516	0.296512	0.622836	484	0.278926	0.288000	0.268296	
1000	0.306000	0.878131	455	0.316484	0.622836	545	0.297248	0.306000	0.270513	
1000	0.287000	0.878131	528	0.303030	0.622836	472	0.269068	0.287000	0.271429	
1000	0.313000	0.878131	497	0.303823	0.622836	503	0.322068	0.313000	0.273617	
1000	0.272000	0.878131	498	0.279116	0.622836	502	0.264940	0.272000	0.273536	
1000	0.261000	0.878131	500	0.292000	0.622836	500	0.230000	0.261000	0.272939	
1000	0.283000	0.878131	512	0.263672	0.622836	488	0.303279	0.283000	0.273397	
1000	0.272000	0.878131	544	0.259191	0.622836	456	0.287281	0.272000	0.273336	
1000	0.273000	0.878131	491	0.264766	0.622836	509	0.280943	0.273000	0.273322	
1000	0.281000	0.878131	497	0.281690	0.622836	503	0.280318	0.281000	0.273629	
1000	0.284000	0.878131	505	0.253465	0.622836	495	0.315152	0.284000	0.274028	
1000	0.285000	0.878131	481	0.274428	0.622836	519	0.294798	0.285000	0.274434	
1000	0.287000	0.878131	485	0.284536	0.622836	515	0.289320	0.287000	0.274883	
1000	0.283000	0.878131	485	0.288660	0.622836	515	0.277670	0.283000	0.275163	
1000	0.278000	0.878131	487	0.277207	0.622836	513	0.278752	0.278000	0.275257	
1000	0.268000	0.878131	492	0.294715	0.622836	508	0.242126	0.268000	0.275023	
1000	0.306000	0.878131	507	0.307692	0.622836	493	0.304260	0.306000	0.275991	
1000	0.282000	0.878131	487	0.291581	0.622836	513	0.272904	0.282000	0.276173	
1000	0.269000	0.878131	497	0.265594	0.622836	503	0.272366	0.269000	0.275962	
1000	0.237000	0.878131	509	0.233792	0.622836	491	0.240326	0.237000	0.274849	
1000	0.303000	0.878131	487	0.312115	0.622836	513	0.294347	0.303000	0.275631	
1000	0.301000	0.878131	503	0.288270	0.622836	497	0.313883	0.301000	0.276317	
1000	0.262000	0.878131	530	0.252830	0.622836	470	0.272340	0.262000	0.275940	
1000	0.281000	0.878131	524	0.284351	0.622836	476	0.277311	0.281000	0.276070	
1000	0.273000	0.878131	508	0.255906	0.622836	492	0.290650	0.273000	0.275993	
1000	0.296000	0.878131	515	0.308738	0.622836	485	0.282474	0.296000	0.276481	
1000	0.298000	0.878131	484	0.309917	0.622836	516	0.286822	0.298000	0.276993	
1000	0.313000	0.878131	505	0.324752	0.622836	495	0.301010	0.313000	0.277831	
1000	0.312000	0.878131	539	0.333952	0.622836	461	0.286334	0.312000	0.278607	
1000	0.284000	0.878131	489	0.280164	0.622836	511	0.287671	0.284000	0.278727	
1000	0.313000	0.878131	522	0.333333	0.622836	478	0.290795	0.313000	0.279472	
1000	0.320000	0.878131	497	0.291751	0.622836	503	0.347913	0.320000	0.280334	
1000	0.265000	0.878131	503	0.262425	0.622836	497	0.267606	0.265000	0.280015	
1000	0.275000	0.878131	523	0.277247	0.622836	477	0.272537	0.275000	0.279913	
1000	0.273000	0.878131	531	0.290019	0.622836	469	0.253731	0.273000	0.279774	
1000	0.262000	0.878131	527	0.269450	0.622836	473	0.253700	0.262000	0.279426	
1000	0.314000	0.878131	491	0.301426	0.622836	509	0.326130	0.314000	0.280091	
1000	0.257000	0.878131	498	0.265060	0.622836	502	0.249004	0.257000	0.279655	
1000	0.247000	0.878131	509	0.249509	0.622836	491	0.244399	0.247000	0.279050	
1000	0.265000	0.878131	516	0.290698	0.622836	484	0.237603	0.265000	0.278795	
1000	0.283000	0.878131	507	0.307692	0.622836	493	0.257606	0.283000	0.278870	
1000	0.247000	0.878131	488	0.264344	0.622836	512	0.230469	0.247000	0.278311	
1000	0.296000	0.878131	511	0.291585	0.622836	489	0.300613	0.296000	0.278616	
1000	0.280000	0.878131	506	0.250988	0.622836	494	0.309717	0.280000	0.278639	
1000	0.286000	0.878131	503	0.312127	0.622836	497	0.259557	0.286000	0.278762	
1000	0.305000	0.878131	492	0.284553	0.622836	508	0.324803	0.305000	0.279192	
1000	0.297000	0.878131	476	0.289916	0.622836	524	0.303435	0.297000	0.279479	
1000	0.267000	0.878131	503	0.258449	0.622836	497	0.275654	0.267000	0.279281	
1000	0.289000	0.878131	502	0.300797	0.622836	498	0.277108	0.289000	0.279433	
1000	0.288000	0.878131	504	0.261905	0.622836	496	0.314516	0.288000	0.279565	
1000	0.281000	0.878131	516	0.277132	0.622836	484	0.285124	0.281000	0.279587	
1000	0.283000	0.878131	520	0.294231	0.622836	480	0.270833	0.283000	0.279638	
1000	0.279000	0.878131	507	0.276134	0.622836	493	0.281947	0.279000	0.279628	
1000	0.272000	0.878131	520	0.288462	0.622836	480	0.254167	0.272000	0.279518	
1000	0.295000	0.878131	502	0.296813	0.622836	498	0.293173	0.295000	0.279739	
1000	0.279000	0.878131	466	0.298283	0.622836	534	0.262172	0.279000	0.279728	
