Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.141320	-0.141320
1	0.995007	75000	-0.141086	-0.282406
2	0.992517	75000	-0.140906	-0.423311
3	0.990030	75000	-0.140724	-0.564035
4	0.987547	75000	-0.140483	-0.704518
5	0.985067	75000	-0.140249	-0.844767
6	0.982592	75000	-0.140019	-0.984785
7	0.980120	75000	-0.139829	-1.124614
8	0.977652	75000	-0.139645	-1.264260
9	0.975187	75000	-0.139447	-1.403707
10	0.972726	75000	-0.139272	-1.542979
11	0.970269	75000	-0.139044	-1.682023
12	0.967816	75000	-0.138885	-1.820908
13	0.965367	75000	-0.138612	-1.959520
14	0.962921	75000	-0.138462	-2.097982
15	0.960479	75000	-0.138227	-2.236210
16	0.958040	75000	-0.138002	-2.374212
17	0.955606	75000	-0.137871	-2.512083
18	0.953175	75000	-0.137608	-2.649691
19	0.950747	75000	-0.137396	-2.787087
20	0.948324	75000	-0.137211	-2.924299
21	0.945904	75000	-0.137011	-3.061310
22	0.943488	75000	-0.136768	-3.198077
23	0.941076	75000	-0.136544	-3.334622
24	0.938667	75000	-0.136450	-3.471072
25	0.936262	75000	-0.136173	-3.607245
26	0.933861	75000	-0.135992	-3.743236
27	0.931463	75000	-0.135778	-3.879015
28	0.929069	75000	-0.135583	-4.014598
29	0.926679	75000	-0.135336	-4.149934
30	0.924293	75000	-0.135184	-4.285118
31	0.921910	75000	-0.135002	-4.420119
32	0.919531	75000	-0.134826	-4.554946
33	0.917155	75000	-0.134598	-4.689543
34	0.914783	75000	-0.134322	-4.823866
35	0.912415	75000	-0.134199	-4.958064
36	0.910051	75000	-0.133953	-5.092017
37	0.907690	75000	-0.133748	-5.225765
38	0.905333	75000	-0.133590	-5.359355
39	0.902980	75000	-0.133405	-5.492760
40	0.900630	75000	-0.133170	-5.625930
41	0.898284	75000	-0.133014	-5.758944
42	0.895942	75000	-0.132743	-5.891686
43	0.893603	75000	-0.132525	-6.024212
44	0.891268	75000	-0.132399	-6.156610
45	0.888937	75000	-0.132129	-6.288739
46	0.886609	75000	-0.131955	-6.420694
47	0.884285	75000	-0.131687	-6.552381
48	0.881965	75000	-0.131535	-6.683917
49	0.879648	75000	-0.131334	-6.815251
50	0.877335	75000	-0.131075	-6.946326
51	0.875026	75000	-0.130932	-7.077258
52	0.872720	75000	-0.130681	-7.207939
53	0.870418	75000	-0.130586	-7.338525
54	0.868120	75000	-0.130362	-7.468887
55	0.865825	75000	-0.130178	-7.599065
56	0.863534	75000	-0.130000	-7.729065
57	0.861246	75000	-0.129695	-7.858760
58	0.858962	75000	-0.129600	-7.988360
59	0.856682	75000	-0.129339	-8.117699
60	0.854405	75000	-0.129095	-8.246793
61	0.852132	75000	-0.128939	-8.375732
62	0.849863	75000	-0.128796	-8.504527
63	0.847597	75000	-0.128561	-8.633089
64	0.845335	75000	-0.128291	-8.761380
65	0.843077	75000	-0.128191	-8.889572
66	0.840822	75000	-0.128053	-9.017624
67	0.838571	75000	-0.127766	-9.145391
68	0.836323	75000	-0.127546	-9.272937
69	0.834079	75000	-0.127326	-9.400263
70	0.831839	75000	-0.127130	-9.527393
71	0.829602	75000	-0.126995	-9.654388
72	0.827369	75000	-0.126783	-9.781172
73	0.825140	75000	-0.126541	-9.907712
74	0.822914	75000	-0.126374	-10.034086
75	0.820691	75000	-0.126169	-10.160255
76	0.818473	75000	-0.125964	-10.286218
77	0.816258	75000	-0.125798	-10.412016
78	0.814046	75000	-0.125605	-10.537621
79	0.811838	75000	-0.125346	-10.662967
80	0.809634	75000	-0.125250	-10.788217
81	0.807433	75000	-0.124988	-10.913204
82	0.805236	75000	-0.124777	-11.037981
83	0.803043	75000	-0.124587	-11.162568
84	0.800853	75000	-0.124435	-11.287003
85	0.798667	75000	-0.124211	-11.411213
86	0.796484	75000	-0.124086	-11.535299
87	0.794305	75000	-0.123832	-11.659131
88	0.792129	75000	-0.123621	-11.782752
89	0.789957	75000	-0.123420	-11.906171
90	0.787789	75000	-0.123232	-12.029403
91	0.785624	75000	-0.123065	-12.152468
92	0.783463	75000	-0.122867	-12.275335
93	0.781305	75000	-0.122645	-12.397980
94	0.779151	75000	-0.122444	-12.520424
95	0.777000	75000	-0.122289	-12.642713
96	0.774853	75000	-0.122131	-12.764844
