Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_case_arguments_non_core.txt
Log File Name:                   features_case_arguments_non_core.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3345630297
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_case_arguments_non_core.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-56.997343	1	0.447622861609	0.561241749624	0.490865615882	0.237722593633	0.000000000000	
3000	-56.629024	1	0.402495197370	0.506832933791	0.493257003583	0.235856945777	0.000000000000	
4000	-56.609311	1	0.614135832817	0.494582270300	0.493500662693	0.235702408218	0.000000000000	
5000	-56.260782	1	0.514148145642	0.541606083899	0.489755518637	0.236827282237	0.000000000000	
6000	-56.301310	1	0.427985653599	0.450777935486	0.491743462037	0.235948240833	0.000000000000	
7000	-56.127570	1	0.577419469312	0.460091501430	0.491370042153	0.235791521600	0.000000000000	
8000	-57.826814	1	0.546542093811	0.592173323396	0.490256894617	0.239641541665	0.000000000000	
9000	-55.847429	1	0.488375868466	0.449047654783	0.489844064747	0.235983569656	0.000000000000	
10000	-57.341346	1	0.361352037636	0.481423623680	0.496591376757	0.235645133810	0.000000000000	
11000	-56.481879	1	0.465513127757	0.416734116812	0.490284166565	0.237001044318	0.000000000000	
12000	-56.595921	1	0.510512328455	0.556540023881	0.489741840260	0.237485381878	0.000000000000	
13000	-57.402266	1	0.360497486626	0.465694263316	0.496672301931	0.235724418258	0.000000000000	
14000	-56.117449	1	0.432027367254	0.469649025320	0.491542288997	0.235689342941	0.000000000000	
