Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.141538	-0.141538
1	0.995007	75000	-0.141317	-0.282856
2	0.992517	75000	-0.141106	-0.423961
3	0.990030	75000	-0.140887	-0.564848
4	0.987547	75000	-0.140671	-0.705519
5	0.985067	75000	-0.140516	-0.846035
6	0.982592	75000	-0.140288	-0.986323
7	0.980120	75000	-0.140103	-1.126426
8	0.977652	75000	-0.139916	-1.266341
9	0.975187	75000	-0.139650	-1.405991
10	0.972726	75000	-0.139518	-1.545509
11	0.970269	75000	-0.139260	-1.684769
12	0.967816	75000	-0.139068	-1.823837
13	0.965367	75000	-0.138865	-1.962701
14	0.962921	75000	-0.138658	-2.101360
15	0.960479	75000	-0.138475	-2.239835
16	0.958040	75000	-0.138249	-2.378084
17	0.955606	75000	-0.137987	-2.516071
18	0.953175	75000	-0.137787	-2.653858
19	0.950747	75000	-0.137608	-2.791466
20	0.948324	75000	-0.137443	-2.928910
21	0.945904	75000	-0.137262	-3.066172
22	0.943488	75000	-0.136972	-3.203144
23	0.941076	75000	-0.136882	-3.340026
24	0.938667	75000	-0.136567	-3.476593
25	0.936262	75000	-0.136381	-3.612973
26	0.933861	75000	-0.136143	-3.749116
27	0.931463	75000	-0.135984	-3.885100
28	0.929069	75000	-0.135859	-4.020959
29	0.926679	75000	-0.135591	-4.156551
30	0.924293	75000	-0.135382	-4.291933
31	0.921910	75000	-0.135206	-4.427139
32	0.919531	75000	-0.134982	-4.562121
33	0.917155	75000	-0.134744	-4.696865
34	0.914783	75000	-0.134518	-4.831382
35	0.912415	75000	-0.134403	-4.965785
36	0.910051	75000	-0.134173	-5.099958
37	0.907690	75000	-0.134030	-5.233988
38	0.905333	75000	-0.133795	-5.367784
39	0.902980	75000	-0.133606	-5.501390
40	0.900630	75000	-0.133382	-5.634772
41	0.898284	75000	-0.133147	-5.767919
42	0.895942	75000	-0.132965	-5.900884
43	0.893603	75000	-0.132779	-6.033664
44	0.891268	75000	-0.132562	-6.166225
45	0.888937	75000	-0.132408	-6.298633
46	0.886609	75000	-0.132202	-6.430835
47	0.884285	75000	-0.131924	-6.562759
48	0.881965	75000	-0.131730	-6.694489
49	0.879648	75000	-0.131597	-6.826086
50	0.877335	75000	-0.131352	-6.957438
51	0.875026	75000	-0.131162	-7.088600
52	0.872720	75000	-0.130970	-7.219570
53	0.870418	75000	-0.130844	-7.350415
54	0.868120	75000	-0.130522	-7.480937
55	0.865825	75000	-0.130371	-7.611308
56	0.863534	75000	-0.130131	-7.741438
57	0.861246	75000	-0.129991	-7.871430
58	0.858962	75000	-0.129798	-8.001227
59	0.856682	75000	-0.129564	-8.130791
60	0.854405	75000	-0.129345	-8.260136
