Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.064000	3.912440	499	0.090180	3.785406	501	0.037924	0.064000	0.067466	
1000	0.103000	2.051159	506	0.152174	2.988956	494	0.052632	0.103000	0.079307	
1000	0.101000	1.849941	507	0.136095	2.861029	493	0.064909	0.101000	0.084729	
1000	0.115000	1.599480	475	0.178947	2.420758	525	0.057143	0.115000	0.090782	
1000	0.114000	1.387161	487	0.147844	2.193930	513	0.081871	0.114000	0.094651	
1000	0.280000	0.697746	490	0.381633	1.158436	510	0.182353	0.280000	0.121126	
1000	0.269000	0.697746	521	0.314779	0.847290	479	0.219207	0.269000	0.139608	
1000	0.267000	0.697746	490	0.322449	0.847290	510	0.213725	0.267000	0.153761	
1000	0.311000	0.697746	534	0.383895	0.847290	466	0.227468	0.311000	0.169483	
1000	0.303000	0.697746	485	0.369072	0.847290	515	0.240777	0.303000	0.181620	
1000	0.300000	0.697746	529	0.374291	0.847290	471	0.216561	0.300000	0.191484	
1000	0.275000	0.697746	516	0.346899	0.847290	484	0.198347	0.275000	0.197908	
1000	0.302000	0.697746	492	0.331301	0.741052	508	0.273622	0.302000	0.205342	
1000	0.358000	0.697746	509	0.381139	0.741052	491	0.334012	0.358000	0.215519	
1000	0.333000	0.697746	529	0.372401	0.741052	471	0.288747	0.333000	0.222861	
1000	0.314000	0.697746	471	0.392781	0.741052	529	0.243856	0.314000	0.228222	
1000	0.323000	0.697746	461	0.375271	0.741052	539	0.278293	0.323000	0.233487	
1000	0.309000	0.697746	476	0.367647	0.741052	524	0.255725	0.309000	0.237461	
1000	0.306000	0.697746	505	0.366337	0.741052	495	0.244444	0.306000	0.240888	
1000	0.336000	0.697746	531	0.367232	0.741052	469	0.300640	0.336000	0.245417	
1000	0.306000	0.697746	526	0.351711	0.741052	474	0.255274	0.306000	0.248171	
1000	0.310000	0.697746	503	0.355865	0.741052	497	0.263581	0.310000	0.250859	
1000	0.323000	0.697746	492	0.365854	0.741052	508	0.281496	0.323000	0.253864	
1000	0.297000	0.697746	494	0.364372	0.741052	506	0.231225	0.297000	0.255590	
1000	0.326000	0.697746	510	0.382353	0.741052	490	0.267347	0.326000	0.258298	
1000	0.283000	0.697746	507	0.331361	0.741052	493	0.233266	0.283000	0.259213	
1000	0.309000	0.697746	509	0.365422	0.741052	491	0.250509	0.309000	0.260991	
1000	0.312000	0.697746	504	0.376984	0.741052	496	0.245968	0.312000	0.262750	
1000	0.301000	0.697746	491	0.331976	0.741052	509	0.271120	0.301000	0.264025	
1000	0.332000	0.697746	486	0.399177	0.741052	514	0.268482	0.332000	0.266217	
