Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.301000	0.857582	484	0.524793	4.123963	516	0.091085	0.301000	0.388306	
1000	0.099000	1.537964	517	0.150870	3.387588	483	0.043478	0.099000	0.291903	
1000	0.176000	0.857448	481	0.280665	2.619870	519	0.078998	0.176000	0.262934	
1000	0.206000	0.857448	489	0.290389	1.941188	511	0.125245	0.206000	0.251550	
1000	0.243000	0.857448	513	0.284600	1.006505	487	0.199179	0.243000	0.250125	
1000	0.324000	0.857448	500	0.308000	0.617983	500	0.340000	0.324000	0.260677	
1000	0.330000	0.857448	522	0.318008	0.617983	478	0.343096	0.330000	0.269341	
1000	0.315000	0.857448	521	0.303263	0.617983	479	0.327766	0.315000	0.274414	
1000	0.306000	0.857448	526	0.302281	0.617983	474	0.310127	0.306000	0.277572	
1000	0.281000	0.857448	485	0.241237	0.617983	515	0.318447	0.281000	0.277884	
1000	0.291000	0.857448	482	0.271784	0.617983	518	0.308880	0.291000	0.278977	
1000	0.301000	0.857448	494	0.275304	0.617983	506	0.326087	0.301000	0.280671	
1000	0.300000	0.857448	488	0.290984	0.617983	512	0.308594	0.300000	0.282051	
1000	0.291000	0.857448	503	0.278330	0.617983	497	0.303823	0.291000	0.282648	
1000	0.321000	0.857448	539	0.293135	0.617983	461	0.353579	0.321000	0.285045	
1000	0.333000	0.857448	499	0.328657	0.617983	501	0.337325	0.333000	0.287865	
1000	0.273000	0.857448	489	0.235174	0.617983	511	0.309198	0.273000	0.287040	
1000	0.291000	0.857448	520	0.275000	0.617983	480	0.308333	0.291000	0.287248	
1000	0.324000	0.857448	528	0.320076	0.617983	472	0.328390	0.324000	0.289086	
1000	0.330000	0.857448	520	0.313462	0.617983	480	0.347917	0.330000	0.291034	
1000	0.329000	0.857448	546	0.309524	0.617983	454	0.352423	0.329000	0.292759	
1000	0.287000	0.857448	483	0.267081	0.617983	517	0.305609	0.287000	0.292509	
1000	0.299000	0.857448	524	0.280534	0.617983	476	0.319328	0.299000	0.292779	
1000	0.292000	0.857448	492	0.286585	0.617983	508	0.297244	0.292000	0.292748	
1000	0.303000	0.857448	510	0.313725	0.617983	490	0.291837	0.303000	0.293143	
