Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.208928	-0.208928
1	0.995007	75000	-0.208700	-0.417628
2	0.992517	75000	-0.208384	-0.626011
3	0.990030	75000	-0.208151	-0.834163
4	0.987547	75000	-0.207779	-1.041942
5	0.985067	75000	-0.207435	-1.249376
6	0.982592	75000	-0.207130	-1.456506
7	0.980120	75000	-0.206828	-1.663334
8	0.977652	75000	-0.206570	-1.869904
9	0.975187	75000	-0.206224	-2.076128
10	0.972726	75000	-0.205889	-2.282017
11	0.970269	75000	-0.205610	-2.487627
12	0.967816	75000	-0.205316	-2.692943
13	0.965367	75000	-0.205022	-2.897965
14	0.962921	75000	-0.204647	-3.102613
15	0.960479	75000	-0.204409	-3.307021
16	0.958040	75000	-0.204061	-3.511082
17	0.955606	75000	-0.203791	-3.714874
18	0.953175	75000	-0.203475	-3.918348
19	0.950747	75000	-0.203173	-4.121521
20	0.948324	75000	-0.202839	-4.324360
21	0.945904	75000	-0.202578	-4.526938
22	0.943488	75000	-0.202224	-4.729163
23	0.941076	75000	-0.202018	-4.931181
24	0.938667	75000	-0.201643	-5.132824
25	0.936262	75000	-0.201368	-5.334192
26	0.933861	75000	-0.201034	-5.535226
27	0.931463	75000	-0.200683	-5.735909
28	0.929069	75000	-0.200420	-5.936329
29	0.926679	75000	-0.200150	-6.136479
30	0.924293	75000	-0.199842	-6.336321
31	0.921910	75000	-0.199536	-6.535858
32	0.919531	75000	-0.199276	-6.735133
33	0.917155	75000	-0.198922	-6.934056
34	0.914783	75000	-0.198582	-7.132638
35	0.912415	75000	-0.198357	-7.330995
36	0.910051	75000	-0.198044	-7.529038
37	0.907690	75000	-0.197703	-7.726742
38	0.905333	75000	-0.197419	-7.924161
39	0.902980	75000	-0.197070	-8.121230
40	0.900630	75000	-0.196851	-8.318082
41	0.898284	75000	-0.196514	-8.514596
42	0.895942	75000	-0.196143	-8.710739
43	0.893603	75000	-0.195838	-8.906578
44	0.891268	75000	-0.195562	-9.102139
45	0.888937	75000	-0.195290	-9.297429
46	0.886609	75000	-0.195045	-9.492474
47	0.884285	75000	-0.194696	-9.687170
48	0.881965	75000	-0.194336	-9.881505
49	0.879648	75000	-0.194052	-10.075558
50	0.877335	75000	-0.193799	-10.269357
51	0.875026	75000	-0.193480	-10.462837
52	0.872720	75000	-0.193155	-10.655992
53	0.870418	75000	-0.192974	-10.848966
54	0.868120	75000	-0.192662	-11.041628
55	0.865825	75000	-0.192271	-11.233899
56	0.863534	75000	-0.192026	-11.425925
57	0.861246	75000	-0.191757	-11.617683
58	0.858962	75000	-0.191368	-11.809051
59	0.856682	75000	-0.191131	-12.000182
60	0.854405	75000	-0.190845	-12.191027
61	0.852132	75000	-0.190557	-12.381585
62	0.849863	75000	-0.190289	-12.571874
63	0.847597	75000	-0.189937	-12.761811
64	0.845335	75000	-0.189634	-12.951444
65	0.843077	75000	-0.189380	-13.140825
66	0.840822	75000	-0.189003	-13.329828
67	0.838571	75000	-0.188756	-13.518584
68	0.836323	75000	-0.188434	-13.707018
69	0.834079	75000	-0.188173	-13.895191
70	0.831839	75000	-0.187835	-14.083026
71	0.829602	75000	-0.187581	-14.270608
72	0.827369	75000	-0.187316	-14.457924
73	0.825140	75000	-0.186947	-14.644871
74	0.822914	75000	-0.186689	-14.831560
75	0.820691	75000	-0.186480	-15.018040
76	0.818473	75000	-0.186101	-15.204141
77	0.816258	75000	-0.185774	-15.389915
78	0.814046	75000	-0.185513	-15.575428
79	0.811838	75000	-0.185181	-15.760609
80	0.809634	75000	-0.184928	-15.945537
81	0.807433	75000	-0.184609	-16.130146
82	0.805236	75000	-0.184373	-16.314518
83	0.803043	75000	-0.184047	-16.498565
84	0.800853	75000	-0.183710	-16.682275
85	0.798667	75000	-0.183474	-16.865749
86	0.796484	75000	-0.183118	-17.048866
87	0.794305	75000	-0.182849	-17.231715
88	0.792129	75000	-0.182541	-17.414256
89	0.789957	75000	-0.182273	-17.596530
90	0.787789	75000	-0.181950	-17.778480
91	0.785624	75000	-0.181649	-17.960128
92	0.783463	75000	-0.181447	-18.141576
93	0.781305	75000	-0.181075	-18.322651
94	0.779151	75000	-0.180876	-18.503527
95	0.777000	75000	-0.180471	-18.683997
96	0.774853	75000	-0.180245	-18.864242
97	0.772710	75000	-0.179897	-19.044139
98	0.770570	75000	-0.179615	-19.223754
99	0.768433	75000	-0.179293	-19.403047
100	0.766301	75000	-0.179053	-19.582101
101	0.764172	75000	-0.178822	-19.760923
102	0.762046	75000	-0.178492	-19.939415
103	0.759924	75000	-0.178174	-20.117589
104	0.757805	75000	-0.177961	-20.295551
105	0.755690	75000	-0.177535	-20.473086
106	0.753579	75000	-0.177331	-20.650417
107	0.751471	75000	-0.176998	-20.827415
108	0.749366	75000	-0.176724	-21.004140
109	0.747266	75000	-0.176402	-21.180542
110	0.745168	75000	-0.176128	-21.356670
111	0.743075	75000	-0.175948	-21.532618
112	0.740984	75000	-0.175614	-21.708232
113	0.738898	75000	-0.175332	-21.883564
114	0.736815	75000	-0.175027	-22.058591
115	0.734735	75000	-0.174775	-22.233366
116	0.732659	75000	-0.174481	-22.407847
117	0.730586	75000	-0.174190	-22.582037
118	0.728517	75000	-0.173945	-22.755983
119	0.726452	75000	-0.173554	-22.929537
120	0.724390	75000	-0.173280	-23.102817
121	0.722331	75000	-0.173018	-23.275835
122	0.720276	75000	-0.172704	-23.448538
123	0.718225	75000	-0.172519	-23.621057
124	0.716177	75000	-0.172086	-23.793143
125	0.714132	75000	-0.171865	-23.965007
126	0.712091	75000	-0.171589	-24.136597
127	0.710054	75000	-0.171318	-24.307915
128	0.708020	75000	-0.170933	-24.478847
129	0.705989	75000	-0.170694	-24.649541
130	0.703962	75000	-0.170417	-24.819958
131	0.701939	75000	-0.170094	-24.990052
132	0.699919	75000	-0.169874	-25.159926
133	0.697902	75000	-0.169518	-25.329444
134	0.695889	75000	-0.169290	-25.498734
135	0.693880	75000	-0.168988	-25.667721
136	0.691874	75000	-0.168754	-25.836475
137	0.689871	75000	-0.168462	-26.004937
138	0.687872	75000	-0.168148	-26.173084
139	0.685877	75000	-0.167854	-26.340939
140	0.683885	75000	-0.167650	-26.508589
141	0.681896	75000	-0.167294	-26.675883
142	0.679911	75000	-0.167063	-26.842945
143	0.677929	75000	-0.166705	-27.009650
144	0.675951	75000	-0.166519	-27.176169
145	0.673976	75000	-0.166125	-27.342295
146	0.672005	75000	-0.165907	-27.508201
147	0.670037	75000	-0.165603	-27.673804
148	0.668073	75000	-0.165279	-27.839083
149	0.666112	75000	-0.164972	-28.004055
150	0.664155	75000	-0.164774	-28.168829
151	0.662201	75000	-0.164486	-28.333315
152	0.660250	75000	-0.164185	-28.497500
153	0.658303	75000	-0.163915	-28.661415
154	0.656359	75000	-0.163591	-28.825006
155	0.654419	75000	-0.163323	-28.988329
156	0.652483	75000	-0.163025	-29.151354
157	0.650549	75000	-0.162790	-29.314144
158	0.648619	75000	-0.162540	-29.476684
159	0.646693	75000	-0.162168	-29.638852
160	0.644770	75000	-0.161955	-29.800807
161	0.642851	75000	-0.161611	-29.962418
162	0.640934	75000	-0.161338	-30.123756
163	0.639022	75000	-0.161061	-30.284816
164	0.637113	75000	-0.160876	-30.445692
165	0.635207	75000	-0.160506	-30.606198
166	0.633304	75000	-0.160241	-30.766439
167	0.631405	75000	-0.159924	-30.926363
168	0.629510	75000	-0.159750	-31.086113
169	0.627618	75000	-0.159444	-31.245557
170	0.625729	75000	-0.159191	-31.404748
171	0.623844	75000	-0.158891	-31.563640
172	0.621962	75000	-0.158565	-31.722204
173	0.620083	75000	-0.158324	-31.880528
174	0.618208	75000	-0.158034	-32.038562
175	0.616337	75000	-0.157763	-32.196326
176	0.614468	75000	-0.157530	-32.353855
177	0.612604	75000	-0.157160	-32.511016
178	0.610742	75000	-0.156859	-32.667875
179	0.608884	75000	-0.156580	-32.824455
180	0.607029	75000	-0.156336	-32.980791
181	0.605178	75000	-0.156173	-33.136964
182	0.603330	75000	-0.155867	-33.292831
183	0.601486	75000	-0.155419	-33.448250
184	0.599645	75000	-0.155213	-33.603463
185	0.597807	75000	-0.154992	-33.758455
186	0.595973	75000	-0.154621	-33.913076
187	0.594142	75000	-0.154435	-34.067511
188	0.592314	75000	-0.154127	-34.221638
189	0.590490	75000	-0.153939	-34.375577
190	0.588669	75000	-0.153543	-34.529120
191	0.586852	75000	-0.153389	-34.682509
192	0.585038	75000	-0.153005	-34.835514
193	0.583227	75000	-0.152707	-34.988221
194	0.581420	75000	-0.152581	-35.140801
195	0.579616	75000	-0.152230	-35.293032
196	0.577815	75000	-0.151979	-35.445011
197	0.576018	75000	-0.151687	-35.596698
198	0.574224	75000	-0.151395	-35.748093
199	0.572433	75000	-0.151202	-35.899295
200	0.570646	75000	-0.150815	-36.050110
201	0.568862	75000	-0.150678	-36.200787
202	0.567082	75000	-0.150375	-36.351162
203	0.565305	75000	-0.149987	-36.501150
204	0.563531	75000	-0.149770	-36.650920
205	0.561761	75000	-0.149449	-36.800368
206	0.559993	75000	-0.149244	-36.949612
207	0.558230	75000	-0.148966	-37.098578
208	0.556469	75000	-0.148742	-37.247320
209	0.554712	75000	-0.148454	-37.395773
210	0.552958	75000	-0.148094	-37.543867
211	0.551208	75000	-0.147841	-37.691708
212	0.549461	75000	-0.147655	-37.839362
213	0.547717	75000	-0.147333	-37.986695
214	0.545977	75000	-0.147122	-38.133817
215	0.544240	75000	-0.146795	-38.280612
216	0.542506	75000	-0.146517	-38.427129
217	0.540775	75000	-0.146232	-38.573361
218	0.539048	75000	-0.145918	-38.719280
219	0.537324	75000	-0.145650	-38.864930
220	0.535604	75000	-0.145394	-39.010324
221	0.533887	75000	-0.145188	-39.155512
222	0.532173	75000	-0.144876	-39.300388
223	0.530462	75000	-0.144677	-39.445065
224	0.528755	75000	-0.144332	-39.589396
225	0.527051	75000	-0.144096	-39.733492
226	0.525350	75000	-0.143922	-39.877413
227	0.523653	75000	-0.143563	-40.020976
228	0.521958	75000	-0.143311	-40.164287
229	0.520268	75000	-0.143032	-40.307319
230	0.518580	75000	-0.142776	-40.450095
231	0.516896	75000	-0.142483	-40.592578
232	0.515215	75000	-0.142230	-40.734808
233	0.513537	75000	-0.142035	-40.876842
234	0.511863	75000	-0.141722	-41.018564
235	0.510192	75000	-0.141449	-41.160013
236	0.508524	75000	-0.141187	-41.301200
237	0.506859	75000	-0.140956	-41.442156
238	0.505198	75000	-0.140695	-41.582851
239	0.503540	75000	-0.140447	-41.723298
240	0.501885	75000	-0.140092	-41.863390
241	0.500234	75000	-0.139846	-42.003236
242	0.498586	75000	-0.139513	-42.142749
243	0.496941	75000	-0.139276	-42.282025
244	0.495299	75000	-0.138981	-42.421006
245	0.493660	75000	-0.138808	-42.559814
246	0.492025	75000	-0.138495	-42.698309
247	0.490393	75000	-0.138261	-42.836569
248	0.488765	75000	-0.137951	-42.974520
249	0.487139	75000	-0.137689	-43.112210
250	0.485517	75000	-0.137389	-43.249598
251	0.483898	75000	-0.137188	-43.386786
252	0.482283	75000	-0.136915	-43.523701
253	0.480670	75000	-0.136562	-43.660263
254	0.479061	75000	-0.136366	-43.796629
255	0.477455	75000	-0.136167	-43.932796
256	0.475852	75000	-0.135922	-44.068718
257	0.474253	75000	-0.135643	-44.204362
258	0.472656	75000	-0.135295	-44.339657
259	0.471063	75000	-0.135031	-44.474688
260	0.469474	75000	-0.134790	-44.609478
261	0.467887	75000	-0.134513	-44.743991
262	0.466304	75000	-0.134287	-44.878278
263	0.464723	75000	-0.134076	-45.012354
264	0.463146	75000	-0.133688	-45.146042
265	0.461573	75000	-0.133474	-45.279516
266	0.460002	75000	-0.133298	-45.412814
267	0.458435	75000	-0.132986	-45.545800
268	0.456871	75000	-0.132702	-45.678502
269	0.455310	75000	-0.132594	-45.811096
270	0.453752	75000	-0.132195	-45.943291
271	0.452198	75000	-0.131949	-46.075240
272	0.450647	75000	-0.131712	-46.206952
273	0.449098	75000	-0.131459	-46.338412
274	0.447554	75000	-0.131168	-46.469579
275	0.446012	75000	-0.130963	-46.600543
276	0.444473	75000	-0.130643	-46.731186
277	0.442938	75000	-0.130453	-46.861638
278	0.441406	75000	-0.130162	-46.991800
279	0.439877	75000	-0.129889	-47.121689
280	0.438351	75000	-0.129647	-47.251336
281	0.436829	75000	-0.129322	-47.380659
282	0.435309	75000	-0.129154	-47.509813
283	0.433793	75000	-0.128802	-47.638615
284	0.432280	75000	-0.128540	-47.767155
285	0.430770	75000	-0.128263	-47.895418
286	0.429263	75000	-0.128116	-48.023534
287	0.427760	75000	-0.127807	-48.151341
288	0.426259	75000	-0.127541	-48.278883
289	0.424762	75000	-0.127361	-48.406244
290	0.423268	75000	-0.126986	-48.533230
291	0.421777	75000	-0.126762	-48.659992
292	0.420289	75000	-0.126508	-48.786499
293	0.418805	75000	-0.126240	-48.912739
294	0.417323	75000	-0.126026	-49.038766
295	0.415845	75000	-0.125761	-49.164526
296	0.414370	75000	-0.125513	-49.290040
297	0.412898	75000	-0.125324	-49.415364
298	0.411429	75000	-0.125034	-49.540398
299	0.409963	75000	-0.124744	-49.665142
300	0.408501	75000	-0.124682	-49.789823
301	0.407041	75000	-0.124283	-49.914106
302	0.405585	75000	-0.124019	-50.038125
303	0.404132	75000	-0.123753	-50.161879
304	0.402682	75000	-0.123476	-50.285354
305	0.401235	75000	-0.123222	-50.408577
306	0.399791	75000	-0.122937	-50.531513
307	0.398350	75000	-0.122753	-50.654266
308	0.396913	75000	-0.122517	-50.776784
309	0.395478	75000	-0.122189	-50.898972
310	0.394047	75000	-0.121994	-51.020967
311	0.392619	75000	-0.121702	-51.142668
312	0.391194	75000	-0.121460	-51.264129
313	0.389772	75000	-0.121191	-51.385319
314	0.388353	75000	-0.120911	-51.506231
315	0.386937	75000	-0.120775	-51.627006
316	0.385524	75000	-0.120485	-51.747492
317	0.384115	75000	-0.120240	-51.867731
318	0.382708	75000	-0.120007	-51.987738
319	0.381305	75000	-0.119776	-52.107514
320	0.379904	75000	-0.119465	-52.226979
321	0.378507	75000	-0.119261	-52.346240
322	0.377113	75000	-0.118945	-52.465184
323	0.375722	75000	-0.118762	-52.583947
324	0.374334	75000	-0.118491	-52.702438
325	0.372949	75000	-0.118193	-52.820631
326	0.371567	75000	-0.118028	-52.938659
327	0.370189	75000	-0.117702	-53.056361
328	0.368813	75000	-0.117462	-53.173823
329	0.367440	75000	-0.117298	-53.291121
330	0.366071	75000	-0.117037	-53.408157
331	0.364705	75000	-0.116788	-53.524946
332	0.363341	75000	-0.116428	-53.641374
333	0.361981	75000	-0.116242	-53.757616
334	0.360624	75000	-0.116008	-53.873624
335	0.359269	75000	-0.115810	-53.989434
336	0.357918	75000	-0.115389	-54.104824
337	0.356570	75000	-0.115259	-54.220083
338	0.355225	75000	-0.114993	-54.335076
339	0.353883	75000	-0.114753	-54.449829
340	0.352544	75000	-0.114608	-54.564437
341	0.351208	75000	-0.114157	-54.678594
342	0.349875	75000	-0.114041	-54.792635
343	0.348546	75000	-0.113762	-54.906397
344	0.347219	75000	-0.113531	-55.019927
345	0.345895	75000	-0.113248	-55.133176
346	0.344574	75000	-0.113027	-55.246203
347	0.343257	75000	-0.112811	-55.359014
348	0.341942	75000	-0.112533	-55.471547
349	0.340630	75000	-0.112187	-55.583734
350	0.339322	75000	-0.112019	-55.695754
351	0.338016	75000	-0.111804	-55.807557
352	0.336714	75000	-0.111557	-55.919114
