Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_case_clause_v.txt
Log File Name:                   features_case_clause_v.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2519352459
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_case_clause_v.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Scale Tree:                      2.273322
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       244
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-125.646698	1	0.484834411233	0.282483214796	0.489889987831	0.419255320863	0.051796620312	
3000	-127.857708	1	0.403085189918	0.374232008239	0.493217194804	0.423686619981	0.042947985380	
4000	-126.948862	1	0.626273247797	0.313184172481	0.494397791737	0.420128702533	0.056994087152	
5000	-127.184677	1	0.593055546970	0.152429606804	0.492170214897	0.422353521040	0.045654170976	
6000	-127.490066	1	0.649914241611	0.318597023166	0.496420230322	0.420346248756	0.058409996713	
7000	-126.026136	1	0.525906833389	0.325424890952	0.489858615915	0.420647841492	0.053143404001	
8000	-127.773076	1	0.389252212241	0.138203114186	0.494210117808	0.423359849151	0.061419734707	
9000	-126.473356	1	0.398785491144	0.259231708321	0.493512496384	0.419001763368	0.051666297108	
10000	-125.595336	1	0.507699358448	0.227189979867	0.489737155965	0.419228426685	0.052226465196	
11000	-126.317414	1	0.512011283170	0.163056969393	0.489746438008	0.421687665818	0.051739645049	
12000	-126.458986	1	0.570333644657	0.337113214186	0.491059778104	0.421234496266	0.055840222423	
13000	-125.575084	1	0.520766738031	0.273261095693	0.489802486912	0.419112684660	0.052448151402	
